"filename","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Carbonate",1,30,0.969524629185389,2.65991742172528,5.80152035815586,6.12860999625561,0.968051894738473,2.74425140349735,5.59280633314474,5.54127766159478,0.0775218225495077,0.968023399998247,0.983780377942169,51.7536664009094
"Carbonate",2,30,0.973130175406394,2.50282442369808,6.15827572219333,6.42788037693399,0.959772431328386,3.0961277958602,4.97237332901627,5.13958920600012,0.0748666231263642,0.959545728060138,0.979649943014622,39.8397421836853
"Carbonate",3,30,0.970286169286399,2.62790654626327,5.87020844931118,6.05125514170658,0.966036591589324,2.83518900137898,5.42004861866058,5.77064562258192,0.0727668267844707,0.965952480157407,0.982817817781802,38.7055349349976
"Carbonate",4,30,0.965694471548782,2.82511148665011,5.46233781865702,5.67371980742831,0.977261530616113,2.31583444127575,6.63013200496439,6.89456366803332,0.00223550479347068,0.977246537444922,0.988447827541591,37.1276247501373
"Carbonate",5,30,0.968159849488327,2.73318291329269,5.68411068848037,5.86005236682263,0.971854976057167,2.53422746297634,5.96090755093867,6.31951402704434,0.000366544569902992,0.971850734094857,0.985753841589196,37.2579984664917
"Carbonate",6,30,0.970278898964255,2.62145129666201,5.86505444209179,6.11890730925456,0.966541209047296,2.8329813209941,5.46647028326147,5.61634942034027,-0.0158299552354366,0.966528292856917,0.983037947038589,37.0027403831482
"Carbonate",7,30,0.966652466081827,2.79204068361428,5.55153292811801,5.72088798481371,0.974711090565204,2.42164537712887,6.27369021924451,6.63633377198019,-0.091085284773038,0.974587598673345,0.987010370270858,38.3194425106049
"Carbonate",8,30,0.969653635092946,2.64137239646154,5.83567205519779,6.07065725434277,0.967881979865449,2.76148007834453,5.57502328665836,5.77662143033203,0.0926686725348318,0.967819078598019,0.9837314407341,36.5199103355408
"Carbonate",9,30,0.96597429636415,2.82056900570339,5.48456190958689,5.69777249466451,0.977011719306872,2.31430901351332,6.59572791909636,6.84090149913286,-0.0128083762575559,0.977008548944273,0.98835233313351,36.118115901947
"Carbonate",10,30,0.969205758471406,2.65964817826176,5.74724402995062,5.94703751769808,0.968057053565427,2.80623137633951,5.59080460062746,5.87050702194376,0.00997591405271339,0.968000498085763,0.983861938726804,39.1006126403809
"Carbonate",11,30,0.968091871753764,2.69381589729629,5.68192892068509,5.97788568853664,0.970812636270933,2.67469035737786,5.8491550705712,5.9143597524718,0.035246189894873,0.970764833241634,0.985262611879514,35.7503612041473
"Carbonate",12,30,0.967194891794755,2.77255887319693,5.59735746779958,5.77143650751378,0.973839863677392,2.45175984524851,6.17773052519482,6.52564607051809,-0.0371454405498571,0.973791997256387,0.98663620485073,36.6916151046753
"Carbonate",13,30,0.968663962230994,2.6544046691433,5.7183038606119,5.91229539430589,0.969753281205197,2.76886302993241,5.75040152484787,6.03053593460258,-0.0131886342646839,0.969752080750185,0.984654814790053,36.8621788024902
"Carbonate",14,30,0.966887515790499,2.79038270113098,5.55519506799499,5.68863958824224,0.974765614097487,2.41508913741045,6.28945096227427,6.75423724421635,-0.0394120038657246,0.97471480103164,0.987110611864672,37.190105676651
"Carbonate",15,30,0.966850038797355,2.76259358884029,5.55887740063267,5.81965532858168,0.975028755579623,2.46194948801802,6.30688846427987,6.37564786621044,-0.099980650164555,0.974854426518178,0.987120952831126,34.1511626243591
"Carbonate",16,30,0.967350608573304,2.71972827264626,5.61367183837633,5.94706304400863,0.972369236296584,2.61534354388167,6.01541869915243,6.00641779423175,0.00556999508596735,0.97235859443449,0.986031055105871,34.3954586982727
"Carbonate",17,30,0.967303628765947,2.73206342653984,5.60949305051901,5.80669242371582,0.973390841032875,2.55382881350298,6.10826962105353,6.42829304501495,0.012709386249629,0.973192553451388,0.98622327175853,34.6745948791504
"Carbonate",18,30,0.964235926375696,2.88083784261696,5.33998462617452,5.54846189658488,0.98109635269265,2.15728181989813,7.16937018288004,7.45270128905051,-0.112913345586323,0.980540582517029,0.989955121827305,36.5080375671387
