"filename","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Gypsum",1,29,0.959141597009285,5.09719069354025,5.13679354183734,2.83418550895263,0.928960092317139,6.45339193391955,3.71745592883955,1.99949036601639,0.310762729443221,0.927506322940398,0.963744825929913,17.6845288276672
"Gypsum",2,30,0.937461440888905,6.08086789882424,4.11072312653333,2.19573816964214,0.974224734930748,4.35886236772594,6.14571693114006,3.45751889566144,-0.321312471246492,0.97347553212398,0.986231315766883,14.325245141983
"Gypsum",3,29,0.951417089157652,5.48020735849089,4.73064546431241,2.63426263928367,0.944459816157967,5.8112111775836,4.24262169307814,2.26649343785795,-0.0183902178875825,0.944342567344748,0.971683868526705,14.5508749485016
"Gypsum",4,30,0.942138983890968,5.78906245654057,4.31475299614397,2.31678645733851,0.965260214684056,5.0673464960196,5.29626119825502,3.03079610049634,-0.379482509894672,0.9642848074858,0.9813160981788,13.3139305114746
"Gypsum",5,30,0.951032617589598,5.29818743675002,4.6865669800853,2.5147072294167,0.946726981217958,6.32483456717776,4.28896444854594,2.29830501424267,-0.423089056586023,0.945538839267162,0.971155971797379,12.4569234848022
"Gypsum",6,30,0.940454328300506,6.08928296091227,4.18475942065371,2.27547386760364,0.968806992534383,4.63231052240034,5.55356305442786,3.01650136199405,-0.291790072998845,0.967517580437882,0.98293137037411,13.0638453960419
"Gypsum",7,30,0.942087041867382,5.91128929934873,4.31564212664367,2.33087471315573,0.967963040641085,4.59642107726159,5.58191563878098,3.08813351984204,-0.109240869521742,0.967846722493377,0.983499178993028,12.0254528522491
"Gypsum",8,30,0.954314987447525,5.13687876425547,4.94425647965247,2.6517225488724,0.938778226980751,6.43077939990155,4.02966301576703,2.3137368077387,0.479692256863904,0.938304380819628,0.968545328607792,12.7300765514374
"Gypsum",9,30,0.951547847572952,5.47546540826878,4.67090303958572,2.6032786141748,0.947609899464826,5.83996998141019,4.36722151431155,2.30323444175513,0.13149673801506,0.947473151550417,0.973311949727123,11.3807902336121
"Gypsum",10,29,0.960509899956006,4.82274204766911,5.33135093422359,2.85598101948185,0.925115038036755,7.02376809935361,3.58519751998465,1.99547946369269,0.520261854029472,0.922059065017941,0.961545047125873,11.4028871059418
"Gypsum",11,29,0.9542883345033,5.21099100207162,4.87663539457272,2.50711875050373,0.939427172085532,6.36713187848123,4.06420329872265,2.4871386838272,-0.0469411275830358,0.939348584926829,0.968997289015218,12.3800566196442
"Gypsum",12,30,0.941673272255541,6.04086909278402,4.24587394608844,2.31640042766613,0.964982263452537,4.81609711629046,5.26068407098843,2.77313697741358,-0.530523260510441,0.963800102261699,0.981073498409723,10.6446805000305
"Gypsum",13,30,0.950486830128121,5.39206745953905,4.6469228390084,2.6572369703299,0.947825777159352,6.10107013638943,4.37346438727698,2.05557397630931,-0.0447987291394296,0.947623002730451,0.972727353861229,9.87187814712524
"Gypsum",14,26,0.946934434129693,5.84632340321963,4.46466196860443,2.51416116356227,0.954006630657595,5.18696900873261,4.66548659905973,2.3898504076524,-0.120401995287521,0.953974565901881,0.976382377331392,10.6633450984955
"Gypsum",15,30,0.966162738081856,4.45813454313776,5.75208232505514,2.97343555286021,0.911346134050743,7.72748028625491,3.28000900748046,1.95226703157484,0.707150498430824,0.906880268892009,0.954167947532762,11.3245410919189
"Gypsum",16,30,0.946034187110679,5.50692629571815,4.49689493171536,2.25725506071604,0.957183568235314,5.62834862843479,4.82841793179209,3.83842107627365,-0.162374634020484,0.957028345260143,0.977803385665087,10.0279750823975
"Gypsum",17,30,0.953591096943973,5.44026487132346,4.82260713891324,2.93625652938365,0.941788835839469,5.76743375544781,4.12980094199001,1.95505912648744,0.163410927145904,0.94126005331938,0.970406831928226,11.0205264091492
"Gypsum",18,30,0.949776212711696,5.55093880882996,4.61589212380252,2.39807791230288,0.947017942416372,5.87225032525869,4.32487678857743,2.54208117385432,0.118698238189851,0.946439538892211,0.973132614831907,10.7644026279449
"Gypsum",19,30,0.947357308576362,5.71290906542427,4.48938350305289,2.28019212293073,0.956756906178872,5.26994062450872,4.80729518622054,3.07673105928239,0.0990076939695777,0.956649889842695,0.977633024918603,10.642725944519
"Gypsum",20,30,0.944151454881109,5.72008826006182,4.38318658926357,2.32047066348178,0.960204726436666,5.34605487700909,4.98167574870353,2.74591868914985,-0.110537983240185,0.959631661661109,0.978915257985712,12.6958434581757
"Gypsum",21,30,0.959614202868061,4.8690844790874,5.24378969528046,2.90538309835435,0.929355403396291,6.87588997621496,3.72459810589972,1.97137258549645,0.257030972006439,0.927784079755788,0.963979658923417,9.92215251922607
"Gypsum",22,30,0.9555567996363,5.1673380215979,4.9405803673863,2.66181217340736,0.936771195450786,6.43748052046494,3.97932955691429,2.28742020316614,0.151473304467038,0.936733767853883,0.967284183000399,9.41471409797668
"Gypsum",23,30,0.954476528106821,5.11341061867662,4.90399087193382,2.70510624542409,0.941789542605861,6.42059184734558,4.14839708227893,2.17135169645828,0.0132305681206222,0.941785503484149,0.97007848435571,9.70139050483704
"Gypsum",24,30,0.949732765349038,5.6303551719743,4.64486955921352,2.56298431612794,0.949477453158544,5.41279027392925,4.44704557310817,2.41992453745885,-0.195151708772086,0.949341931633805,0.973797785225567,8.95647835731506
"Gypsum",25,30,0.939324021445209,5.99924942529325,4.18834784549706,2.28545315055471,0.970281984613898,4.66058950741342,5.68826501403826,2.96526780099754,-0.3283997343779,0.969037776421462,0.983759542136218,9.33774065971375
"Gypsum",26,30,0.945002957337439,5.65516216993758,4.4180054364937,2.33507441576088,0.957347851650871,5.52989900412085,4.84540233430189,2.87663825110473,-0.105274969937228,0.957329071051931,0.97823945617285,9.70192694664001
"Gypsum",27,30,0.943913820648353,5.89615521948666,4.30104286823509,2.35555344677802,0.961766920156009,5.08894275051011,5.10889530228845,2.65814898362613,-0.153464943106921,0.961617100347279,0.980224115141526,9.201491355896
"Gypsum",28,28,0.94164949880134,6.0428618352074,4.25123513380259,2.47616827226142,0.969899057645115,4.42163986603769,5.70144563873269,2.59140620836404,-0.434647459665418,0.969180768128915,0.984033647013417,9.77937364578247
"Gypsum",29,30,0.950469686398591,5.27845131074093,4.61687676112193,2.58370186578185,0.94978457448458,6.2911997792444,4.4591918874847,2.35410756607363,-0.0263368563295568,0.94961752901788,0.973824928729993,8.51402473449707
"Gypsum",30,30,0.953418693786411,5.37623850681412,4.79261115153045,2.59259945077469,0.942564849492252,6.0027105068129,4.17292148005748,2.23230272137754,0.136712363238551,0.942467749832575,0.970625647659831,9.03836226463318
"Gypsum",31,30,0.947937594780737,5.71065119186533,4.55472289176305,2.54630277904442,0.954689471604136,5.19437410617394,4.70113007707726,2.39579182123377,0.0277256755831242,0.954669840206969,0.976710056344183,8.72624921798706
"Gypsum",32,30,0.946110565698767,5.83447227114536,4.3935605313485,2.50825178694819,0.958088636879143,5.18950936431904,4.88652344699183,2.38347483965337,0.0578785148131983,0.95804421879018,0.978706866036419,8.69216227531433
"Gypsum",33,30,0.962349913230129,4.75557785934349,5.42196186248318,2.92387548080635,0.923036953004147,7.07907198754328,3.53303829850497,1.88737267024696,0.305179152377365,0.91974075029715,0.960543752152753,9.14805507659912
"Gypsum",34,30,0.967466223296874,4.53978172795984,5.7674456992889,3.49379726833869,0.908046218216103,7.49692807195324,3.19149982231588,1.47482940931022,0.681778759159568,0.901643710451238,0.952183623203388,8.9438464641571
"Gypsum",35,30,0.953083221518367,5.40199318877102,4.83800804873769,2.688001352942,0.940051509860753,5.89064229814449,4.08320430522433,1.94533862692861,0.248915202534194,0.939911748774291,0.96920520327916,9.29191303253174
"Gypsum",36,30,0.951191104490511,5.49515951887489,4.720941949011,2.44109760670724,0.948295406744877,5.63149307929483,4.37347332096223,2.65062493903822,0.226490223545219,0.947623216711008,0.973761479830659,9.1757025718689
"Gypsum",37,29,0.945160309417806,5.76285616144773,4.39776712513164,2.39187259994655,0.961876010555838,5.10531415748961,5.10136658302511,2.72427662058685,-0.0953676727302898,0.96150372393775,0.980002888703608,9.71121120452881
"Gypsum",38,30,0.945568386292339,5.86744503678625,4.43313236066305,2.40709868800677,0.960140262348753,4.87911571372132,5.00954426407519,2.73360579715117,-0.182166818998887,0.960079557257163,0.979588677186805,10.3652856349945
"Gypsum",39,29,0.948344617088226,5.50428434092992,4.61317339989375,2.40343456671154,0.951159928353861,5.73036420860377,4.52382401599656,2.84899273513679,0.170961101083766,0.95104687935022,0.975119560900925,9.85146522521973
"Gypsum",40,29,0.944987848936053,5.62925221610682,4.36962278757695,2.32335348424755,0.959295793275062,5.65162981965963,4.8728014199645,3.50237535571502,-0.327909445751209,0.957807587358535,0.977663254082352,11.1290888786316
"Gypsum",41,30,0.954377355492938,5.22393608548288,4.79098778988584,2.72370766356434,0.942757477307667,6.39842229404848,4.17803335304074,2.06408414341211,0.163237830897312,0.942608446478366,0.970769752987971,10.3025166988373
"Gypsum",42,28,0.946295089130875,5.81465385616126,4.44667809218159,2.46508379597041,0.957477996872761,5.12017790711872,4.84910842072308,2.44944379424065,0.217726422510299,0.957394271374974,0.978291489485462,9.14522099494934
"Gypsum",43,29,0.950061751478545,5.55040213166551,4.67440594888646,2.62355720442736,0.950734896275187,5.45389674758089,4.50788800612986,2.22474673826231,0.131815523426597,0.95070015541906,0.974789465743875,9.58672332763672
"Gypsum",44,30,0.942692483719166,5.76978735599716,4.30420967056922,2.33718006712736,0.961365956400317,5.42445677469034,4.9981553230756,2.75834643384252,-0.48109879090611,0.959897422237842,0.978851881671981,9.98824381828308
"Gypsum",45,30,0.952782978220665,5.30756476284623,4.76607284041475,2.66695351493162,0.939719434990194,6.41676640433418,4.07550833812274,2.0116033819279,0.0856609544101992,0.939684599772601,0.968752378868862,9.22356653213501
