"filename","run_id","commit","neigh","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Carbon_hmin",1,20,0,0.920934523379853,0.742804779253168,3.56451483640891,1.61549849101201,0.910029028359062,0.852521511380407,3.32571011011991,1.49849591235706,-0.00396030105838334,0.909529886522512,0.951568102025405,37.6104028224945
"Carbon_hmin",2,20,0,0.925185810678036,0.687213061836611,3.7046367169383,1.7316318127302,0.920984484390449,0.871570194668988,3.49071029515529,1.45140346438812,-0.0269167639659001,0.917880498814428,0.954842505175926,35.0606951713562
"Carbon_hmin",3,20,0,0.920974877302551,0.800530152287514,3.56193460169148,1.52711299693922,0.93440314082225,0.624832989618888,3.72430661170213,1.96852602285009,0.0430224160392021,0.927858850122507,0.965535618043956,30.9279410839081
"Carbon_hmin",4,20,9,0.934720507886023,0.685593801274201,3.88479178937525,1.79406522887751,0.88953638419473,0.938678796933587,2.98463811320117,1.29969911324876,-0.0294947938015978,0.887671345880678,0.938022134842019,31.3961317539215
"Carbon_hmin",5,20,0,0.929207310914656,0.722251147672148,3.72452201179295,1.7030087165169,0.903393380528444,0.8573644018122,3.19765794825241,1.41130188918789,-0.0214303559408738,0.902138942356515,0.946785206521469,34.9087557792664
"Carbon_hmin",6,20,0,0.922430157186669,0.72581627785455,3.59954719081186,1.69464372394041,0.913687842772647,0.886787145223194,3.28213001065827,1.34192292525902,-0.0454308163421405,0.907111413104693,0.94746521339115,34.0260045528412
"Carbon_hmin",7,10,9,0.921490375719632,0.772044038897274,3.60704637208489,1.55431547883458,0.912478964874826,0.752678752114164,3.33610513973194,1.69727124143161,0.012585458261857,0.910092803039312,0.955218723942943,31.7359564304352
"Carbon_hmin",8,20,0,0.922212604730284,0.729543360563822,3.5757262981825,1.6585717387173,0.908627087545764,0.884479800163441,3.29841818445491,1.41043356758343,-0.0184199879122698,0.908026548583265,0.950660333347443,35.7457900047302
"Carbon_hmin",9,20,0,0.930782219874065,0.704133730457087,3.79070529626189,1.72197403355881,0.8847447842574,0.954873094039627,2.92047701120364,1.29336558722718,-0.0278361359000509,0.882681545695247,0.934947718258226,34.5886359214783
"Carbon_hmin",10,20,9,0.919349783608154,0.7756362939276,3.54164447142289,1.53422423540057,0.912793425127656,0.788152007950962,3.30688826577148,1.62405219689504,0.0138324381161157,0.908497096649694,0.955187920675299,34.3383843898773
"Carbon_hmin",11,20,0,0.927411330688624,0.73838595350702,3.75953658864306,1.71996771331854,0.887941909283085,0.84863519049685,2.98225540076782,1.3315497785785,0.00383441552686567,0.887491781245985,0.941653415506943,34.4488806724548
