"filename","run_id","commit","neigh","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Gypsum",1,20,5,0.966912624413194,4.6020622394248,5.68945287436258,3.1391109568752,0.949950240634882,5.40280783371909,4.44032081913981,2.38829427163204,0.162112815269252,0.949188374707196,0.974630713755589,19.7678382396698
"Gypsum",2,20,5,0.953177217665741,5.17264907277648,4.83248794754863,2.58126804315243,0.968557366380277,4.75245427739828,5.6367368711452,3.17117180309844,-0.0904821418649921,0.968469107633834,0.983841864538772,15.9434378147125
"Gypsum",3,20,5,0.961306879071221,4.86670285522625,5.32699835086421,2.96634208609986,0.951301575317422,5.43686573267266,4.53473964915343,2.42254869765293,-0.0633269657047474,0.951282267144205,0.97494420681233,15.5925581455231
"Gypsum",4,20,5,0.956680872590302,4.95998268414389,5.03598019788941,2.7040460328371,0.972916359286831,4.49732297873827,5.9675479728413,3.41494130455107,-0.31834707354697,0.971868042798182,0.985306295879069,15.2090198993683
"Gypsum",5,20,5,0.95999058991075,4.80565428408105,5.16689483420124,2.77244043420567,0.940534029398947,6.64396752481697,4.08295051115669,2.1879093998733,-0.537588679463198,0.939904278433604,0.968558819713154,15.0513966083527
"Gypsum",6,20,5,0.956067019330644,5.18940559112377,4.91042447699401,2.6700561377781,0.974922926591912,4.26233942593063,6.03561237224157,3.27833370448884,-0.375743350727976,0.972498960760718,0.985406974043462,14.2885806560516
"Gypsum",7,20,5,0.960213897002659,4.84553714828257,5.26484646435728,2.84353918427467,0.961143849859197,5.06024359265439,5.07027660305391,2.80507484276152,-0.217470293198205,0.961030172701702,0.980001135683856,14.676251411438
"Gypsum",8,20,5,0.963520224527665,4.61275886165542,5.50604245248676,2.95302175087286,0.960225547119367,5.24765214296838,4.93818439262656,2.8353882068836,0.415773487053057,0.958917470013979,0.979713005571176,14.2730815410614
"Gypsum",9,20,5,0.969111894279947,4.39006633344869,5.82573612242846,3.24691266995103,0.954379226857007,5.44339192350883,4.685395228589,2.47103647670652,0.00129719795015451,0.954364866633287,0.976738096045167,14.7791881561279
"Gypsum",10,20,5,0.970409137043598,4.21474730355683,6.10042037387673,3.26796810294567,0.939424456868095,6.39669858098974,3.93665508104239,2.19109667628444,0.747135446248112,0.935354684934323,0.968511663207028,14.4350385665894
"Gypsum",11,20,5,0.961910543657774,4.70371753966431,5.40255722143469,2.77749952879449,0.951576059662043,5.69247953985776,4.54587815428005,2.78190547530641,0.167900923558862,0.951520715204438,0.975069207242203,13.8296406269073
"Gypsum",12,20,5,0.958233319222429,5.03103048777503,5.09811434359359,2.78135300193508,0.968414668928852,4.51475246341347,5.6118171681215,2.95823461158315,-0.144835257990432,0.968188455210365,0.983613009590135,13.9202151298523
"Gypsum",13,20,5,0.967895977388371,4.29143506469434,5.83872784965247,3.33874351679617,0.952336907992994,5.8254022946905,4.58042408334581,2.15284719673876,0.204531784885227,0.952249226935377,0.975673430991041,14.6487786769867
"Gypsum",14,20,9,0.953353293065095,5.46679699555205,4.77461624709202,2.6887040550361,0.96630024346883,4.43871029432032,5.4519742887806,2.79272112348981,-0.00166637414170944,0.966295787223643,0.982822874028726,16.2583336830139
"Gypsum",15,20,0,0.96555939959627,4.45446911763279,5.75681551069504,2.97588228808836,0.911189506866065,7.79232734782878,3.25271306153561,1.93602043736054,0.84123660825796,0.90531083677003,0.953788391263547,16.4488277435303
"Gypsum",16,20,0,0.94713393727624,5.39149423662756,4.59317359189745,2.3055829616866,0.955042628533639,5.75822504114411,4.71951326141854,3.75184572426983,-0.0841827454881004,0.955022287462067,0.977069332469971,15.3389482498169
"Gypsum",17,20,5,0.957044761948123,5.22502533541823,5.02126947178207,3.05721259219911,0.943571807697177,5.65503264689462,4.21188609215066,1.99391846237915,0.120261982678065,0.943527300141766,0.971070482203066,13.6782898902893
"Gypsum",18,20,5,0.960318662093202,4.92081443889861,5.20697031874318,2.70515865113163,0.966369345219751,4.65788839020424,5.45241899351607,3.20482925941157,0.155414841874396,0.966301284897908,0.982957268964511,14.6042051315308
"Gypsum",19,20,5,0.957905140920441,5.10769656836909,5.02133189970334,2.55037277090237,0.964578754617796,4.77044398700689,5.31065038492658,3.39888489292865,0.190714585718863,0.96447808563926,0.982038766064184,16.6640646457672
"Gypsum",20,20,9,0.958295278526563,4.88250491385311,5.13511293757629,2.71854247649393,0.966389116288651,4.91227119039149,5.42158828366965,2.98840015769367,-0.101546048419284,0.965916929117302,0.982292702960369,17.0600225925446
"Gypsum",21,20,5,0.961883434726636,4.7884863065488,5.33205137957062,2.95428551829687,0.951113643587465,5.67270183425748,4.51459067126119,2.38950351984686,0.201928783170282,0.950846434484564,0.975166277360148,15.7190818786621
"Gypsum",22,20,5,0.969897390348046,4.22120842114202,6.0479479414685,3.25842315226852,0.95302250706661,5.54862514679938,4.6167934991829,2.65385074868393,0.114663266254911,0.952998590018168,0.975887059318311,16.6396758556366
"Gypsum",23,20,5,0.966675786077624,4.36871558470468,5.73992939394674,3.16622099374662,0.944460057870478,6.36142731108305,4.18697930252661,2.1915463807487,0.5777458802102,0.942853431423344,0.971591278029143,16.5112037658691
"Gypsum",24,20,5,0.965906795129277,4.60954007235892,5.67350862240807,3.1305752360268,0.946359336171591,5.6859030348296,4.23343924059047,2.30368754439945,0.324574107163825,0.944100860322835,0.972561944800011,18.1057848930359
"Gypsum",25,20,5,0.951786765743535,5.30721316888504,4.73448919525975,2.58346575946571,0.970372147996659,4.5911365891864,5.77431486186986,3.01012521225143,-0.208371630536985,0.969953709410555,0.984460929979495,15.624799489975
"Gypsum",26,20,5,0.955192783032994,5.12209952550966,4.87779221910994,2.57808823007711,0.960321940966341,5.33995624941107,5.01775375893313,2.97896054892854,0.0970792752404231,0.96021007724282,0.97990314200408,14.4722194671631
"Gypsum",27,10,5,0.958435045501269,5.02627487700684,5.0454097671399,2.76322109113753,0.945877473652049,6.04358365676981,4.30189721665769,2.23826933955772,-0.0306286283688979,0.94586579958747,0.972269118068784,16.1013550758362
"Gypsum",28,20,9,0.947756099834656,5.75688741732546,4.46241600369586,2.59917237654642,0.975660800751857,4.05772997005234,6.21276908920136,2.82381161007917,-0.34565191777446,0.974044980404468,0.986358579627183,17.8715612888336
"Gypsum",29,20,5,0.964778848009932,4.42067019217095,5.51272954821032,3.08504002948533,0.957081597856831,5.80928755771894,4.82910627842421,2.54939368259046,0.00464213044079186,0.957040594850014,0.97790833525201,18.0373802185059
"Gypsum",30,20,5,0.966582373581757,4.53202422639723,5.68536692080479,3.07554247367306,0.949257369351036,5.67048460141664,4.41740721880955,2.36309027215282,0.444263639855044,0.948659876048834,0.974104905515852,18.5436053276062
"Gypsum",31,20,5,0.957356631373273,5.04864530305909,5.15196298197115,2.88018787756574,0.956631167919564,5.1280172402402,4.7619629962441,2.42679351823261,0.363285660239226,0.955820606112335,0.97796459244516,17.8531818389893
"Gypsum",32,20,9,0.95652093873406,5.15010683509648,4.97739326824495,2.84155765474055,0.964421213867348,4.81427160304466,5.26739271857684,2.5692495189049,0.246422188071834,0.9638922532438,0.981999174260763,18.8097326755524
"Gypsum",33,20,0,0.961203790845169,4.82245626121825,5.34676944502056,2.88332682492539,0.920212798530371,7.26539995837887,3.44243023001376,1.83896923452803,0.381160010918252,0.915460146248856,0.958840578458466,17.2920019626617
"Gypsum",34,20,5,0.971205020841189,4.2835897828413,6.11238375521226,3.70275348576431,0.925606726424512,6.62446303533667,3.61183155252336,1.66906961983494,0.520392508015105,0.923204316385564,0.961841225743925,17.7407896518707
"Gypsum",35,20,5,0.956101602168492,5.21133711055592,5.01500593265447,2.78634152655133,0.966796640697588,4.38055572461998,5.49078644454563,2.61594526365581,0.115535176607402,0.966770586175095,0.983133962005294,17.5221862792969
"Gypsum",36,20,5,0.96455834694785,4.65710441388756,5.57048474408328,2.88037792539042,0.957433335002181,5.07934161628085,4.84889314405144,2.93876197500764,-0.151202393861636,0.957390488151553,0.978281439311324,19.4562387466431
"Gypsum",37,10,9,0.954808188651614,5.16192815660261,4.90973500691986,2.67032343957924,0.964096533116585,4.93653533767859,5.27578093892665,2.81741890792184,0.177894170635785,0.96400698088622,0.981794488283084,18.0106110572815
"Gypsum",38,20,5,0.959893137470423,5.04969161512382,5.15103939992802,2.79690728196155,0.962344907303026,4.73932888276968,5.15730111626009,2.81423368791521,0.0721279170561891,0.962334233663363,0.980832605958012,17.9958939552307
"Gypsum",39,20,5,0.953810855884254,5.21713323199741,4.867082548572,2.53571964941657,0.964582132949034,4.87902122182714,5.31318845495428,3.34611498039071,0.215537366558404,0.964512014634342,0.981920042745486,17.2199053764343
"Gypsum",40,20,5,0.963618101046758,4.52418737778878,5.43693412905029,2.89084904268317,0.948628712459034,6.24383431830713,4.41063430040178,3.17018805927681,0.125381199495394,0.948502080400343,0.973842983819749,19.0621562004089
"Gypsum",41,20,5,0.962725122039645,4.70500223191078,5.31940534075544,3.02411647193238,0.952825723595524,5.85484159035098,4.56593425096774,2.25571978271205,0.398879197832218,0.95194567523233,0.976017957736068,18.7895441055298
"Gypsum",42,20,5,0.955399110602256,5.30449169967202,4.87433959363348,2.70216446957326,0.974839801636217,3.9410004677905,6.29999869523727,3.1823360850884,0.0170018854296689,0.974758749496482,0.987103352176458,17.4694969654083
