"filename","MLRA","run_id","C","sigma","pca_components","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","A",1,8,0.0432260591651229,17,0.977484777558997,1.43732325317216,7.27582990654116,1.98975845112654,0.987474180483795,1.10408202758368,8.92018893071641,2.40382943358693,0.0571507320915843,0.987421050078543,0.993643053811771,151.792848348618
"TC","A",2,8,0.0471369542767704,16,0.985847808627227,1.19180244702617,8.49332967367628,2.36239936998399,0.968316672136438,1.89318456158717,5.62049867904915,1.44781324315368,0.00618474426404761,0.968315796517901,0.983891092274223,145.111043691635
"TC","A",3,8,0.0452812296829607,17,0.978566448602217,1.4382021096713,7.36132701184894,1.98139568203754,0.984631890299094,1.17996662211914,8.06459631842313,2.2480418727744,0.0440666686926737,0.984610403703131,0.992244541539549,139.095165252686
"TC","A",4,16,0.0458197737821276,17,0.977552466320129,1.41798371798393,7.25193943510068,1.92184872995198,0.98804252097357,1.12820222784776,9.10852532178213,2.67343067186976,0.076974827628507,0.98793586040255,0.993888572646906,135.848142623901
"TC","A",5,4,0.0468057565754833,16,0.978018091361904,1.42101658177809,7.28796609358504,1.93312213609973,0.986564792382262,1.17350154531844,8.60940473096318,2.4613269590678,0.0564672866533225,0.986496503237008,0.993243943055098,132.50649356842
"TC","A",6,16,0.0447373569476841,17,0.985002519101034,1.18493080993739,8.26926249313669,2.36288193497807,0.97260241071362,1.87231933918708,6.04330917476588,1.46201761777908,0.0324189675369719,0.972594175808474,0.986104938880334,134.889526128769
"TC","A",7,16,0.0429387703482447,17,0.978647069144166,1.35789095194727,7.51346450365388,2.18778922434072,0.984453882771366,1.30851205180803,7.9956090633732,1.95703528787651,-0.026539459982272,0.984343690764689,0.992029784543915,133.913466691971
"TC","A",8,8,0.0478985662547831,16,0.986145540118949,1.20077722807171,8.53988855748902,2.33741713857051,0.968326283929365,1.84094158326786,5.61788221076606,1.49215146203817,-0.0381595512644749,0.968286276490448,0.983805139296482,133.424556493759
"TC","A",9,8,0.0451622743028797,17,0.97544934114065,1.49353461608916,6.995814486811,2.01038743940351,0.987418385725569,1.11866427008591,8.82105504977577,2.20212522726843,0.0707818986041212,0.987136728710419,0.993428914811571,124.066782474518
"TC","A",10,8,0.0456019379039225,17,0.97702103228643,1.42417594272681,7.16426052655204,2.01381453053386,0.985611415343538,1.30718245589538,8.00251335755143,2.06372420531928,-0.0289242592826432,0.984370694564425,0.991847550174309,128.416667222977
"TC","A",11,8,0.0455511963281488,17,0.978601262496199,1.42160574400524,7.3004592359702,2.02778222243127,0.985766567876799,1.20101860397978,8.36600682778278,2.22311031748594,0.0765181228233307,0.98569934055411,0.992776805256902,117.192631006241
"TC","A",12,8,0.0454825835775307,17,0.976831421063638,1.42343642074497,7.16784398683562,1.92780207637504,0.985272499949834,1.26933464076694,8.23861807283631,2.25130633658069,0.0318882003579119,0.985253676623422,0.992549231892248,125.603434085846
"TC","A",13,8,0.0439527122891793,17,0.986011929609642,1.2379620565933,8.53934605174355,2.27936353337444,0.962499700352289,1.85864649117884,5.14268406007103,1.45667864107005,0.0894487144581521,0.962154625667546,0.981023516165725,136.24889421463
"TC","A",14,8,0.0467408782022363,16,0.976592492952119,1.43238104003032,7.06875626574789,1.9768270563956,0.987894972250718,1.1742084327363,9.05761523889542,2.27864991036125,0.0936563080250334,0.98779986159771,0.99388867417044,128.938622236252
"TC","A",15,8,0.0454670601277938,17,0.985664256307259,1.26706814722454,8.34137814478191,2.20133353806559,0.963158177634984,1.85298914288786,5.16123338211916,1.50278717265454,0.134326453622537,0.962426167173247,0.981299859419045,135.003753185272
"TC","A",16,8,0.0501481832260653,16,0.977156368771179,1.48973503061263,7.10907740341406,1.9035196086742,0.98544304047586,1.17713253225765,8.07354725168749,2.31269072546891,0.146024512539759,0.984644508882553,0.992448166246414,131.551568984985
"TC","A",17,8,0.0445854198317173,17,0.978937193170976,1.37617390908053,7.60857088500608,2.0269171425897,0.986602019392845,1.14147275662888,8.60018640690402,2.43515327357369,0.0604342806773186,0.986467539603783,0.993121029839474,129.417004346848
"TC","A",18,8,0.0457768663123757,17,0.97794335127826,1.42618816160351,7.29350504344217,2.00856175897523,0.986968337241377,1.14812229072284,8.7021534077126,2.34302017889259,0.13568639080598,0.986782813328236,0.993342374880101,130.777544260025
"TC","A",19,8,0.0446957246332431,16,0.987163861927378,1.20282222473851,8.90291652289441,2.44980290885514,0.955546826193735,1.93754783176859,4.73404123083531,1.34761280841084,0.0324277415378243,0.955339002192345,0.977478948021882,126.705217838287
"TC","A",20,8,0.0435067043935442,17,0.977783422927541,1.38384290926882,7.43264468483597,2.02183853474982,0.984535860087213,1.286998999518,7.98014321349399,2.0853290453257,-0.0449977686330688,0.984282946800903,0.991958339565707,123.496773004532
"TC","A",21,4,0.0499813052091586,16,0.977806427006385,1.44643826170715,7.27884343038057,1.88788950575539,0.980448417002793,1.38047496796991,7.00616445964724,2.10352551286775,0.00864281609016214,0.979609313909953,0.989401652204128,125.698023080826
"TC","A",22,8,0.0469137480313917,17,0.985658960060179,1.22499600278439,8.28124826997278,2.25062036425703,0.968567487262559,1.88962443507062,5.60403598990273,1.53168495616529,0.172184945492148,0.968129368970658,0.984024317241228,126.016222000122
"TC","A",23,8,0.0446956157511626,17,0.977023128328098,1.4315104642152,6.98618898445938,1.9474455127566,0.990016946641749,1.09235985276407,9.97856955395998,2.57129263574888,0.0555671544161882,0.98994792046465,0.994915588782121,128.439627408981
"TC","A",24,8,0.046506219117765,17,0.975632641956144,1.41840736087064,6.90866268845606,1.89378488620588,0.9875618530745,1.26542703178302,8.93010183444041,2.41449976036541,0.0597361212545921,0.987448961229676,0.993626853455096,123.431302070618
"TC","A",25,8,0.0475850611357915,17,0.985618467592062,1.2217208948887,8.40510911822748,2.20692505037791,0.965735068739407,1.93148593169931,5.33778321699021,1.59625641036249,0.206815289666052,0.964870608250508,0.982512698152679,123.660262584686
"TC","A",26,8,0.0445933578139868,17,0.98475244669239,1.23731001700508,8.12565010584827,2.15117212211907,0.972244337836753,1.80763875908644,5.96658890498942,1.80994961717545,0.096722315810823,0.971884859282845,0.985981315068407,123.115679264069
"TC","A",27,8,0.0461869384036687,17,0.97784969290936,1.44311945164671,7.31877812956454,1.99092119797951,0.984292106196124,1.21086958062492,7.91322717382736,2.22516027994481,0.133204174797195,0.984016008992658,0.991872059499353,118.432575702667
"TC","A",28,8,0.0440446270312434,17,0.977256745049766,1.42719918013684,7.23265648174328,2.02206022653636,0.986330859487099,1.19105546067241,8.54910266269472,2.24472732234537,0.0209863498589466,0.986305334489785,0.993073692091522,124.373659610748
"TC","A",29,8,0.0461656682663379,17,0.976752415144259,1.46995505068088,7.10151139977784,1.78844295870291,0.987436410457728,1.12535371313973,8.79925901955998,2.88935689911058,0.0523036136343289,0.987072924362942,0.993375479274679,115.786923885345
"TC","A",30,8,0.0461632693911352,17,0.983075794403427,1.24008944731223,7.75089203987752,2.16047208191865,0.97476263423255,1.85245646449222,6.28911332486123,1.69550608351864,0.0711816622175167,0.974694573984901,0.987114662639136,115.283343315125
"TC","A",31,8,0.0493362181910165,16,0.977211717861773,1.39388530787225,7.31247766367192,1.98853967169732,0.986489647933193,1.21918088006107,8.59828885452425,2.33027881380299,0.0549025920305502,0.986461565999882,0.99317945226286,111.169311285019
"TC","A",32,8,0.0452818328792348,17,0.976168946764455,1.46108805957779,6.93722032608624,1.93478977462651,0.989025064766155,1.11959153592075,9.47879418282285,2.39454308020937,0.0860020080313173,0.988859971363867,0.994343366704313,125.29069852829
"TC","A",33,8,0.0441990186401656,17,0.976375094747151,1.3778429774722,7.1292545963539,2.07321749590123,0.985842604913342,1.35001278019527,8.34424727705674,1.92349803505149,0.0214249635248838,0.985624658765375,0.992654358692901,115.799112796783
"TC","A",34,4,0.0445265504675084,17,0.97571533262226,1.46430383329542,6.89890891371596,1.95445848561308,0.991137667390442,1.01991438627335,10.4773677696398,2.61772862108098,0.0649720577336243,0.990882240829048,0.995352760286592,128.803616285324
"TC","A",35,8,0.0466894754721393,17,0.975805744952387,1.40556522778378,7.11759318704035,1.93014981900032,0.984776048573367,1.36906299939401,7.95683320769565,2.23304787022452,0.0379909057981112,0.984190723868781,0.991841836544672,124.594356775284
"TC","A",36,8,0.0446963250675446,17,0.975785000820829,1.4366520133445,6.99338356564856,1.93744652438151,0.98698032972407,1.2368629460158,8.73554040562945,2.25671270935167,0.0429381035091407,0.986883651714683,0.993339287407003,123.510279178619
"TC","A",37,8,0.0455089650086502,17,0.97629403347273,1.44330467200323,7.04276141401592,1.93370848798428,0.985647698304004,1.30666052352928,8.07209458089234,2.11535924612944,-0.00935809307002338,0.984638981573519,0.992014517278746,120.457784414291
"TC","A",38,8,0.0430941093020819,17,0.987246172797011,1.15499708979352,8.91812729904708,2.38573277746752,0.964287136667126,1.93546294144588,5.2883945474774,1.46963616512083,0.0727664558490431,0.964211392862685,0.981689262079618,124.503046751022
"TC","A",39,8,0.0484143449491353,16,0.986047929640347,1.22429299767279,8.57604584095714,2.28670954609857,0.962458147434076,1.90603868092069,5.11405239774208,1.46463214935991,0.108529031313844,0.961729675290839,0.980973569229327,114.119539260864
"TC","A",40,16,0.044636425701478,17,0.974228006880265,1.48320752603276,6.74078623610628,1.86930079158644,0.990297130281518,1.09254125735382,9.98257358864746,2.60339901203278,-0.0225207984633456,0.989955982674825,0.994860052605976,131.530408859253
