"filename","Texture","run_id","C","sigma","pca_components","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","Cl",1,8,0.0340568573829392,23,0.922930991266916,1.16187775736064,3.57237452432693,2.20518943905105,0.888008351086962,1.25325290873002,2.9887188673063,2.14167008215435,0.0103565763979045,0.887906441790099,0.940050926094956,117.838766336441
"TC","Cl",2,8,0.0357440760708017,22,0.907612569471241,1.16083834151992,3.37471281785137,2.28265565085535,0.898836973512676,1.44320923783805,2.97416280340522,1.70775558760425,-0.0658668353489823,0.886806546545591,0.933608725282468,93.4209570884705
"TC","Cl",3,8,0.0335249571653153,22,0.906449190736434,1.25646578874734,3.27540318259975,2.09334301304157,0.956711261630098,0.804114026675814,4.77028536373086,3.19679583333068,0.102001209072519,0.95599904868916,0.977475265693619,100.67217206955
"TC","Cl",4,16,0.0337462382980951,22,0.925554385773411,1.0713213156049,3.68095228944848,2.32307585385321,0.906709393940133,1.32035800294294,3.20246003988736,2.20142863035732,-0.0197896747062168,0.902369987026475,0.945333313783067,102.245218515396
"TC","Cl",5,8,0.0337304760286342,23,0.909249638092543,1.19305768157754,3.37650733131663,2.23994635067971,0.928190296591159,1.1788596126531,3.43171587406771,2.14463710764512,-0.0592152100559336,0.914978622223176,0.950618814340667,110.98414349556
"TC","Cl",6,8,0.0324772877250449,23,0.90901961546903,1.24647224775008,3.38053710237157,2.18335618375168,0.934075951723831,0.92631038336229,3.84583812162774,2.6202465216788,0.0240072295648603,0.932303099396777,0.963515811811046,113.40801525116
"TC","Cl",7,8,0.0333411102898392,23,0.908128479272663,1.2659658101682,3.30844635093428,2.13950586836159,0.954189933372972,0.779855861059655,4.66730328672285,3.14222998423109,0.0443974194711845,0.954035902182903,0.976533915875548,112.548908233643
"TC","Cl",8,8,0.0344368564016308,22,0.921234606230049,1.1211937959435,3.65773330972134,2.36857858972118,0.893610886834306,1.2905392960141,2.99867001874792,1.95693588548614,-0.0112886858585695,0.888649177154355,0.936930046736096,94.7930257320404
"TC","Cl",9,8,0.0335829891507304,23,0.90043125374338,1.31234921119346,3.18395209963811,2.00102893924998,0.954929528058398,0.785853657900688,4.67116213534461,3.28252422580948,0.102971417728305,0.954111812728625,0.97640843927003,111.637977838516
"TC","Cl",10,8,0.0340215933663238,22,0.915755614439181,1.08421283188273,3.52935893887899,2.38674035567944,0.896766293265801,1.51052512766138,2.96125169393124,1.79870454337061,-0.0901991158781527,0.885817343869686,0.933353724998695,115.648056507111
