"filename","Texture","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"TC","Cl","mean",1.18043473279789,0.915498152699284,3.53930806086403,2.31158159420349,0.0062013174048347,0.911254544144924,0.950417524430665
"TC","Cl","sd",0.267723978499802,0.0297308604247416,0.693877026556215,0.532707164489877,0.0546032305649621,0.0321696233337672,0.0199307070622427
"TC","Cl","q25",0.960710887584586,0.894031958565581,2.98489571879035,1.88566906403953,-0.0390825922287973,0.887618927817941,0.936536647100584
"TC","Cl","med",1.24270350736629,0.915167693628249,3.3535942297876,2.17303286900122,0.00831281261184549,0.910963250775888,0.950918196075185
"TC","Cl","q75",1.38276472661442,0.940987218473401,4.04724618135,2.70416612307467,0.0396533769098966,0.938872660975027,0.966444375175338
"TC","Cl","q2.5",0.781205365348888,0.856251136079619,2.50694370182505,1.59533024144202,-0.0772039472519631,0.840642149067991,0.903107871599877
"TC","Cl","q97.5",1.65706703092722,0.958863179942671,4.90093562283025,3.26323533750175,0.108114673621925,0.958310867914428,0.978344709113369
"TC","ClLo","mean",1.21698184703959,0.908657031257262,3.40050196772718,2.24567400367392,0.00411371844482738,0.903155002420693,0.945264766991536
"TC","ClLo","sd",0.310829664168902,0.0352720635611742,0.660316445505621,0.525515289759714,0.0586785280645231,0.0380460797408848,0.0241510670541433
"TC","ClLo","q25",0.960216122228168,0.883751691294136,2.82939273591158,1.76883837970466,-0.0437337766357032,0.874922838994589,0.928168853793282
"TC","ClLo","med",1.22207714870588,0.914752865965612,3.36064699631965,2.16455190489429,-0.00439044331264659,0.91131939095579,0.951860386337449
"TC","ClLo","q75",1.40822458237805,0.937735614409372,3.85131048687914,2.68686501592407,0.0517385973478606,0.9324921395286,0.965399388267691
"TC","ClLo","q2.5",0.810536790121313,0.8368851463597,2.37471514678305,1.46278992173276,-0.0850038076304261,0.822408874375027,0.891227100766982
"TC","ClLo","q97.5",1.82750283408214,0.957829787414822,4.56414657721692,3.05662807444344,0.106496452042159,0.951927113404004,0.97499199150486
"TC","Lo","mean",1.07160414742678,0.941345106066243,4.11219959538626,2.44290902128158,0.00970929482245558,0.938418907014192,0.96658580578479
"TC","Lo","sd",0.148617657681406,0.0135388013208059,0.475861097291561,0.356657625367049,0.0302133819776369,0.014550852957562,0.00857809907189063
"TC","Lo","q25",0.943367458163314,0.934390519955651,3.76388814838318,2.13838799547026,-0.00783099558929654,0.929361333870562,0.961585622886216
"TC","Lo","med",1.06031872125327,0.942296451464625,4.0378255972429,2.47952542893175,0.0146708934398182,0.938622820975004,0.967162586383398
"TC","Lo","q75",1.20154516770706,0.952154281231517,4.46830228950294,2.71862769471427,0.0309951883498162,0.949879270563979,0.973281386969408
"TC","Lo","q2.5",0.849812315896645,0.908502146914267,3.26888074203205,1.8246588432612,-0.0548602047070877,0.906298542456332,0.94841496354093
"TC","Lo","q97.5",1.36259635254978,0.961940731096504,5.01447818194703,3.13346186282701,0.0583381537807388,0.960186888139282,0.979003535343813
