"filename","Order","run_id","C","sigma","pca_components","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","alfisols",1,32,0.047119624525287,19,0.958617725521146,0.922454611819896,5.4791556006017,1.3416678952456,0.96903324423333,0.713387041667502,5.62917499634514,1.58106552841718,0.0715424820499004,0.968422164432907,0.983688524627903,171.96382522583
"TC","alfisols",2,16,0.0468331491083821,19,0.959012602889264,0.882297100211648,5.26921184169986,1.39573349181879,0.968500987084911,0.899797350563224,5.5957496400548,1.27766202776702,0.075413571786566,0.968043786947109,0.984013846254924,170.122098445892
"TC","alfisols",3,16,0.0469489773674793,19,0.964166420219777,0.841423075058927,5.6459713501472,1.39951646788095,0.958780067612207,1.02253886657235,4.70245420317837,1.23662670568085,-0.0161781530210051,0.954749570109161,0.975389421483096,175.914559364319
"TC","alfisols",4,16,0.0464162477256861,19,0.971859510993545,0.775056672855515,6.20947903321307,1.61179542251729,0.954822927635257,0.996660229299443,4.67786919806595,1.09722898822668,0.0830313191365281,0.954272683995931,0.976965943389846,184.352187156677
"TC","alfisols",5,64,0.048330102149198,19,0.947479393691299,0.996126600315446,4.61398167917388,1.17590878220606,0.978304433234991,0.762435969517084,6.74960906959345,1.66564251068108,0.0422711882881694,0.978035838948517,0.98873936254691,170.693532943726
"TC","alfisols",6,32,0.0464182551115422,19,0.972141729115932,0.771379774950857,6.44370170017199,1.52809301692554,0.94118207456933,1.03418012364951,4.11626564171331,1.20787960814005,0.0311136677307497,0.940943858181505,0.969988675811289,170.049518823624
"TC","alfisols",7,16,0.045157963942796,19,0.957786928670263,0.928861725205177,5.26019570799646,1.32750286887709,0.983303055869261,0.5809346309203,7.71091329435107,1.9881578296861,0.0344621391581565,0.983170926026149,0.991442142616802,190.061764478683
"TC","alfisols",8,16,0.0443903411133574,19,0.955207967583138,0.916658799718648,5.22907870789757,1.316181612908,0.982959979749158,0.618092735239828,7.61804571041679,1.93662860239822,0.0629832850064216,0.982758116338377,0.991347257509895,175.264881849289
"TC","alfisols",9,64,0.0445960911318407,19,0.965984052959924,0.847549117683957,5.85491320161817,1.45407180750502,0.95897930435693,0.866895318483841,4.93431484759361,1.3128163265323,0.0280236021418371,0.958902240720012,0.979143459401801,144.583245277405
"TC","alfisols",10,64,0.0464594803875179,19,0.956576095219313,0.919554294813847,5.07091331803951,1.28384803829228,0.975639569215256,0.793550997625536,6.30624523480458,1.55919409238001,0.0317980910095892,0.974838869629321,0.986908683394499,173.688407659531
"TC","alfisols",11,16,0.0469379365876548,19,0.965040476711366,0.8396009783561,5.75726726098227,1.45808885894458,0.959654282373583,0.928173551880631,4.96745739075566,1.2851695543178,0.0648438995254187,0.959448814263179,0.97925220602646,148.830916881561
"TC","alfisols",12,16,0.0474435436234791,19,0.963166574721315,0.870453828730439,5.53362542514805,1.38848534535458,0.96750103698215,0.840701840147461,5.53396407271306,1.43913784854781,0.0476020256439286,0.967326234467662,0.983254654793295,147.256651163101
"TC","alfisols",13,32,0.0456685384941616,19,0.947975152355038,0.922793201118593,4.80546716349175,1.29734420295772,0.972888391857645,0.919700027020998,5.94083258305462,1.31691219899502,0.0152685020402903,0.97164842231205,0.985116366016324,163.001253843307
"TC","alfisols",14,16,0.0497259995275887,19,0.955740224252427,0.963368594111094,5.05970067519663,1.29233434649047,0.973821969934926,0.75192255888538,5.99617695211191,1.46224953887519,0.0702031095834158,0.972169373858044,0.985362890352724,166.187977552414
"TC","alfisols",15,32,0.0448683215141435,19,0.962149406913297,0.818177038286294,5.81110296066722,1.43721668413351,0.960890634687258,0.981844900489069,4.88832438669027,1.35088548032314,-0.00147590245867905,0.958125288943406,0.977493512115987,135.371749162674
"TC","alfisols",16,16,0.0447728618457355,19,0.956178378151735,0.918450119614124,5.13071226801845,1.34899212656267,0.984931516729425,0.609908899488672,8.0272999239299,1.83696443180169,0.0355745599924027,0.984471379402524,0.992017517775578,137.909243583679
"TC","alfisols",17,16,0.0447163519817783,19,0.967067970120024,0.859917752502981,5.93154300745375,1.36943020314715,0.955212419125056,0.828934540428268,4.67674711031977,1.51676565661074,0.040336077746721,0.954250738735632,0.975909722188189,129.939413309097
