"filename","Texture","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","Cl",1,30,0.926388889550916,1.12260869188614,3.69733686437394,2.28232738488351,0.938890282758944,0.929767190450163,4.02855752741115,2.88680251096026,0.0129364862526091,0.938304761663162,0.968933182935261,28.6704041957855
"TC","Cl",2,30,0.929263349162436,1.04854039770112,3.73614220221703,2.52712647582253,0.9274269389783,1.20317405192629,3.56751313397812,2.04845561292988,-0.121264394002504,0.921328102631553,0.956130897441004,27.1842677593231
"TC","Cl",3,30,0.923111460865959,1.15748140307239,3.55550597389022,2.27235951525305,0.943981394315041,0.922023879498995,4.16025382586254,2.78798459254309,0.0631067172544434,0.942148965641882,0.971397826370001,22.7921192646027
"TC","Cl",4,30,0.938999121198555,0.982300840163351,4.0145365739024,2.53360333030575,0.909760080586012,1.27016944104257,3.3289997429788,2.28841429818542,0.0290588012355362,0.909651018224344,0.953062138460815,23.2651197910309
"TC","Cl",5,30,0.926553879294842,1.10010665665122,3.66179768495606,2.42920555370048,0.934021195948165,1.03921573197189,3.89285027312154,2.43282120566319,-0.0319533114282481,0.933928314583742,0.965649497588808,23.614363193512
"TC","Cl",6,30,0.930415631620124,1.11447807826911,3.78091392083725,2.44194385072763,0.922559208146945,0.995766983904505,3.5775837544097,2.4374794497432,-0.00531771547383359,0.921770389814915,0.960434639322215,24.913111448288
"TC","Cl",7,30,0.928638139694469,1.12479821589661,3.7236723048319,2.40802416088555,0.92749283162467,0.988417304239136,3.68247683228864,2.47920231615768,0.0113054816858257,0.926163561682096,0.963059465295434,22.7233242988586
"TC","Cl",8,30,0.934109091356109,1.06301133603776,3.857934299517,2.4982194732735,0.921445844464355,1.08707845949764,3.55991001492375,2.32320182405885,0.00667098741784915,0.920991694939091,0.959744665376777,19.935581445694
"TC","Cl",9,30,0.930104064262536,1.12399958447691,3.71748983197571,2.33634316797556,0.933555888662448,0.991677997927588,3.70165503155168,2.60123112077794,0.0521201821504842,0.926926669887476,0.965122051568428,21.2117249965668
"TC","Cl",10,30,0.919526882073043,1.08959166402478,3.51193605475823,2.374958074148,0.945946281430201,1.03987678353733,4.30151452924746,2.61279841324821,0.0170440981652848,0.945886204335246,0.972003544515113,21.4534838199615
"TC","Cl",11,30,0.929813598501958,1.07648018363404,3.77481873974968,2.4211666128413,0.921549625201667,1.12759201591339,3.51460786804821,2.30843985525341,0.0146084079523944,0.918941785742898,0.959910826854832,20.2683091163635
"TC","Cl",12,30,0.933023320565258,1.07148598191359,3.84371502038414,2.44313008680231,0.923560583952904,1.06260635805038,3.60082754604426,2.42721490461636,0.0923711613776011,0.922777093906412,0.960429761624764,20.2938330173492
"TC","Cl",13,30,0.931870592724131,1.12434908482574,3.79446855269962,2.35168517116711,0.918460135651873,1.01457091386561,3.37290780244571,2.50381551972668,0.0657739173340167,0.91198800900152,0.957577862372156,21.2230896949768
"TC","Cl",14,30,0.933080074119664,1.01100702392082,3.92192326248679,2.57906242815996,0.915496312891619,1.23004853843936,3.40486287629102,2.11191230981498,-0.0398105329952631,0.913632264448587,0.952978527491134,21.0503442287445
"TC","Cl",15,30,0.92613263566006,1.11369596992585,3.71131770128562,2.38237740069818,0.938988692564541,0.939396512832989,4.03442967328992,2.68088603225179,0.00464365928716006,0.938484226824575,0.968977758143144,19.818088054657
"TC","Cl",16,30,0.932254879808053,1.07258972394466,3.76606600401901,2.47291532893415,0.928361611828447,1.07538660912631,3.73727731879235,2.29985247074014,-0.0228566260090548,0.928313044700392,0.962675858977849,20.8313481807709
"TC","Cl",17,30,0.92785643747092,1.09948219015211,3.65985121370798,2.31446410209515,0.938548614337108,1.01989534546638,3.97643355952718,2.73041983413169,-0.0234917402559362,0.936676731276125,0.968706004524367,23.3068330287933
