"filename","Texture","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"TC","Cl","mean",1.08979142962425,0.926979566522826,3.70282185741255,2.40609771098632,-0.00419194413966686,0.925476131010212,0.961521002583826
"TC","Cl","sd",0.123304345349209,0.0116784138185781,0.315844450275599,0.251734585638435,0.0417304768021279,0.0119803828582312,0.00699929419557988
"TC","Cl","q25",0.989232477661249,0.917866030046639,3.43966968280441,2.24680212630532,-0.0298379186351701,0.915371325593408,0.955550677495759
"TC","Cl","med",1.08508641148226,0.924795427170009,3.62278185188646,2.39697666920336,-0.00324682756559155,0.923701804514723,0.960560432690406
"TC","Cl","q75",1.19626797769618,0.93750786440346,3.93886479041042,2.57302315984049,0.0161295214561329,0.935462308006764,0.967974806794134
"TC","Cl","q2.5",0.906679307522451,0.909528425666056,3.28267759269503,2.02267773273232,-0.0796688532807403,0.907083180518495,0.95138050881774
"TC","Cl","q97.5",1.30228359758401,0.945674851370818,4.28917876142763,2.88522068573323,0.0834742815351424,0.945569795836788,0.971981692129737
"TC","ClLo","mean",1.19934622596642,0.910716662482665,3.31148213605441,2.16800563434886,0.0113258601821464,0.906266394334467,0.952052436026932
"TC","ClLo","sd",0.120037056407506,0.0164085449557788,0.303565297330923,0.205519706201183,0.0523314789640397,0.0185295548891405,0.00837844621315089
"TC","ClLo","q25",1.1320065421207,0.903676423759047,3.15060785204338,2.05878911447931,-0.0292173383160815,0.899126820375371,0.94686565734776
"TC","ClLo","med",1.18670682839653,0.912847625549844,3.28191360357605,2.13716761395409,-5.48152809026101e-05,0.907036759311107,0.952982973559
"TC","ClLo","q75",1.25442439099255,0.922384826553278,3.51569460890915,2.26477157808253,0.0468733059351349,0.918987297479337,0.95737210817594
"TC","ClLo","q2.5",1.00346697931821,0.869111649271267,2.67770572932141,1.81639538875804,-0.0765905138440727,0.859952147246131,0.931795506390465
"TC","ClLo","q97.5",1.45427588674504,0.933179619302374,3.85031136339621,2.53702590648234,0.112922214094562,0.932428153158039,0.964419057367448
"TC","Lo","mean",1.18444753069534,0.926338211269499,3.67576693375808,2.17723424583063,0.00358209007494909,0.925173297218962,0.961344050772207
"TC","Lo","sd",0.0799789095790179,0.00887964610941445,0.212769054536185,0.162698545663283,0.0360062470526365,0.00910762631005619,0.00496862765869079
"TC","Lo","q25",1.11982960228199,0.921732235776251,3.56573143738474,2.07624256266413,-0.0170132918222568,0.921294616452932,0.958739672857134
"TC","Lo","med",1.19259328393418,0.926774546416831,3.68027136721761,2.16512228890589,0.00907934930996427,0.926117356273464,0.962104222388028
"TC","Lo","q75",1.23484756074234,0.931348794016247,3.80585618794518,2.25221455133194,0.0280864596565602,0.930912861008603,0.964583701911928
"TC","Lo","q2.5",1.0509268234941,0.906481610132528,3.26969526176587,1.86722801788339,-0.0699523021542694,0.906309684469297,0.950843642050108
"TC","Lo","q97.5",1.34315631211671,0.939162990885189,4.04456505872899,2.5386016871193,0.0633644832080452,0.938824352348812,0.96859429765759
"TC","LoSa","mean",1.05302340960478,0.891719079103047,2.99345631204168,1.24724919765502,-0.010857472996228,0.884273703848184,0.93992039097868
"TC","LoSa","sd",0.130775874773119,0.0238736047964251,0.312458059480774,0.174834761386888,0.0509041887264989,0.0266253586583926,0.0125958427955465
"TC","LoSa","q25",0.957901747946654,0.875277525288121,2.75313097576308,1.13474769001616,-0.0393672094405022,0.867830449292671,0.932701382683758
"TC","LoSa","med",1.03273734982641,0.894996814815419,3.02783726512929,1.22799570172144,-0.0121143894901008,0.890750579934174,0.940852414705147
"TC","LoSa","q75",1.13237262230627,0.906345467942411,3.2369866034855,1.37081239223174,0.0213952625781335,0.904412364838057,0.949906021179886
"TC","LoSa","q2.5",0.844405706404572,0.832724562258136,2.34052360096347,0.980469947433312,-0.118410978603431,0.817164243874424,0.911683595565256
"TC","LoSa","q97.5",1.33290165057811,0.926700531528633,3.46931817345924,1.63301117961907,0.075093129779655,0.916780328406462,0.957381832375891
"TC","Sa","mean",0.941180835632811,0.869230083843623,2.74908016955151,0.829877535400923,-0.0230048523945855,0.841124519480073,0.905039241782881
"TC","Sa","sd",0.416194039099659,0.0985175683481915,0.605085185504086,0.214981134815051,0.0444209622345931,0.105866375166699,0.0931159765556858
"TC","Sa","q25",0.751814737587004,0.846801685084767,2.28100292151431,0.740850434133247,-0.0512925864886113,0.807511518618565,0.878396374405272
"TC","Sa","med",0.844155718415044,0.8947766987363,2.81657610823208,0.814324997965185,-0.0163660114575871,0.873786378050008,0.928596424769065
"TC","Sa","q75",0.961950008312419,0.91752709839533,3.14163600272892,0.941821801879492,0.0125948298412788,0.898555530276348,0.946838257923964
"TC","Sa","q2.5",0.583662973898673,0.761855476922512,1.81209494591009,0.471215671764488,-0.105594474200644,0.694316807731522,0.81425226659609
"TC","Sa","q97.5",1.43756346325167,0.941016867177344,3.85198493728153,1.25186573169494,0.0346403723671432,0.932517403456559,0.965186976991693
"TC","SaClLo","mean",1.13407673689989,0.828083296599088,2.23051922180504,1.36321955832522,-0.00547801158367348,0.789802960370273,0.889118566705715
"TC","SaClLo","sd",0.377358341656692,0.0374165200384209,0.278484006653659,0.367264802789407,0.0697730251516757,0.0480222909326884,0.0414677616413159
"TC","SaClLo","q25",0.889825888218323,0.80757333947986,2.02805230419935,1.18835271895502,-0.0730918222449493,0.75612523962956,0.859386245527902
"TC","SaClLo","med",1.00414821544017,0.827113682246889,2.19947012919263,1.43403629291508,0.00365015997620742,0.792665828328581,0.903013578404545
"TC","SaClLo","q75",1.0739959567151,0.853955483519441,2.37191175026334,1.56132910807952,0.0520716939322863,0.82161157953366,0.919910798898066
"TC","SaClLo","q2.5",0.733269863882278,0.745764891247111,1.82992207283906,0.712547768601787,-0.113949082185254,0.700418082382468,0.805552697755513
"TC","SaClLo","q97.5",1.87909288608802,0.894932287301905,2.88924754218749,1.95642360538887,0.0879701273101105,0.879636771894377,0.943454437182306
"TC","SaLo","mean",1.32138745087838,0.87428986708168,2.83460279330578,1.64673145209082,-0.00428929317388827,0.870015385724818,0.931311582216978
"TC","SaLo","sd",0.199893577387518,0.0296368928312852,0.336389374727508,0.235118242576414,0.0405254986143691,0.0320510254664486,0.0166525309614035
"TC","SaLo","q25",1.14555844945146,0.850553715618215,2.57906328939006,1.46114924614701,-0.034217258656392,0.849563911841179,0.918048621246132
"TC","SaLo","med",1.35903603517211,0.876186115253675,2.79770698266441,1.57237286810473,-0.00802290532769382,0.872147140794375,0.930204109492955
"TC","SaLo","q75",1.47723783699665,0.897930168461563,3.08802028817244,1.84706191242185,0.0199921182178331,0.895066175492768,0.946464171471182
"TC","SaLo","q2.5",0.988873699709348,0.817535130007103,2.32158921836708,1.31355503825809,-0.0692999375326829,0.814343636277417,0.901590073923713
"TC","SaLo","q97.5",1.6224465460761,0.915515918531758,3.32190607193214,2.08775760581393,0.0718641500369448,0.909321152821762,0.955601948463944
"TC","Si","mean",2.97939502212915,0.971345690815393,6.393314388093,2.26993006085893,0.135121301886464,0.968701618986829,0.98445603581895
"TC","Si","sd",0.901659422930248,0.0208296562554462,1.48713877549728,1.52734704433662,0.509875469852352,0.0238649016077231,0.0113782518088141
"TC","Si","q25",2.4889386995506,0.968416579159443,5.36156730245141,1.10776693308758,-0.190886974227751,0.96441672186386,0.982824943682259
"TC","Si","med",2.85417583290971,0.977228079119258,6.44115495743326,1.93428690101345,0.154846180101944,0.975348504324381,0.987723826736346
"TC","Si","q75",3.17785782574105,0.98247485688458,7.3370634380253,2.6222330834546,0.436158308082394,0.981001425748255,0.990634619211745
"TC","Si","q2.5",1.91714590923339,0.897976552854153,3.1019752266987,0.59056370952687,-0.717797406242647,0.890458728640942,0.945337435646365
"TC","Si","q97.5",5.77337219740577,0.988212083646688,9.02717078283824,5.40866674250509,1.24045807510565,0.987438757035595,0.993533266188515
"TC","SiCl","mean",1.1959709908106,0.938013602041364,4.00976924065318,2.2114290142964,0.000340125762122806,0.935966344519637,0.967293291682477
"TC","SiCl","sd",0.111270883850752,0.011225805498908,0.392903090629254,0.254810943298379,0.0642832943750392,0.0123205668399726,0.00572507631935728
"TC","SiCl","q25",1.12091767298932,0.931637913501586,3.74301498959791,2.03727503475048,-0.0434468157389486,0.928518499613052,0.963712342737185
"TC","SiCl","med",1.21715116759876,0.936814558320088,3.93953330661427,2.13574072982747,-0.00370883526535144,0.935472205186155,0.966899402390938
"TC","SiCl","q75",1.26409024587029,0.946706146005003,4.30842684533164,2.32590218215532,0.042425059080892,0.946041158678878,0.971557842916762
"TC","SiCl","q2.5",1.00199202467837,0.914948427780198,3.34264784280315,1.79416084064775,-0.115474573650111,0.910343504630323,0.956275393805129
"TC","SiCl","q97.5",1.39747332751184,0.956515816297828,4.76297188991158,2.73289671762177,0.112183830420683,0.955852909813325,0.977794635687232
"TC","SiClLo","mean",1.05615776048265,0.961188494900596,5.09147498790173,2.09866348827675,-0.0044876651819209,0.960360525879338,0.979960222388008
"TC","SiClLo","sd",0.0645342034313627,0.00743148300945852,0.45714617071274,0.142818563683626,0.0378686233997604,0.00810538516235683,0.00369678942484545
"TC","SiClLo","q25",1.00270969112938,0.957581310118749,4.84074027388414,1.99862702334269,-0.0284556119470385,0.957286164915122,0.978403604065789
"TC","SiClLo","med",1.05451474915236,0.963405140797066,5.20151592318336,2.10133464900717,-0.0048969087265924,0.963005967800152,0.981051750398168
"TC","SiClLo","q75",1.09015863178786,0.965837650958223,5.38821156356297,2.16845850505632,0.0234314596356111,0.96552502711285,0.982372870352942
"TC","SiClLo","q2.5",0.960318431016628,0.944757172938425,4.16431213319245,1.84315751415961,-0.0760277145956874,0.94221595922207,0.971723225913971
"TC","SiClLo","q97.5",1.17929619191852,0.971533238253211,5.86035256458284,2.35863526570627,0.0654943903382768,0.970856295618819,0.984833190238772
"TC","SiLo","mean",1.2640692232524,0.95885018906324,4.95130779449589,1.75533447949324,0.00563911713643709,0.958625938995147,0.978994445142019
"TC","SiLo","sd",0.050047151389543,0.0056163024780241,0.335047896472592,0.0783143599802521,0.0371048715221945,0.00570476098724924,0.00277029826791076
"TC","SiLo","q25",1.22734497210995,0.954667999589924,4.68129024448543,1.70589436884197,-0.0237185529195312,0.954342479710723,0.977016339249458
"TC","SiLo","med",1.25612165816768,0.960000122654416,4.98957427829364,1.75947593297417,0.00378617636563164,0.959811944432616,0.979477478461122
"TC","SiLo","q75",1.30333534841216,0.963271151451018,5.19805997535075,1.81851634297848,0.0351030016280255,0.962971132494184,0.981129889294808
"TC","SiLo","q2.5",1.17944037513001,0.949270512460034,4.42079440232093,1.57052111111576,-0.0544742707430587,0.948804987912132,0.974093576247681
"TC","SiLo","q97.5",1.35335531246377,0.967533906176744,5.51698042152631,1.86388078573903,0.0705423788798195,0.967125548497257,0.982917292012699
