"filename","Order","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"C_hpom","alfisols","mean",0.815600874539739,0.89553308584251,5.48983935990659,0.601112692318047,-0.0657760873093262,0.81300842410538,0.931209321431457
"C_hpom","alfisols","sd",0.162504656165121,0.183507958533488,2.5104959592745,0.217736905062339,0.145293086565914,0.376778914094167,0.124176929467196
"C_hpom","alfisols","q25",0.724386427695594,0.963465789587633,4.33791966860221,0.434815374079412,-0.165489336053588,0.94562190553715,0.975233529907144
"C_hpom","alfisols","med",0.789069660190833,0.975312836370479,5.95772691863115,0.525184207793173,-0.0920405943569006,0.971170949734493,0.985124347649559
"C_hpom","alfisols","q75",0.869855745537464,0.982825528201806,7.16815992177164,0.697768715696656,0.0312260048532906,0.980084712392338,0.989307973254881
"C_hpom","alfisols","q2.5",0.599884391435079,0.412596728598934,0.867753248260978,0.311359537942903,-0.302342738791647,-0.390228877220164,0.590741112498526
"C_hpom","alfisols","q97.5",1.26800490298248,0.991458322784465,9.85947817340015,1.09728108684363,0.23846784000497,0.989462991978914,0.994559757595649
"C_hpom","andisols","mean",1.06414726861526,0.940420833960049,4.67684795770562,1.8953745859273,-0.0148949851023237,0.934183997001779,0.966858568690522
"C_hpom","andisols","sd",0.186885134755631,0.0512783543046354,1.39553017108915,0.377112160101096,0.161889421771796,0.0550536567093601,0.0279010522642122
"C_hpom","andisols","q25",0.946020366700418,0.933197749748576,3.85683701514739,1.57740007603806,-0.130077252478707,0.931650614096707,0.965670445845164
"C_hpom","andisols","med",1.06514738260521,0.964626356822918,4.74540380256299,1.93018287948508,-0.000949243542035833,0.954776112918792,0.977869843298125
"C_hpom","andisols","q75",1.14595285427175,0.9707796579456,5.56662032224059,2.20021981726753,0.0782896079840506,0.967190654330499,0.983132010613656
"C_hpom","andisols","q2.5",0.751780820962205,0.792207614656403,2.14656820782684,1.3474280394371,-0.300720219407893,0.779226369503965,0.886984290365493
"C_hpom","andisols","q97.5",1.43197831236982,0.981073615008919,7.04496987818559,2.54361547892681,0.281335372373896,0.979469161979351,0.989909904653542
"C_hpom","histosols","mean",3.70297073414303,0.858363925970754,2.75731884557343,2.30230476484831,0.152703135098412,0.850718970201123,0.921363254568676
"C_hpom","histosols","sd",0.585092383418072,0.0490970800436652,0.576918702316683,0.486337327997473,0.543245839925838,0.0523089793075662,0.0287037733751057
"C_hpom","histosols","q25",3.34374534477223,0.825977096380276,2.31500643214011,2.04576686255096,-0.286961708672806,0.809933041401054,0.903210308126966
"C_hpom","histosols","med",3.69261137112881,0.854095105261661,2.62265978100668,2.26060514333083,0.124435491949314,0.851812388006199,0.917057695149472
"C_hpom","histosols","q75",4.07853298487771,0.896653362794108,3.03989473307714,2.49698930091351,0.494912618707305,0.889781028744251,0.943218434245761
"C_hpom","histosols","q2.5",2.57037609503986,0.763563100799647,2.05580639365016,1.39384470935778,-0.728245555923655,0.759006528980819,0.863549045478874
"C_hpom","histosols","q97.5",4.76968087858012,0.945143813571138,4.23082992622903,3.47226683898207,1.01575573883485,0.943085896842271,0.969619728270012
"C_hpom","mollisols","mean",0.277017266856454,0.905312116402501,3.22651971228085,1.7663367999321,-0.00255536501378559,0.901618247352591,0.949154932504367
"C_hpom","mollisols","sd",0.0200867343523744,0.0156838595990276,0.270765260436689,0.185720276276329,0.0139823939875163,0.0175016940067643,0.00786045403098544
"C_hpom","mollisols","q25",0.263704044634465,0.897715816122938,3.09135324427278,1.62134572760402,-0.0118402012091018,0.895126637421522,0.944335671387558
"C_hpom","mollisols","med",0.274990344187119,0.90626176538579,3.23025589386932,1.74315131728142,-0.00209695335036917,0.903952432837536,0.949387576537471
"C_hpom","mollisols","q75",0.294405107090297,0.917381483632217,3.40936698334554,1.84999223791401,0.00519582032761857,0.913779573168768,0.956014911701564
"C_hpom","mollisols","q2.5",0.241970305324381,0.866362448947221,2.66329814519218,1.50541469942035,-0.0265403396399933,0.858699434722316,0.930702387765583
"C_hpom","mollisols","q97.5",0.31780801332205,0.929177322287031,3.64495300444227,2.25422651792474,0.0235913133489699,0.924563661456266,0.959635741340502
