"filename","Order","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","alfisols",1,30,0.958284726922441,0.979998787333531,5.15742714989063,1.2628870091436,0.945419765123875,0.963421326512124,4.16824953648231,1.17073561583215,0.0511313980863601,0.94240769802054,0.971936976648733,57.4350557327271
"TC","alfisols",2,30,0.952690390386217,0.981844504878864,4.73497616499493,1.25422264562343,0.966744021543167,0.955988921189912,5.26684001135635,1.20256300258067,0.0730371719025411,0.963927885030025,0.98257339944371,47.6694185733795
"TC","alfisols",3,30,0.956294386132697,0.944582243470779,5.02936679995131,1.24667328667229,0.957782978034032,1.0022142550446,4.7978185969949,1.26170513304435,-0.0146473051918395,0.956530543337729,0.977000574105753,57.6960372924805
"TC","alfisols",4,30,0.961220606643138,0.906489973918653,5.30915762790343,1.37809885761859,0.947259233686461,1.07068176544866,4.35446491948383,1.02137211101354,0.0215385041869364,0.947228156408564,0.972984067064026,60.0395884513855
"TC","alfisols",5,30,0.948081334095733,0.987185393429889,4.65577176747364,1.18655930820677,0.9691585498899,0.904192035152635,5.6914289606279,1.40450890201175,0.0282949523664617,0.969109195426301,0.984381347512903,58.4415497779846
"TC","alfisols",6,30,0.961591149290011,0.941884053254847,5.27723253212807,1.25147043675562,0.945631443756176,1.01284264954897,4.20298267674351,1.23332591005747,0.0332219619317229,0.943355642009624,0.972225515618129,59.3538756370544
"TC","alfisols",7,30,0.952640488755599,1.0001024835306,4.88549377759541,1.23294024893027,0.958900814594695,0.910000086940704,4.92256718762727,1.26921936775074,0.0348559606087718,0.95870584782794,0.979163318681191,55.0872519016266
"TC","alfisols",8,30,0.950669075659776,0.985641560677441,4.86310764810004,1.22406512228519,0.961164416281718,0.930899211746995,5.05818315335872,1.28587075259586,0.00255001818766256,0.960890455555138,0.980385160809532,60.9640874862671
"TC","alfisols",9,30,0.95329068698889,1.0127760738991,4.89972724083332,1.21685070299438,0.959204367905879,0.864101943884094,4.95026596292204,1.31706025609017,-0.0170768721792545,0.959166670515788,0.979255337085274,51.3133270740509
"TC","alfisols",10,30,0.962676693200983,0.871156776055011,5.35263025944427,1.35517281154162,0.94312243178087,1.19401208191632,4.19118639848166,1.03625419393931,-0.0351750516255625,0.943036337223853,0.970507303751881,54.1970844268799
