"filename","Order","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"AS","alfisols",1,5,0.49180883146307,20.0536409578034,1.34481459827106,1.94478399618619,0.469614232531112,21.6701741146873,1.36342743090907,2.22656263602875,3.39243652377715,0.453238659284647,0.649771686100705,5.21275091171265
"AS","alfisols",2,4,0.430940303853895,21.3383429274281,1.29033548339171,1.96828779736282,0.529703568699995,19.3289034892056,1.45798334154586,2.34105364669395,-2.35106524662816,0.521858179585161,0.697040495934624,5.00019574165344
"AS","alfisols",3,4,0.413937697853596,21.4622147198065,1.25793255450026,1.91033407014435,0.560193599707319,19.4211853130237,1.51970623615437,2.34280242254257,-0.358223752655786,0.559908922913823,0.714799733243244,4.61807322502136
"AS","alfisols",4,4,0.433994689683708,21.0345540062665,1.29791553039145,2.0442553708146,0.520791344037738,19.8465454950323,1.44375990425283,2.2925904163719,-2.60238824821643,0.51239078839767,0.679960205044739,4.52803635597229
"AS","alfisols",5,4,0.49359665916942,21.3794830022982,1.37072526418455,2.19836934293256,0.356410798923778,20.451112780485,1.15707711798169,1.4791371171189,5.97183881194328,0.240833135486148,0.564342245414878,4.80484199523926
"AS","alfisols",6,4,0.482830132073433,20.4576426022579,1.37448788860062,2.24854842243275,0.387052689157307,20.9082949028499,1.27760036895168,2.00877212585495,1.15135093055161,0.377310134628838,0.586832311147063,4.70921087265015
"AS","alfisols",7,4,0.508112891188176,19.7052744783058,1.40217370111245,2.18215686603808,0.367255378742727,22.4078458986759,1.2420815511796,1.79624584094353,3.03692188606596,0.341187801224331,0.571314745175096,5.212571144104
"AS","alfisols",8,4,0.499046451614793,19.9874523312345,1.37748177050653,2.151349721185,0.399648676485722,21.8771379880732,1.29471526610019,2.03408690955189,-0.106204693658517,0.393664052438989,0.596670829284772,5.30885291099548
"AS","alfisols",9,3,0.461372746338962,20.601423700009,1.32118416621525,1.99015371932679,0.371080833386785,23.0345135291006,1.26081207964242,1.97529676250891,-2.73432097230925,0.360616930315649,0.521147598441207,4.911376953125
"AS","alfisols",10,4,0.462529279512622,21.3763095021976,1.31374694594574,2.05835343072089,0.483517671353392,19.3771853460336,1.38920487944343,1.83205142367422,1.42223454105815,0.473341310212177,0.616871633282152,5.05857348442078
"AS","alfisols",11,4,0.476389153684331,20.3972120604415,1.33451426066869,2.10813124227867,0.474210628273107,21.0289429774857,1.34559076027798,2.08046595812449,-4.93385105992258,0.438647240531101,0.650191182860002,5.41359663009644
"AS","alfisols",12,4,0.464315530582174,20.5749807517222,1.33593622259804,2.18712233770782,0.474370591717946,20.7520228356176,1.36877345547027,1.87933486334944,0.624197423500342,0.457501295090076,0.67467231767591,4.94380211830139
"AS","alfisols",13,4,0.471702143554373,20.8230003174721,1.33162242922519,2.06502422054518,0.487494179566271,20.3279249408113,1.36698138445857,1.98003485929802,-4.84455724600573,0.456077964130581,0.649484645752654,5.23441958427429
"AS","alfisols",14,4,0.43015558108438,20.7551993746161,1.29396428710667,1.83086653681942,0.504278774652315,20.9531960886534,1.42145278768819,2.41013350833608,-1.9483068031804,0.496966422278787,0.64930977878953,4.92123198509216
"AS","alfisols",15,5,0.542540660247682,19.4347160365626,1.44207131918691,2.2125355430511,0.352026880644996,23.6274151232734,1.14940038980743,1.85166256112821,4.26647921978933,0.230658474429906,0.58237134855767,5.28452682495117
"AS","alfisols",16,4,0.450952789333039,20.7611361753393,1.30614614615422,2.02301066980568,0.526792316164935,20.7140189992588,1.38384336161033,1.93105934688152,-6.31495796261915,0.4692524659945,0.63501905846468,5.22112822532654
"AS","alfisols",17,4,0.507639885220689,19.6766591306286,1.40031459156894,2.18533033044549,0.381355131738027,22.8589216778458,1.23395632349358,1.96859679709269,3.75261996208832,0.332483079749228,0.594879311131328,4.89261960983276
"AS","alfisols",18,4,0.482985033137771,20.4589549938171,1.37065882133191,2.10176912813949,0.337434099266557,22.0989243766379,1.22203193016935,1.88923222182417,-3.59739583289571,0.319392473814572,0.496932370524088,5.20080542564392
"AS","alfisols",19,5,0.494968443931959,20.7297781835179,1.33828697860971,2.07431066648793,0.429217850580134,20.7334473968559,1.33286522527792,2.23069512342716,-0.595638061593558,0.427877035991059,0.610585682085474,4.9393322467804
"AS","alfisols",20,4,0.468553885902415,20.1832469325471,1.33984544843814,2.03138772156051,0.461071059927035,21.3663589306535,1.36789342354295,2.24652221540359,-1.50989070646606,0.456803039297513,0.642392940106139,5.09097814559937
"AS","alfisols",21,4,0.450199744643601,21.0895227903553,1.30519280550263,2.03892712165421,0.538839642888864,19.7797111811631,1.42447654735905,2.04755264771356,-3.21793779636888,0.499099750857002,0.626201158629789,4.99059462547302
"AS","alfisols",22,4,0.507138239494595,20.9874632025708,1.39485700117788,2.28707965020377,0.265758727036207,21.6177350315636,1.0531351662688,1.54965355765011,6.58414511730497,0.083581971128099,0.482426039338684,4.88200736045837
"AS","alfisols",23,4,0.518674022508088,19.9341006327134,1.40931865107192,2.10694230825116,0.403545621136184,22.2304218709151,1.18407367630829,1.37199375599364,7.48301850385295,0.275056096354677,0.59893239240868,5.07200956344604
"AS","alfisols",24,4,0.473836495542803,20.7314983864155,1.33426872338643,1.97766698941866,0.483900497266641,19.9952041377767,1.40227738261164,2.28804865830628,-0.19525728118251,0.483114920634849,0.660488783547474,4.98335099220276
"AS","alfisols",25,25,0.57684815263288,20.1547278496632,1.40713609828357,2.1831105995676,0.129398435611153,47.9187221577567,0.548812495363492,0.746054952849219,2.92248147822414,-2.37453450204572,0.292400118877781,5.25949788093567
"AS","alfisols",26,4,0.496341926584112,20.1431590069241,1.37010510165984,2.08507513571048,0.385534585157368,21.8493943751289,1.28167032475162,2.26550901824289,-0.496117607735979,0.381258570200403,0.578495230984649,4.94637155532837
"AS","alfisols",27,27,0.620282410758659,17.7744282386557,1.53997780164776,2.41920580637773,0.233859337334337,32.368053252338,0.877111176897182,1.44432535486586,1.35819688817901,-0.321151323293812,0.473210867722265,5.27187156677246
"AS","alfisols",28,11,0.485188592472302,20.7453932183283,1.34865607559236,2.16915628093484,0.271226044797982,28.329020433089,0.962950037722214,1.44727912837081,-0.904322319865353,-0.0961105187838571,0.516899896892436,5.09609341621399
"AS","alfisols",29,4,0.4979349214907,20.0102365616942,1.36440729861231,2.04895128918599,0.369096275267712,22.8850863781618,1.25960971787997,2.3049945771818,2.07378917848487,0.359395700186018,0.506436963032572,5.23040056228638
"AS","alfisols",30,3,0.432332179817473,22.1795563276662,1.28627512479306,2.02889540869076,0.456887786979139,19.0460538759874,1.3588937849766,1.91640747409719,1.85781534348638,0.4495842789723,0.639259676123462,5.05549907684326
"AS","alfisols",31,6,0.481898654043869,20.7319936096204,1.35402847178119,2.12232363314942,0.329972661438844,22.8433831703285,1.18363270499134,1.78388637515526,0.875244914136352,0.274515829063891,0.561214207521392,4.77473473548889
"AS","alfisols",32,4,0.421032758671903,21.0839993922843,1.27476588310111,1.89717326659752,0.541806727085636,20.222135559528,1.46971052376438,2.583802281722,0.0207028764275655,0.529458159750932,0.661618762903785,5.02882146835327
"AS","alfisols",33,4,0.439201185789803,21.1058521670361,1.30440003157062,1.98996940126384,0.511233766409337,19.4715234747512,1.43967540218017,2.09279977772878,-0.617595889884961,0.509620072062828,0.665269268635336,4.95793199539185
