"filename","Order","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"TC","alfisols","mean",0.980181597094248,0.956656133362923,4.83085503037547,1.25004849266613,-0.000362017643021651,0.95585825144818,0.977454256063988
"TC","alfisols","sd",0.084456343624922,0.0094562027328649,0.460376855871768,0.117756984854537,0.0322955539893478,0.00947166267987039,0.00485424599830937
"TC","alfisols","q25",0.912847409377847,0.95215138299032,4.5479644396943,1.17089276110656,-0.0174798922469203,0.95162197538966,0.975073972416258
"TC","alfisols","med",0.993772144426893,0.958812236920345,4.91530641157963,1.22470941949538,0.00115756591147641,0.958583620923326,0.978428816215382
"TC","alfisols","q75",1.04992608854642,0.962596431423141,5.10613320863121,1.3183289377917,0.0195970876464879,0.961621121442268,0.98051669237662
"TC","alfisols","q2.5",0.833708608608809,0.939062262929083,4.04830521196778,1.04226367264656,-0.0656209966654444,0.938898994942147,0.96832297068997
"TC","alfisols","q97.5",1.10828576775845,0.968959368358771,5.67102054930293,1.49646887892745,0.0525239562528562,0.968882247237036,0.984287096178086
"TC","andisols","mean",1.33995300444594,0.989953613533808,10.0203713223259,3.65413058060416,-0.00277139685753727,0.989848066101211,0.994885723460647
"TC","andisols","sd",0.0940483873057821,0.0015628284186314,0.743418490667657,0.328110430048325,0.0801740448801223,0.00156425121700197,0.000790174971897205
"TC","andisols","q25",1.27599783191382,0.988969678056008,9.49379074394817,3.40280723593736,-0.0445967636852308,0.988877606852906,0.994431501119225
"TC","andisols","med",1.33258008545853,0.990046123797215,10.0106549166091,3.67267767371417,0.0128593792346109,0.989996584385064,0.99496362746102
"TC","andisols","q75",1.38187219542003,0.991242187565681,10.6892539969167,3.874487180505,0.0450138887535222,0.991226480244034,0.995602248705191
"TC","andisols","q2.5",1.16957375831686,0.986396933250217,8.58249357078526,3.13452307807116,-0.153114921772207,0.986390684290872,0.993147143251842
"TC","andisols","q97.5",1.52336432898412,0.992227309606241,11.2142592697994,4.18677208027751,0.101544201952404,0.992027596893303,0.99594163543739
"TC","aridisols","mean",0.902832292187555,0.913281526859091,3.36601076646956,2.78273918790852,-0.0285869526949667,0.907125170905861,0.951204549130384
"TC","aridisols","sd",0.207788111838052,0.0219104573587789,0.423670389343304,0.541357108950363,0.0428810691216924,0.0251326137800939,0.0156358799843251
"TC","aridisols","q25",0.747187916929043,0.902612510195777,3.12544552295133,2.53152038674414,-0.0580899315518133,0.897406524230928,0.945566964769496
"TC","aridisols","med",0.850273739266607,0.916100851464306,3.39130418572232,2.83655811973532,-0.0299274508346942,0.912861076803017,0.954562913952163
"TC","aridisols","q75",0.979741252621985,0.924855620913644,3.60673493685535,3.12908383662964,0.00127603807007303,0.922955446658386,0.960036103915239
"TC","aridisols","q2.5",0.633682011323842,0.866551225743694,2.60863462873753,1.74588751916108,-0.1192517774056,0.852702967110014,0.914318004740916
"TC","aridisols","q97.5",1.37120305141692,0.94539370343938,4.1627066413681,3.73237828718786,0.0501289484014302,0.942163867548741,0.971690495925707
"TC","entisols","mean",1.74215135558337,0.95155828225587,4.51595178961896,1.00909450400482,-0.0136886806842196,0.950357388485708,0.974728025660024
"TC","entisols","sd",0.122163752646139,0.00576516566579493,0.275542869696471,0.100023005846,0.0807044144716304,0.00610473785348869,0.00305403853572706
"TC","entisols","q25",1.68822487557872,0.947917519505825,4.32776789144491,0.944108185558969,-0.0674067265188752,0.94653682704287,0.97288377719759
"TC","entisols","med",1.75654675447113,0.952182772335606,4.50260438088159,1.01080212294697,-0.021281858525912,0.950608151393562,0.974692381867438
"TC","entisols","q75",1.80210380708691,0.956017840340266,4.72907348557398,1.0837838746031,0.0434978550011866,0.955225671443576,0.976885122527292
"TC","entisols","q2.5",1.49424379530706,0.940025083335672,4.05571991587981,0.821337713629565,-0.177861737561294,0.939124143105729,0.968825497403053
"TC","entisols","q97.5",1.98458396865242,0.960681363841247,5.03753819725674,1.19161270881573,0.118647083406331,0.960531073800928,0.979802422944492
"TC","gelisols","mean",1.82587892559126,0.989489817081176,9.89286224952068,17.7206948562657,0.104035427073361,0.989256818087213,0.994635111608338
"TC","gelisols","sd",0.219685393347412,0.00262592682989426,1.20749187875401,2.79611330976327,0.153711436504397,0.00268764946587543,0.00133555793411193
"TC","gelisols","q25",1.68244346346153,0.988251393736642,9.08869109827013,15.9385765733792,-0.0104539693514533,0.987817608567985,0.993929447579955
"TC","gelisols","med",1.78231872280473,0.989996858846071,9.96127343647329,17.9107924173223,0.119042543965893,0.98985863747797,0.99493969951232
"TC","gelisols","q75",1.94974754465751,0.991165884227868,10.54635936526,19.356217008334,0.236594116079397,0.990952658696195,0.99546498068884
"TC","gelisols","q2.5",1.50990885869149,0.982928727637909,7.60390326807312,12.4256162424671,-0.153634660548921,0.982595824155606,0.991366944661623
"TC","gelisols","q97.5",2.36451932276104,0.992973837694119,11.9109468822939,22.7352687422238,0.3479275585399,0.992906757960444,0.996460972888422
"TC","histosols","mean",2.74663269967946,0.979801343007609,7.11923281449196,13.9113811457397,0.0171864170803725,0.979560970268886,0.989703080295767
"TC","histosols","sd",0.278736640399249,0.00410721152024977,0.743570377365468,1.52694860151846,0.222633805851508,0.00417603588910724,0.00213777271608235
"TC","histosols","q25",2.53815282599217,0.976855704097758,6.55796163587957,12.8020750913305,-0.138595612338643,0.976657056851744,0.988154736127451
"TC","histosols","med",2.70110013596413,0.980517313571482,7.07237137997369,13.7875892859007,0.0317685778724459,0.97992927319987,0.989973938126178
"TC","histosols","q75",2.99314211137021,0.98292996397759,7.63024288271373,14.8394963636264,0.194704378316818,0.982751574815426,0.991399614084344
"TC","histosols","q2.5",2.30419823935136,0.97296498046321,6.05031161401216,11.4459969390242,-0.347611061124665,0.972569782574242,0.985933766889819
"TC","histosols","q97.5",3.22279097020899,0.98614805044954,8.47156734737113,16.7100736036935,0.4378562064833,0.986010833817983,0.992947562389001
"TC","inceptisols","mean",1.75625361402907,0.96874334515888,5.66423992493161,1.61289914081679,-0.0100195165806451,0.968532581180353,0.984061470801375
"TC","inceptisols","sd",0.0887819209903713,0.00339521806077274,0.308569270888296,0.0958792078438874,0.0625683579333222,0.00346712879065306,0.00171902055350063
"TC","inceptisols","q25",1.69226320759759,0.966744495017035,5.45299407558284,1.54543807267711,-0.0432648876183425,0.966341029295556,0.983152489857055
"TC","inceptisols","med",1.76239036969976,0.969231143564857,5.68589484543654,1.60639985737956,0.00239868809109179,0.96904557350866,0.984095230354652
"TC","inceptisols","q75",1.81497219329186,0.971044209072573,5.8439364275436,1.66944827622267,0.0378991261888628,0.970697032351223,0.985234072357106
"TC","inceptisols","q2.5",1.6017212583958,0.962442183834533,5.13933871103007,1.43568861855216,-0.134954183566328,0.962111286896721,0.980996470723678
"TC","inceptisols","q97.5",1.90432097764952,0.974435413465141,6.23130349363043,1.79007337023944,0.0950111873262025,0.974227038782827,0.986908233378849
"TC","mollisols","mean",0.808156137416009,0.935619232318979,3.92829213029744,2.22451967894418,-0.000558132382030335,0.93476872785067,0.966345801787198
"TC","mollisols","sd",0.0336252045574193,0.0060902927207945,0.178577028522693,0.102217796390879,0.0144630808750556,0.00617513245377924,0.00315758762703455
"TC","mollisols","q25",0.794352316360064,0.932608387957833,3.83681761023715,2.14535361497565,-0.0126936327652569,0.932049234795432,0.964412197244642
"TC","mollisols","med",0.811745106539408,0.93629222429238,3.93047197145318,2.21368823345058,-0.000400799825655426,0.935247411426633,0.966679319738752
"TC","mollisols","q75",0.837136374912497,0.940221863648943,4.06452555078417,2.27489901433653,0.00899054944049693,0.939449952271528,0.968598329665292
"TC","mollisols","q2.5",0.742248713442481,0.919906007690932,3.5083232658802,2.08417633795747,-0.0239658391721744,0.918726047254251,0.958426159233943
"TC","mollisols","q97.5",0.855685258773343,0.944965782087933,4.23426865784671,2.44318375192242,0.0312104558763196,0.94419159987316,0.970842827275183
"TC","spodosols","mean",1.3372719473122,0.987376069453699,8.92474450502604,2.20362578140397,0.012455757600787,0.987256933982133,0.993596049002287
"TC","spodosols","sd",0.0784980652528276,0.00173695489307047,0.592194784321211,0.205217502081304,0.0604772516446704,0.00171686642777456,0.000862256731412096
"TC","spodosols","q25",1.27510881543127,0.986423721221415,8.55714923449223,2.10310085078697,-0.039661496480023,0.986318994474785,0.993108505662931
"TC","spodosols","med",1.3303258157098,0.987264983965878,8.86302078822986,2.21262977233938,0.0191921040055294,0.987246758728356,0.993585427170715
"TC","spodosols","q75",1.3950497400575,0.988705715331293,9.33801085471547,2.30665556524758,0.0564362807971837,0.988511375262957,0.994239646762157
"TC","spodosols","q2.5",1.21149541547323,0.983834712818123,7.84957538557705,1.78080255867607,-0.077596172783253,0.983741054605393,0.991872837135678
"TC","spodosols","q97.5",1.47570384628422,0.989980091342773,9.9619963573909,2.57615010754086,0.137424282707917,0.989905325524606,0.994930940490392
"TC","ultisols","mean",1.57523123055236,0.91279878528844,3.92389572932577,0.809887610491163,0.0125078825633383,0.908842756426801,0.953313312307586
"TC","ultisols","sd",0.493346824280665,0.0551033585199359,1.34294856997555,0.277784120016671,0.0651071999007269,0.0578484042562986,0.0293550816357235
"TC","ultisols","q25",1.05633417341862,0.878539003763918,2.79894124262162,0.576704629728831,-0.0370155297067472,0.872177411147656,0.933898137032463
"TC","ultisols","med",1.82964466843502,0.909953301351527,3.26997921041261,0.659158820411696,0.0209668413856583,0.906363382507187,0.953588645802924
"TC","ultisols","q75",1.89345262880569,0.964752719626891,5.27534164471565,1.09761837325441,0.0541543719389174,0.964022485572738,0.981326481722782
"TC","ultisols","q2.5",0.973884055221146,0.789250315685948,2.11405117014378,0.437990154758256,-0.101986015663079,0.775834928505864,0.888254740378696
"TC","ultisols","q97.5",2.45590908414121,0.973356344849012,6.00615049714106,1.26138213702877,0.124677127920137,0.972241454472326,0.985710978430298
"TC","vertisols","mean",0.726040539173831,0.935003892999863,4.24736500979169,2.40279161334325,-0.000652945921466914,0.916796657303041,0.958079915848175
"TC","vertisols","sd",0.335831990870412,0.0499351004453496,1.35305652148531,0.539240455819746,0.0750505097273866,0.0708143620719784,0.0383933666886923
"TC","vertisols","q25",0.568622075709024,0.910862393509797,2.82856266118757,2.18470515042424,-0.0285223256267259,0.873211908008709,0.939880848139682
"TC","vertisols","med",0.672108559198907,0.959136696115926,4.56733259852193,2.35507668307737,0.0111606661876031,0.951858632509697,0.97410022022345
"TC","vertisols","q75",0.742073908286226,0.968447336824785,5.22300516216744,2.85032125835162,0.0485903280717342,0.963183496998273,0.981666779252624
"TC","vertisols","q2.5",0.533386171884083,0.828133412145733,1.94359157144446,1.01740191966257,-0.152667622499108,0.732532699460458,0.875776274946911
"TC","vertisols","q97.5",1.6892585165064,0.979821291240651,6.04015316669725,3.14193501572315,0.097231399368964,0.972474615682668,0.986750441549316
