"filename","MLRA","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"AS","A","mean",22.6485945932294,0.462102857533213,1.29632469535299,2.30248508650774,0.560470505539216,0.36714696734288,0.660124422140879
"AS","A","sd",2.65034102089264,0.112071989634252,0.161394850149135,0.335098341516323,3.37044152364397,0.169046571166864,0.0957111325487897
"AS","A","q25",20.4546005328345,0.403469805716799,1.21418902213297,2.11689130927291,-1.01610812738221,0.312137613757725,0.622628512580821
"AS","A","med",22.6381553473922,0.470289224798379,1.27559915966597,2.265965280748,1.22868925812291,0.376770999427024,0.682413447750275
"AS","A","q75",23.8899952928778,0.54386025978141,1.38717925327516,2.43744948888743,2.86187950637223,0.472998273557579,0.731373080049642
"AS","A","q2.5",18.9711762699859,0.226445067127188,0.976656650432183,1.66510312055304,-6.72305870359946,-0.0631904014988373,0.435764473055967
"AS","A","q97.5",28.8747175066854,0.632677130738711,1.6040018620599,3.03477925342924,5.01495148928815,0.605845317892139,0.783402506506254
"AS","D","mean",25.7433894823722,0.471891214801984,1.34854734975356,2.11375325268893,-0.013699918978581,0.393845625131957,0.647037207039991
"AS","D","sd",4.10138468487915,0.115488899527806,0.182253198349831,0.59364707025707,5.23792515372547,0.218385728032092,0.0887740178539369
"AS","D","q25",23.4758664757574,0.424612640191079,1.25808852023241,1.75314459472214,-3.21499702755364,0.348439637153922,0.620287295941255
"AS","D","med",24.8456462843887,0.484647321263468,1.35423150151208,2.08998962672109,-0.0900083988802167,0.437630948905641,0.669945166619858
"AS","D","q75",26.9426285512735,0.54891859642048,1.47277371939732,2.48280767207818,4.07626018486696,0.524554121207367,0.707285249844051
"AS","D","q2.5",20.7238580070071,0.189209046934334,0.96375950550023,1.00233895952761,-8.35307661619856,-0.111527631451334,0.409056761636617
"AS","D","q97.5",32.649060676972,0.648825459361881,1.64036738149678,3.26705801289974,8.96340491955164,0.616659986617383,0.763653757065301
"AS","E","mean",21.2959645374758,0.105933561844993,0.974750864083512,1.36408653380316,0.0721653807098628,-0.143804454733702,0.256940557268583
"AS","E","sd",2.90096587496854,0.0729051150498122,0.122039943719268,0.238389712211239,3.58535165402799,0.432265570043405,0.11125710827603
"AS","E","q25",19.5205376650475,0.0524956977121089,0.927107718800562,1.27085025558338,-2.5649294304017,-0.187189124490647,0.180298238047886
"AS","E","med",20.8725186706296,0.102705318372219,0.989807031242274,1.36646860671619,0.148280191307331,-0.0415931362082513,0.258404395693961
"AS","E","q75",22.7548760213163,0.152676933353748,1.0503737975699,1.5386884128371,1.89269131621328,0.0751182865455559,0.333913463459498
"AS","E","q2.5",17.3285794465842,0.00607953777453717,0.67174525675111,0.834028519652096,-5.60532699373011,-1.29099958190503,0.0653967148121422
"AS","E","q97.5",26.5137488826448,0.261098863547681,1.17138407005968,1.77049717953473,6.56220841746102,0.25633255713818,0.438947682683945
"AS","F","mean",24.8989898748763,0.380245038887563,1.18399876732593,1.97399900699616,0.171116702509818,0.247258421014142,0.594432402825522
"AS","F","sd",2.59558511545676,0.066502150956368,0.128459290963823,0.467137125100341,3.38682624701085,0.192028724646138,0.0533389910725882
"AS","F","q25",23.109112214226,0.332584719854206,1.10096751115802,1.60620616936391,-2.1187062260336,0.162589657543731,0.567867405776442
"AS","F","med",24.499441824597,0.37587585947192,1.20331216410361,2.01452539547026,0.695223625317255,0.299047443091577,0.589251581509056
"AS","F","q75",26.4026500258363,0.412685264399318,1.25905124922062,2.32721950307786,2.35729273259256,0.359743966889252,0.62722325799982
"AS","F","q2.5",20.7722497021699,0.268630428596776,0.935545297940465,1.10911871112738,-5.592835011078,-0.16480300457997,0.501458460395037
"AS","F","q97.5",30.2284592009718,0.522304412426861,1.42962808329998,2.80976941270101,6.14921023577733,0.503256658897621,0.701479390845074
"AS","G","mean",20.8023850159629,0.587530335134236,1.5425969213122,2.89669954987724,0.561874219632466,0.5273064232021,0.749362952041071
"AS","G","sd",3.63305783925675,0.125759781149164,0.266987842308366,0.588646221269188,4.02997843968007,0.183849682132307,0.0876628245499819
"AS","G","q25",18.1050599641577,0.532751483161773,1.36184737280639,2.5164639458163,-1.89690075885074,0.4472837717216,0.707459616674923
"AS","G","med",20.7270237620462,0.595568936317823,1.51167115361111,2.87167658163699,0.606225184265387,0.551411633254406,0.757755845239232
"AS","G","q75",22.6596532835804,0.676958968652865,1.71826174146273,3.21735286122534,3.48879887730913,0.652762737874508,0.812020262715236
"AS","G","q2.5",14.8647916550334,0.309897713523338,1.02378357588206,1.73975588504595,-6.70612435499835,0.0107784386849954,0.539779787723319
"AS","G","q97.5",28.5419508447138,0.780393539898861,2.08402606527669,3.97297662867753,7.72619902169793,0.763437853212478,0.875524040221332
