"filename","MLRA","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"CEC","A",1,30,0.896844390328213,5.37006402517653,3.1283795908252,3.16807699503,0.884171562358136,5.92223053631715,2.93482486410603,2.92113596286275,0.142295659017501,0.883777136161316,0.93942281887056,16.0470595359802
"CEC","A",2,30,0.891689728273213,5.50361633946803,3.07627938297475,3.13511590120539,0.852081790473832,6.65610735091688,2.5669337269703,2.4650406814337,0.221009059780438,0.848075911345489,0.922899503989039,19.4409046173096
"CEC","A",3,27,0.886630996521874,5.68114763157202,2.97904784179748,3.00817794366507,0.910983421655468,5.10129291262037,3.35179175379094,3.25595000806731,0.0601485347406898,0.910895036644001,0.953776858233129,15.7500467300415
"CEC","A",4,27,0.891256269383227,5.71253219418061,3.04766109471127,2.98649852991281,0.905078152902764,4.92122495262677,3.2347028605029,3.41321668115055,-0.0808379385885016,0.904327490196538,0.951114067566273,20.9326920509338
"CEC","A",5,26,0.892960205434153,5.74393495681666,3.08051733211178,2.95747107648563,0.886002667154449,5.13993100640445,2.94045647127798,3.27962098693461,0.00432816732501617,0.884221893460139,0.941146452535349,16.5101013183594
"CEC","A",6,25,0.891521884241756,5.54357234506639,3.04902423635507,3.02537857468858,0.892627126062123,5.62871044393322,3.04663570143212,3.13810498442644,-0.0788835361407547,0.892151304027534,0.941791920514189,15.0843365192413
"CEC","A",7,25,0.898148959010918,5.3300712653253,3.13226571248571,3.18922248011679,0.881890118110277,6.05736229847289,2.90886271320365,2.80749371789886,0.130564591140522,0.881693255798757,0.937879138780994,14.830263376236
"CEC","A",8,27,0.898172344881186,5.50309602225585,3.14237235979386,3.09006316285015,0.879679272444756,5.66212207549305,2.86285555129935,3.01161099542615,0.208224458839225,0.877860234802405,0.937613329458915,14.5252325534821
"CEC","A",9,23,0.885857442745312,5.81311256739277,2.96686778080302,2.95298965932447,0.894405379568629,5.30966468658918,3.07562822105802,3.11579182048639,-0.0670070757210126,0.894174999831578,0.944948045565824,18.1894752979279
"CEC","A",10,27,0.900037154694828,5.40232189334305,3.18444783981307,3.1469091319695,0.881297606965123,5.72350091364795,2.87035382240635,2.97214787883344,0.190855141865402,0.878497536613321,0.938666874612301,19.2791094779968
"CEC","A",11,30,0.900170172078058,5.32767393209676,3.20042270904999,3.19418720381458,0.880168107343093,5.82572498394819,2.88462402723921,2.89805207875741,0.0590679843848795,0.879696705945478,0.937369453107703,22.7239370346069
"CEC","A",12,28,0.905701128811842,5.15088408381911,3.26897651268865,3.32431221929267,0.868462332822724,6.33691533373621,2.72834358863996,2.63254694459745,0.281055073933073,0.865519960084434,0.931661696235549,22.7707929611206
"CEC","A",13,28,0.89181361442345,5.57582632449723,3.05960215137978,2.99025160212525,0.90295461574883,5.23106978574981,3.20829829753033,3.41270207264901,-0.0224980926507141,0.902746224394359,0.948154735778826,25.5892615318298
"CEC","A",14,26,0.89283970192412,5.51761741150797,3.07146703920227,3.13689495105274,0.897818642583142,5.45046866033415,3.12498745540755,3.04753351227996,0.273824249675437,0.897491613983849,0.94643760590943,22.5031855106354
"CEC","A",15,30,0.894016597166763,5.4581169874211,3.08406165937998,3.08001608223921,0.889341140947362,5.76656813207618,3.00046244593607,3.01405416565195,-0.399808543267597,0.888806458846523,0.941188802282148,21.9196965694427
"CEC","A",16,25,0.881846620040896,5.69850332984593,2.93587312703325,2.98238441153276,0.91148390783825,5.26156179247979,3.33310868085319,3.15612571988316,-0.310157021136941,0.909893316980264,0.951157296846908,19.3974144458771
"CEC","A",17,27,0.891443066731343,5.57023428741159,3.05569920692216,3.04247613754774,0.895720821087821,5.48762345764997,3.0752615219452,3.11093456607367,0.529871944709849,0.894149760841632,0.945523937350929,14.1014547348022
"CEC","A",18,25,0.88353489219344,5.71390498083744,2.95685938644386,2.95619555394223,0.898344065960686,5.51249436678782,3.11432406054737,3.13843266747522,-0.233875554553662,0.896788438121605,0.943592327508947,14.1325311660767
"CEC","A",19,27,0.893492458113292,5.46437074133733,3.07642395268818,3.09180170960824,0.902245704913266,5.44341331086594,3.18835218810948,3.16306304825877,-0.370380195265766,0.901525592500716,0.949078668319077,14.8522992134094
"CEC","A",20,30,0.887236471046132,5.70497152388037,2.978311718301,3.03107882793397,0.920002854705218,4.79256560531523,3.53384119629958,3.46621066210889,-0.00320307427410898,0.91983922752139,0.957712868801768,21.3082990646362
"CEC","A",21,27,0.890250873544334,5.834722277634,3.0378649459075,2.96904020032034,0.899216220895007,4.81506617298814,3.12553203262337,3.42615592544643,0.117458709266743,0.897527331978512,0.948178778099344,20.6641590595245
"CEC","A",22,30,0.898842809805613,5.3560158972392,3.15572742019319,3.15768394352932,0.879661871999508,5.94553074901272,2.88393530961842,2.89608238976129,-0.0254464221727361,0.879639239405537,0.93567745436701,20.4086332321167
"CEC","A",23,27,0.882381471022344,5.83872316769551,2.95298060339673,2.93133169846023,0.914900878497888,4.77287113320844,3.42443602219049,3.50879096304916,0.266156066494623,0.914635394306965,0.955419605404171,20.5287427902222
"CEC","A",24,26,0.893019433195217,5.5668732746357,3.0751120599351,3.09715855731031,0.89358319980815,5.55377365994104,2.99594908224554,3.0050681612,0.351902878092948,0.888471182846588,0.945000678935233,20.7595229148865
"CEC","A",25,30,0.897904756493393,5.43678090973836,3.15718475244403,3.17772540163503,0.827721577948532,7.04731115729044,2.34232094360025,2.30369330055833,0.3060037621145,0.817541899610665,0.909600905633004,14.7669785022736
"CEC","A",26,30,0.899044224673665,5.55658067427246,3.16963827620649,3.07797107656308,0.888602244821819,5.15823951311301,2.98206070408782,3.25730339920954,0.26413032761992,0.887429915399826,0.942141705956744,13.0337266921997
"CEC","A",27,25,0.888987530819734,5.55490849463468,3.0085551123189,3.04662015879219,0.893196470770609,5.7599649802973,3.05173732999033,3.00133012251538,0.152691495011583,0.892511586736267,0.944609071047663,13.0362412929535
"CEC","A",28,28,0.890180652476059,5.44210340695236,3.04421553827556,3.06527477568491,0.903398352762507,5.57576262019227,3.20642113723561,3.1406239814772,-0.00392860109893118,0.902632318979381,0.947412965248615,13.2499010562897
"CEC","A",29,28,0.886720255188756,5.62405800150865,2.98553281302728,2.9105927242587,0.910411011699719,5.20384516321768,3.34185806706598,3.55438215778179,-0.105030465522405,0.910364519598613,0.953229259030537,14.5753276348114
"CEC","A",30,30,0.891904326632895,5.33027074832935,3.05207318605047,3.113933697496,0.870091085913037,6.65657646665005,2.77565598085911,2.71641683838417,0.0784271902889777,0.870065441140542,0.930328919677064,13.334547996521
"CEC","A",31,27,0.891261631986778,5.72040754664439,3.04524173012487,2.93185491824584,0.898431336632555,5.09939851135017,3.11698193010692,3.38222403320925,0.12110440484735,0.896964381336077,0.947725626731175,13.1494204998016
"CEC","A",32,30,0.890403073916556,5.61071054263689,3.05073293744467,3.07711161871594,0.904186040418318,5.17637149159008,3.21601219575938,3.17809336650731,0.202451872909444,0.903212208951265,0.950613761345822,14.3404278755188
"CEC","A",33,27,0.895099670334281,5.53409128422543,3.10400064510732,3.09046548414385,0.898542384653291,5.26612173136911,3.13249633121643,3.1615476909364,0.379493191030996,0.897982468632227,0.946574208893637,13.7050428390503
"CEC","A",34,28,0.886356437127937,5.65639427956521,2.99303976229221,3.0285623585131,0.914596884252782,4.99030592224306,3.42278921552596,3.34516630044528,0.0234328327718751,0.914553231596318,0.955658184834633,17.9686026573181
"CEC","A",35,30,0.894815880670394,5.42545078479114,3.1031851005417,3.10603665362504,0.874589796766509,6.13182476583659,2.82196969892051,2.82134083419778,-0.0720941504855431,0.874295374104642,0.934048512753196,18.1891252994537
"CEC","A",36,25,0.899987240143745,5.29675278558361,3.17166577575696,3.14470606318183,0.878741350728763,6.05733991523636,2.86670874944263,2.97874898098664,-0.162943185430941,0.878188354933921,0.936547104312943,14.8775696754456
"CEC","A",37,25,0.888500889665531,5.65052087011445,3.00125936773683,2.99804219635718,0.893513094284929,5.5521700290544,3.06580764293244,3.06259884171739,-0.0642893312199557,0.893495944054328,0.943848699047021,14.901538848877
"CEC","A",38,30,0.902053408500299,5.29110596079944,3.2033099230732,3.1850039717318,0.876679317903169,6.01527126266165,2.83245863650008,2.92400751885915,0.115545154544044,0.875224649229873,0.935960668964468,14.4798808097839
"CEC","A",39,30,0.89246881602842,5.4655712199579,3.07418076933364,3.08646875525115,0.896612457436609,5.59646467381676,3.10398126672606,3.07581691358383,-0.146967238643244,0.89609946849375,0.944059555667297,14.9051108360291
"CEC","A",40,25,0.891708388487473,5.58239862292486,3.05153670046254,3.00424237551367,0.882206983446001,5.78272118153546,2.9112816247789,3.05243715646569,0.0545196762600868,0.881889770394457,0.938337271414314,14.9436817169189
"CEC","A",41,26,0.899371769674252,5.39431089422652,3.17631191710142,3.17637522863926,0.872631702432969,5.92677470004358,2.8007084541831,2.80794375394051,0.09325539459246,0.872379586466087,0.932853565802652,14.262008190155
"CEC","A",42,26,0.905177329672932,5.35720087263775,3.26539945777254,3.2017072735887,0.858888485720642,6.04355398831372,2.59574496537928,2.7872222094106,0.268832062857193,0.851429730356694,0.926568244641664,13.9501602649689
"CEC","A",43,25,0.900135908504712,5.33384062648603,3.19006857901709,3.22785894923572,0.873469287898922,6.13792519583112,2.75147248340414,2.73823258898876,0.525426151350591,0.86777133769791,0.934139940715547,14.33988904953
"CEC","A",44,27,0.894499463420578,5.58791094271736,3.08004229774809,3.09887340322916,0.899981826674259,5.189852698114,3.16286477197846,3.11916363365819,-0.109723647099404,0.899932118849529,0.947215974584208,14.8484873771667
"CEC","A",45,30,0.906292774173068,5.07692593893145,3.26280573534041,3.32213668327608,0.862632766201991,6.6584339299951,2.68664196966028,2.6470748355106,0.0683393935708474,0.861312805610871,0.928181015111667,14.4005308151245
"CEC","A",46,29,0.8952939351115,5.48007265535451,3.11796197522918,3.15709420076672,0.867396083716993,6.1248083303966,2.72629223563673,2.71936699101921,0.261265150394416,0.865317509433297,0.930905025221455,14.6174178123474
"CEC","A",47,28,0.884690080016483,5.71473292503984,2.9697317361323,2.97315211801986,0.902485957303082,5.31590278311425,3.19531391263042,3.21597506528978,-0.24609432527471,0.901954223239518,0.947539601198237,18.8190009593964
"CEC","A",48,30,0.897968717057378,5.43904508314231,3.14976989385954,3.1648699058135,0.88925993788672,5.54331455649687,2.99654472361329,2.97917926750967,0.0508310798545473,0.88851551695861,0.94256744919671,23.4528596401215
