"filename","MLRA","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"Clay","A","mean",5.44379112576066,0.853867772153463,2.61831595628096,3.90857765635047,0.0162140937061122,0.852986069304694,0.921908610403457
"Clay","A","sd",0.276142433069592,0.0140645087962973,0.123911065479466,0.22378205467002,0.216181580337335,0.0145677840037814,0.00754240439949071
"Clay","A","q25",5.2392119706054,0.847641590683165,2.5385613889274,3.76802883299622,-0.126929517535875,0.844660824904981,0.918406809414808
"Clay","A","med",5.42805870172543,0.856623282266303,2.63459780565348,3.87999738858454,0.0109386070601565,0.855788119372632,0.92345943222199
"Clay","A","q75",5.58779207584744,0.864176201351902,2.71298519674383,4.03540767286536,0.134104383532153,0.864001444674229,0.926559400431705
"Clay","A","q2.5",4.99699441565665,0.81929965542136,2.35164522438789,3.5694102358419,-0.339597829235994,0.818969967136969,0.903298605030197
"Clay","A","q97.5",6.07880737449185,0.875389146715777,2.82799790876247,4.34985960180964,0.445121031419793,0.874830203031932,0.933797511066561
"Clay","B","mean",5.68033465123431,0.784668104845858,2.16532275364468,2.59765686031688,0.0652521150281162,0.766439788412865,0.880847925666973
"Clay","B","sd",0.970042865924519,0.0733325660929714,0.308499313499495,0.417408685160454,0.623337841605604,0.101722054963954,0.044653409498506
"Clay","B","q25",5.16187587065844,0.781134058128228,2.05946254481665,2.4044828154534,-0.415109347459904,0.762507045524782,0.880359990695439
"Clay","B","med",5.40802956391038,0.801458037133171,2.19583572471584,2.66001355331866,-0.024157659957727,0.791076197756471,0.892225467259315
"Clay","B","q75",5.8032995726621,0.828361671990144,2.35367403407372,2.88396275965797,0.52255026006194,0.818129826564128,0.906175155273805
"Clay","B","q2.5",4.7099461723239,0.585111364136663,1.42728168832445,1.45333446825261,-0.839460580071023,0.50550633583702,0.762567557078494
"Clay","B","q97.5",8.48358967977473,0.857230341845533,2.63968520262067,3.26387709449585,1.10378830580873,0.855298483188634,0.924561260565256
"Clay","C","mean",6.5433209923696,0.858844865405347,2.67890222692466,3.5125128017509,0.067515783617111,0.856959690334909,0.925192693588874
"Clay","C","sd",0.580796154173938,0.0267710021173796,0.229319578448431,0.35278577382887,0.415688406356704,0.0277135212198726,0.0147437460597964
"Clay","C","q25",6.18888935522154,0.853229529799821,2.57719474130498,3.39563902178885,-0.224242613301281,0.849048489618871,0.922608366172942
"Clay","C","med",6.4929491196662,0.862007755589318,2.67718956546,3.5185283443046,0.117146936602974,0.8601149311314,0.927556953461836
"Clay","C","q75",6.74434336044601,0.874730322101209,2.82628017432272,3.65276024258745,0.284698090251595,0.874475496025456,0.933632620574658
"Clay","C","q2.5",5.68339985310694,0.805125768508044,2.23962302556785,2.90617241033571,-0.597515631452357,0.800099205315458,0.895388380281761
"Clay","C","q97.5",7.53188371840128,0.892867206194257,3.05036037027579,4.09538714409071,0.804012760937923,0.892146552091913,0.944417365265042
"Clay","D","mean",6.32741339569674,0.823905341166673,2.38547445961965,3.13654984846284,-0.039857278858753,0.822929879229673,0.904352295913734
"Clay","D","sd",0.305224241978807,0.0165937694427871,0.110915681425557,0.174220508042276,0.243815912551818,0.0169466969487549,0.00906150099626731
"Clay","D","q25",6.08978242026974,0.816064185581601,2.32048537097405,3.04590958656697,-0.216306107413399,0.814082004848107,0.899219628283603
"Clay","D","med",6.3477561665842,0.825258514874614,2.38600833967686,3.12054994036007,-0.0323334760635704,0.82415626920482,0.905600410493329
"Clay","D","q75",6.47992191935722,0.834108076724098,2.4538699155121,3.23776453578097,0.114345125593415,0.833747661153241,0.910504081803885
