"filename","MLRA","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Sand","A",1,27,0.814236188066969,10.4323491648715,2.31488058595295,3.64730890412724,0.810586346135512,10.1700540357122,2.28136084623665,3.50293124057182,-1.23775058738748,0.807675459439832,0.894773213725842,25.1779155731201
"Sand","A",2,30,0.828256089345963,9.99536088376715,2.40904858753505,3.77174975855312,0.72642307548669,12.5685810421241,1.85873551203369,2.9617504056535,-0.257351392701781,0.710273994867086,0.852058081696817,24.2468185424805
"Sand","A",3,30,0.819823671700539,10.196182928559,2.34939966790379,3.68765451379695,0.825501815479195,9.88539478357424,2.3943541295174,3.74795350222765,-0.0450117094261643,0.825399330980254,0.903404063165396,24.3578860759735
"Sand","A",4,30,0.834590216598671,9.78926370953242,2.45449811513252,3.86137314527463,0.776571963984101,11.2894098643839,2.08118302260158,3.22426065111122,-0.134116913243392,0.768898841724839,0.880771366199442,23.1318109035492
"Sand","A",5,30,0.819933858001029,10.1817934744294,2.34908295179755,3.69286610403451,0.832693093079491,9.71470346268979,2.4454128027046,3.89358256227484,-0.201285850723609,0.832614317320987,0.908909325790157,22.4962108135223
"Sand","A",6,29,0.811311031178627,10.3917893375717,2.29330853293066,3.64711011442194,0.835629100759285,9.70356990221864,2.46352983677638,3.78468959053957,0.560263155845605,0.83506720529132,0.91048652312909,21.7493057250977
"Sand","A",7,30,0.820807065451756,10.2033005422413,2.3557305146716,3.69243264412595,0.830236354739027,9.64664880738921,2.42485315614098,3.88217719414786,-0.045027006350633,0.829763852123166,0.908972691933594,23.5922245979309
"Sand","A",8,30,0.829696306770355,9.91299454543375,2.41789207861372,3.78039146780951,0.808739858683017,10.3448469348007,2.28245118440813,3.62982654423618,0.605561591104074,0.807859164311372,0.895373343488308,22.4702396392822
"Sand","A",9,27,0.818303229347571,10.2370473760316,2.34193726096469,3.70956571803237,0.800877965268251,10.5338584065585,2.23931056784761,3.5338428297862,0.216019412389255,0.800384614512805,0.88691351731732,21.8282878398895
"Sand","A",10,30,0.830391865619095,9.84319978651327,2.42420726418024,3.77417921059586,0.773841166032388,11.4189874138555,2.09176696500524,3.35187338533696,-0.446759235286815,0.771231580830256,0.877011613519344,21.7677919864655
"Sand","A",11,30,0.817947114728255,10.1075675538002,2.33973913907218,3.68041072216369,0.83414934917255,9.9446392225675,2.45028872828421,3.82366812399884,-0.441443487136515,0.833279829158761,0.911201383486673,22.3495087623596
"Sand","A",12,30,0.82509992712908,9.93669071530818,2.3884653658395,3.69338254067434,0.81198447227338,10.489595038398,2.30531914372093,3.68937026246823,0.204538645091879,0.811652197483479,0.897715664927863,22.2586557865143
"Sand","A",13,30,0.821656157498107,10.1131449753705,2.36333111461146,3.61410818187753,0.828789697492575,9.85285262998783,2.41440032689088,3.97093120838126,-0.407218012874804,0.828286631206367,0.904758494283637,22.5917196273804
"Sand","A",14,28,0.815509800166808,10.2742021435785,2.32309356984349,3.64505189567511,0.82042546211057,10.1273953037989,2.35722957922602,3.67814219575562,-0.510914819508654,0.819856371224981,0.902098568099177,24.6571340560913
"Sand","A",15,30,0.826171212606398,9.93441736938377,2.39026921656055,3.74959080285859,0.816160448540017,10.3536367228553,2.33033005985359,3.69193946274157,-0.289209794060087,0.815673491676473,0.896630400338335,26.1650013923645
"Sand","A",16,30,0.817350106413367,10.2006375139127,2.33339732798337,3.67624081816981,0.824784012012774,10.0722243629775,2.38532346812164,3.668504460228,0.14482827639144,0.82407477748383,0.906053413064098,23.3292636871338
"Sand","A",17,30,0.816400867344538,10.2642034648907,2.32630121160245,3.66078090019626,0.827637704801936,9.9199158597176,2.4038456038841,3.71978961533757,-0.664010218476228,0.826775414408793,0.906131420882269,23.3299388885498
"Sand","A",18,30,0.827101022574139,9.92416981519705,2.39930741331476,3.70811873287855,0.817260353984173,10.2629716830902,2.33898017083076,3.77814547261081,0.346169458462146,0.817034338128165,0.899751871160968,23.5251865386963
