"filename","MLRA","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"Gypsum","D","mean",3.41491794419752,0.988850202298891,9.61185181479192,12.8053740720778,0.114055694544308,0.988461264118083,0.994234360950867
"Gypsum","D","sd",0.454100879123089,0.0034164830929392,1.22286805132519,3.62712480884651,0.445316214834261,0.00359205129280037,0.00179194534838834
"Gypsum","D","q25",3.16904783984562,0.98765738106074,8.77513542881004,9.69774640348974,-0.170069019546425,0.986898664270414,0.993402037933998
"Gypsum","D","med",3.38834595659266,0.989634401597453,9.78526631118675,13.2586823525825,0.0954576804145582,0.989464611088869,0.994713358645995
"Gypsum","D","q75",3.53865280075042,0.991090163356127,10.5919856134381,15.0612585119958,0.341563202052711,0.991008104768874,0.995522055433773
"Gypsum","D","q2.5",2.7794630436484,0.980174164561246,7.07526482906685,6.98828861904172,-0.688341936160137,0.979688791409095,0.989903750276719
"Gypsum","D","q97.5",4.39350871160631,0.99277501537854,11.5632794256673,18.6738525220031,1.05308784139703,0.992450865427416,0.996240194087134
"Gypsum","F","mean",1.02825989304324,0.957954246891846,4.87505982181493,4.48896055588661,-0.0207264528957843,0.95409894309728,0.97684746915682
"Gypsum","F","sd",0.174046097334008,0.0132179467382828,0.809038357189453,0.817367750056091,0.101383467227413,0.0151301169879361,0.00711246700741185
"Gypsum","F","q25",0.916559490269417,0.94962952123371,4.2899462278863,3.91188077533064,-0.100262419263479,0.945209709822674,0.972260209129778
"Gypsum","F","med",0.998437259630134,0.960566070545535,4.78748842900676,4.53675710341983,-0.0162317277501333,0.956008892944902,0.977178301726384
"Gypsum","F","q75",1.09886663979455,0.967989888973292,5.44570016409846,5.10498494381718,0.0552811473673269,0.96599851241873,0.983089344167523
"Gypsum","F","q2.5",0.816830537139553,0.930264030715747,3.5315662403347,3.06055091657138,-0.221375393774692,0.918969789154254,0.961850933018322
"Gypsum","F","q97.5",1.46447021291573,0.977354485993177,6.6161658942508,5.62348971279144,0.162305776272446,0.976966949203865,0.988137356625317
"Gypsum","G","mean",2.00321564178588,0.939966414835627,4.09401413505419,3.53741553428376,-0.0697268972464242,0.924108487081822,0.964337919004452
"Gypsum","G","sd",0.336045356975174,0.0309492293884727,1.04102831398653,0.710892432343947,0.357651470123676,0.0457218017645455,0.019125119386679
"Gypsum","G","q25",1.7705571101394,0.923149020202399,3.3785109735663,3.13639181209945,-0.321994780749259,0.910353441749189,0.956763660428068
"Gypsum","G","med",1.95755318456114,0.948025669485065,4.05369675189012,3.53034801322171,-0.00644357922661132,0.937692193298006,0.968326968594427
"Gypsum","G","q75",2.17908172839719,0.964167659949127,4.88759323471687,4.04309692537652,0.141635384101842,0.957163447179898,0.977059999793223
"Gypsum","G","q2.5",1.51641726475432,0.870380702575758,2.37826716193695,1.94956499114694,-0.647308238534492,0.819036619406767,0.910147495444817
"Gypsum","G","q97.5",2.76972031519539,0.97352494690024,5.79502986422714,4.84893260922409,0.495335103743928,0.969522841969706,0.984437676087724
