"filename","MLRA","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"pH","A","mean",0.333298758591701,0.719426298840202,1.88667404637905,2.1858040671169,-0.00319224942683308,0.718340252541109,0.838443025854575
"pH","A","sd",0.00797253685570891,0.0130822437515638,0.0441755673091131,0.0811597074573595,0.0104640852171606,0.0132865240997227,0.00838339872160925
"pH","A","q25",0.327937766538388,0.709968532163812,1.85324437144362,2.13690464243604,-0.00965428660220765,0.708560154094092,0.832841597951639
"pH","A","med",0.333775100742685,0.720343230113862,1.88788345445637,2.18370897054459,-0.00216539982309965,0.719156838705471,0.8397809086845
"pH","A","q75",0.339280023415472,0.729185566532927,1.91870050951077,2.23029392952922,0.00155045923364113,0.728105825353307,0.843491513688032
"pH","A","q2.5",0.318821522219897,0.696450527429289,1.80465439099614,2.00255280110348,-0.0199202671896955,0.692650645760517,0.822446981015914
"pH","A","q97.5",0.346920269616984,0.742288754154771,1.96377263673841,2.33425856289708,0.0161298286127401,0.740441372226406,0.854199821161566
"pH","B","mean",0.522167110037552,0.708627325854458,1.82732175396509,2.74082923415791,0.00689509136852261,0.691899018557791,0.835935555295712
"pH","B","sd",0.0458506890739335,0.0410711135431273,0.144203156184215,0.32293898788725,0.0489732301761023,0.0584443141253265,0.0250963421279697
"pH","B","q25",0.491700652446389,0.689540332861802,1.74824024747361,2.53755782113733,-0.0157483293773295,0.670392353475693,0.822286815828269
"pH","B","med",0.517627408094261,0.715640972242186,1.83298967537262,2.73538751927496,0.00558343251987214,0.700194806544072,0.841807268043656
"pH","B","q75",0.539812005816963,0.737103149832706,1.94255967964326,3.02519650934223,0.035864934829298,0.733055626419383,0.85309417643439
"pH","B","q2.5",0.45639051719678,0.605199423114001,1.56316026476739,2.22741008179365,-0.0910735814016891,0.587467387377333,0.773289907481385
"pH","B","q97.5",0.613491257211607,0.761823302394046,2.05096458195199,3.24872250382035,0.0969644316129614,0.76053378582222,0.869184615289339
"pH","C","mean",0.524911795689589,0.780514335387209,2.13147401548034,3.13588201618709,0.00413325245634294,0.777748206433457,0.879074685867368
"pH","C","sd",0.0233764414244306,0.0201857444052648,0.106314728543774,0.175937000443732,0.0325351031873177,0.0215405593824131,0.0116964128837147
"pH","C","q25",0.507028393295339,0.766264303500876,2.0556160221201,3.03073275575748,-0.0206927647592681,0.762736366964589,0.87129556942643
"pH","C","med",0.526491805870562,0.779756460022302,2.12375872180895,3.15106451855866,0.00201845809484036,0.777717430381313,0.878349184838176
"pH","C","q75",0.539195293553762,0.794104043071766,2.19931569430068,3.25113900149205,0.0236958432055891,0.792725169085244,0.88579393152285
"pH","C","q2.5",0.480306507700652,0.746811230442008,1.97180525093586,2.83339617993508,-0.0461722095796954,0.742129429181273,0.860313723553949
"pH","C","q97.5",0.566445140294002,0.821873982573314,2.37028148631752,3.45301296922907,0.0730538046850785,0.82154226244364,0.901920896956059
"pH","D","mean",0.46712512204202,0.847263000665095,2.5574256600158,4.39178131123388,-0.00275371508736983,0.846681450248712,0.917961255728503
"pH","D","sd",0.0116821290041971,0.00728993988018435,0.0623012314636252,0.134189944814527,0.0169766937499162,0.00742556094749971,0.00419465709408156
"pH","D","q25",0.461299307934356,0.843430488336842,2.51694898951331,4.30325208275711,-0.0149089755269942,0.841984203564585,0.915027136372256
"pH","D","med",0.465951112728022,0.847083728207412,2.5564005684396,4.38517262689059,-0.00293321414624278,0.846824354524398,0.918598077098901
"pH","D","q75",0.473882650189735,0.851735604190825,2.59123351942189,4.47988189482367,0.00335668299430463,0.850914534808804,0.920997812573467
"pH","D","q2.5",0.442807028656076,0.834557069800191,2.45175050801415,4.16909977141904,-0.0305337386891875,0.833469042550959,0.910311215363786
"pH","D","q97.5",0.489270611517543,0.860272454049175,2.67577300270817,4.64066235442636,0.0350524092181729,0.860183713611715,0.925376180936221
"pH","E","mean",0.472311320465029,0.790897138043727,2.18478480042021,2.70042440772285,0.000768953204448197,0.789025996335836,0.885442333592653
"pH","E","sd",0.019946522213738,0.0176122719693275,0.0930807265196775,0.170935947106697,0.0204884971701159,0.0186016871903784,0.0099851244201181
"pH","E","q25",0.457831161754915,0.78167705934628,2.13908172299079,2.58566579794978,-0.012520628026105,0.781120510262852,0.880351760932458
"pH","E","med",0.470330293065624,0.794534136851513,2.20146280876698,2.70822503621139,0.000890934772743286,0.793345020546325,0.885772297723538
"pH","E","q75",0.483761596129127,0.804465354644503,2.25808723843887,2.82386807030792,0.0107027090511037,0.803582847492677,0.892445962472816
"pH","E","q2.5",0.436414089946387,0.749936571309224,1.98959670708421,2.39011907300659,-0.0349361517079059,0.746965594465496,0.863409709510898
"pH","E","q97.5",0.509065074461655,0.818378888708558,2.33789811222168,2.98907347141865,0.0440164695679735,0.816764386618165,0.900048415789617
"pH","F","mean",0.349070008433702,0.815895618722815,2.32836555787486,2.30771804534439,-0.00490202144822321,0.814234809551115,0.900404871841626
"pH","F","sd",0.0128346797459052,0.0154235169936836,0.100230132863641,0.186954570242569,0.0161593895566394,0.0161441714091341,0.00861392116915402
"pH","F","q25",0.339594242953749,0.80593131371704,2.25791131983049,2.12542788944127,-0.0178665249524955,0.803541058397071,0.895469327180537
"pH","F","med",0.347695743393602,0.815396624372298,2.32153594746742,2.32518777505377,-0.0055988375041567,0.814161895686776,0.89977746254785
