"filename","LULC","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Sand","Barren Land",1,17,0.868377925033739,13.1603818550376,2.70778281131042,5.25440680686103,0.897962058026055,11.9585124240827,3.14245670480882,6.34276215219287,0.327045432352762,0.897484336307465,0.94705891773727,6.60185146331787
"Sand","Barren Land",2,21,0.871982730419708,13.2469269340607,2.73387789088475,5.44277177332469,0.870644153785608,13.0273164883782,2.7222097228633,5.18909631621423,0.797772159756927,0.86338899953721,0.932744554397009,5.88309073448181
"Sand","Barren Land",3,16,0.853202306321979,13.6296694614425,2.59141642225088,5.02946899731677,0.945022951111627,9.27364223679503,4.12461108950504,8.4810259002596,2.52322611931968,0.940493717003624,0.969161260716228,5.78362202644348
"Sand","Barren Land",4,18,0.876814103048698,13.1617312457689,2.76716266727962,5.57677395392767,0.900052053529564,11.5293004661965,3.09484977393361,5.60094692555992,-0.161668430431873,0.894306157332009,0.948426179032727,5.68132972717285
"Sand","Barren Land",5,16,0.888150106301907,12.3593990373025,2.89011825587038,5.55852269132609,0.888490389419,12.4360557080269,2.97474452230381,5.96652200199678,-1.85571047822905,0.885599088031631,0.938391152650543,5.67954087257385
"Sand","Barren Land",6,17,0.898371802055841,11.4402409402078,3.08095068250274,5.8871137725161,0.876444689538384,13.4212226955613,2.85807681387172,6.10227561659385,-0.727953179702696,0.876068690100066,0.933746365053519,5.71868014335632
"Sand","Barren Land",7,17,0.870914695528195,13.2282663609665,2.73774501345704,5.63187933831088,0.900535861419977,11.2632936937129,3.14195074507884,6.10611796781873,-0.694399524412999,0.897451316710381,0.948782822712427,5.8130886554718
"Sand","Barren Land",8,26,0.874362863747637,12.8267512329571,2.75433796892637,5.47683499306508,0.855966251132359,14.7678726722152,2.57877746810651,5.14969228730438,0.201556244202942,0.847769701266242,0.925061379948296,5.86932730674744
"Sand","Barren Land",9,12,0.872019929841644,13.2992605174922,2.7590856438583,5.48150778038495,0.854199781478838,13.8007490324196,2.54457184151687,5.05769649430126,-2.88173672359351,0.843649454917279,0.920981578504909,5.62626099586487
"Sand","Barren Land",10,16,0.874055301796514,12.8577737569229,2.78219154875541,5.52583995823891,0.889911896040998,12.2705723676724,3.02814654832731,6.30166203197803,0.19544825626012,0.889598479399296,0.942562175950259,5.74249935150146
"Sand","Barren Land",11,16,0.895379230525943,11.9825056561064,3.02372183956665,6.08804219197878,0.866167866778239,13.3044288633723,2.72132052057897,5.31777806672919,0.123759516033008,0.863299708577954,0.922748900868719,5.87902069091797
"Sand","Barren Land",12,29,0.895837963628044,12.051280585919,2.98498726851836,5.90393688809578,0.872489677595108,13.2875994636169,2.75004914832378,5.67446363855672,0.654661732185956,0.866140893294538,0.93386040257157,5.90752553939819
"Sand","Barren Land",13,12,0.876490439786517,13.0410886124425,2.77737109867873,5.64753466437843,0.861950778023679,13.4207269236105,2.68715125055808,4.90100129258161,-1.62561354859034,0.859801098970876,0.925516885964494,5.82790422439575
"Sand","Barren Land",14,15,0.866164235117538,13.086235307499,2.69416349633894,5.17337480254576,0.917647822566869,11.6640885402989,3.29319928511371,6.89938178383697,3.93126011105909,0.906654624177386,0.950697521368203,6.05946969985962
"Sand","Barren Land",15,15,0.884299179392963,12.407170219638,2.87282661915811,5.55324048758076,0.875289866460341,13.2726154630722,2.82799851744003,5.75056214145249,0.688816053139048,0.873418429810303,0.929833387661365,6.1003749370575
"Sand","Barren Land",16,12,0.863230524983432,13.4561037125346,2.67995971207525,5.32472114741927,0.852893362834838,14.4740903429874,2.53006132937132,5.05213096416995,3.65031621380459,0.841850895883275,0.91776923922463,5.76491498947144
"Sand","Barren Land",17,16,0.911705564699711,11.1520099559118,3.3038279332239,6.69834409181107,0.78688517285765,16.0708075303101,2.14939563888564,4.05549004784468,-0.0281587905781397,0.780872892123527,0.886489338796435,5.76000332832336
