"filename","LULC","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"Carbonate","Barren Land","mean",1.43636779884937,0.927081326186997,4.2211796894124,3.95502527825057,0.061225569569035,0.918118642544631,0.959148031138707
"Carbonate","Barren Land","sd",0.551423725140242,0.0625082411917206,1.231946007305,1.68176562574,0.250235046481807,0.0758749787915636,0.0351874867209049
"Carbonate","Barren Land","q25",1.08491319697325,0.915508324486405,3.30892135244516,2.76009013117057,-0.110062363669789,0.906140639182436,0.950615615028633
"Carbonate","Barren Land","med",1.27400928052274,0.953244133657048,4.4414985326338,3.4544907000011,0.0445594708691251,0.948071248417329,0.973592069591663
"Carbonate","Barren Land","q75",1.59538925500728,0.959163573349405,4.83477211339377,4.99935235391286,0.233537515066715,0.956175366870743,0.977138227540615
"Carbonate","Barren Land","q2.5",0.899651735178366,0.743204423337893,1.92747217006328,1.5189122978959,-0.254642355320351,0.722793258968175,0.860600258043061
"Carbonate","Barren Land","q97.5",2.89514317082205,0.978757426185364,6.6826684302344,7.11128604103664,0.519434346736896,0.977061391544059,0.988497876579568
"Carbonate","Croplands","mean",1.545043411822,0.983154177918578,7.87275073273969,10.5847194006911,-0.000441211445825427,0.98296769654787,0.991429982467619
"Carbonate","Croplands","sd",0.208050122925965,0.00438827757633783,1.08325702924372,1.46372728743174,0.0670040654231512,0.00444343670040358,0.0021971032741604
"Carbonate","Croplands","q25",1.38014379259106,0.980335171926884,7.11944671017438,9.34983370779141,-0.0507240251925176,0.980246412166495,0.989945245853724
"Carbonate","Croplands","med",1.50958995601256,0.983395494449687,7.7576046274591,10.6680242746475,-0.012341492745732,0.983357695413549,0.991606639829167
"Carbonate","Croplands","q75",1.74130395977116,0.986702785254131,8.67301826544625,11.6153308604944,0.0577846760723999,0.986689450270306,0.993295555999662
"Carbonate","Croplands","q2.5",1.23270930425112,0.976617306343077,6.3671245680175,8.37872966005632,-0.0986107922764293,0.975288541160755,0.987879028360804
"Carbonate","Croplands","q97.5",1.91174489897492,0.990220283507242,10.0858384473763,13.1072660823131,0.148228442865179,0.990157276684516,0.995052895271112
"Carbonate","Deciduous Forest","mean",5.86505736065534,0.863071585447361,2.79426142217493,2.83872242624751,-0.0809449381866524,0.843025224803121,0.919524141374645
"Carbonate","Deciduous Forest","sd",1.82414870950872,0.0537773314354615,0.748105730232265,0.965133708537677,0.7805747218924,0.0798159343441144,0.0352925579011015
"Carbonate","Deciduous Forest","q25",4.43807577160771,0.814602081658884,2.26738880569381,1.97843087941807,-0.472021100541061,0.802090807417216,0.893622359457247
"Carbonate","Deciduous Forest","med",5.89601364289258,0.861372463432462,2.587400951289,2.68866894284949,-0.097810627534064,0.84804521009585,0.921633511830014
"Carbonate","Deciduous Forest","q75",7.17081290695032,0.913065958804966,3.25414804073655,3.46352114410821,0.304984387740673,0.903717163032319,0.946838977331551
"Carbonate","Deciduous Forest","q2.5",2.91192355691342,0.784030235568727,1.83554008614289,1.60221481350034,-1.6220529161146,0.697621605844767,0.859874725023035
"Carbonate","Deciduous Forest","q97.5",8.84587574672639,0.949282788402393,4.45049866579573,4.87962761504407,1.27421189562129,0.94862354540057,0.973581011588249
"Carbonate","Developed","mean",2.87098670317379,0.962662753873662,5.27243377615893,6.09595443686032,-0.0528269987661357,0.960674301662316,0.980118872855029
"Carbonate","Developed","sd",0.532349798630451,0.0134379594948188,0.841816819793645,1.22831734456153,0.276870110910969,0.0140902339211998,0.00709184965601877
"Carbonate","Developed","q25",2.61792773159595,0.956152131232861,4.70113907171664,5.31377582259289,-0.274015246524522,0.954399034595944,0.977338716479428
"Carbonate","Developed","med",2.82980221204787,0.965804627613179,5.2295693975979,6.02082616184574,-0.152652499673534,0.963148876990561,0.98118737088106
"Carbonate","Developed","q75",3.24083854594483,0.973437967452389,5.87117279404571,6.75169195348542,0.188603696399984,0.970738158287336,0.985257145097231
"Carbonate","Developed","q2.5",1.97282323931878,0.926790124423221,3.6449875886008,4.05393643066257,-0.449876765462471,0.924015066005671,0.961126948211576
"Carbonate","Developed","q97.5",3.96595282975701,0.978417751671119,6.62589370557483,8.68451971098936,0.461335935080305,0.977043977774587,0.988401676818641
"Carbonate","Evergreen Forest","mean",3.33541319239648,0.961767997524425,5.34659997838436,6.07940872943865,0.0188028982756544,0.958687338105639,0.979537911969507
"Carbonate","Evergreen Forest","sd",0.623152392192104,0.0163005622746706,1.2610147355116,1.67404608434351,0.576470280622327,0.017928032007071,0.00860943646740998
"Carbonate","Evergreen Forest","q25",2.85784654675777,0.946477501801143,4.30107158675577,4.89016108557228,-0.444300210317659,0.944903675048934,0.97181737960486
"Carbonate","Evergreen Forest","med",3.22207922304662,0.965021405917798,5.17857402194931,5.87380779219921,0.0114129601510918,0.961992357887673,0.981399731924594
"Carbonate","Evergreen Forest","q75",3.79351772379941,0.975228285696365,6.24420385689072,6.85520865901405,0.317737245794332,0.973854671519194,0.986732375427321
"Carbonate","Evergreen Forest","q2.5",2.48198445446417,0.928157680369396,3.57717158337321,3.97160430545206,-0.967184074930379,0.920096634379993,0.961656685001058
