"filename","LULC","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"AS","Croplands",1,21,0.423440149134877,18.9132620212812,1.29946958742092,2.06204513828007,0.494132021196231,17.455578300006,1.40682432626329,2.01941175446406,-0.717793297565863,0.493260703919058,0.659829900400935,16.661780834198
"AS","Croplands",2,29,0.464150239359544,18.1643920164207,1.34558340002189,1.9818995299956,0.453349637119467,18.838246917002,1.32062179519244,2.12333982966849,0.626304513909017,0.424947624836462,0.662952573647798,14.6854622364044
"AS","Croplands",3,29,0.459508951770317,18.2588507367174,1.34037174952881,2.02641450623151,0.501176331835359,17.5723506389566,1.41060426853653,2.10558056575389,0.994076197421061,0.495972845030105,0.683246868225799,14.4439382553101
"AS","Croplands",4,30,0.461938227186261,18.0710580656459,1.33906226063717,2.04747280793364,0.493508911582309,18.0815027355547,1.40670396204657,2.1569003732921,0.00947772342366025,0.493173982207119,0.666463432016279,14.3837444782257
"AS","Croplands",5,29,0.439308462863996,18.586528280735,1.31095450843102,1.99068914006661,0.490519441167959,17.8973042983786,1.39995089865073,2.12322478103267,0.9253241859362,0.488272548528262,0.666475718143369,15.5984938144684
"AS","Croplands",6,30,0.43703504521178,18.768243724027,1.30909201031423,1.99805589438253,0.512401545266662,17.2971552758437,1.42158255578129,2.15353330683349,-1.76530298598122,0.50372756735948,0.690962769518911,16.0806198120117
"AS","Croplands",7,30,0.445170354157361,18.1756143391094,1.31750674529092,1.98067582907154,0.488061978362752,18.6445053200724,1.39383259446829,2.11858664640863,-0.553729439364949,0.4837701773591,0.673044570854184,16.1953692436218
"AS","Croplands",8,21,0.449472170422694,18.586470430574,1.33223330985032,2.04449791271244,0.44998065689137,17.9576131768062,1.34400225422503,2.06040745146403,-0.140015648638419,0.444780988906776,0.642165391308665,15.0602035522461
"AS","Croplands",9,26,0.463412475900715,18.0734807701433,1.34507891553521,2.04719834936957,0.477744181900553,18.2637339293554,1.37884784135591,2.13537933430552,1.07939165874846,0.47248886009534,0.662666552951742,13.4587464332581
"AS","Croplands",10,20,0.434525113687251,18.3620101472069,1.31529051645107,2.01502992882444,0.469488239589898,18.5403707793447,1.37390978728789,2.26532686427129,-0.537279925803575,0.468690124935398,0.632204695633567,16.8645858764648
"AS","Croplands",11,30,0.482191915753856,18.2470578703181,1.36110469725261,2.13733086600443,0.457667159978823,18.2071627904885,1.31421191353709,1.867396935549,-1.00344575105588,0.419324472823024,0.669091927722337,16.8840889930725
"AS","Croplands",12,19,0.439764870851676,18.0711321728375,1.32135019689251,1.99212753554595,0.436269959863064,19.6727104446087,1.31768986827982,2.13493713122333,-2.84799175843996,0.422385736328083,0.616438273092483,15.0965707302094
