"filename","LULC","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"P_Bray","Croplands","mean",30.2470736121548,0.277607073080687,1.13337920212935,0.624906837068188,0.243311486640442,0.207793851488,0.47903999141126
"P_Bray","Croplands","sd",3.88886411012906,0.0401493976402421,0.0763735287733718,0.0855591761526052,2.01143241332741,0.123738827794352,0.0454004861049546
"P_Bray","Croplands","q25",27.683268211806,0.255395277969835,1.10538029272436,0.58201518584458,-0.493964589763324,0.179697379947775,0.444558326994813
"P_Bray","Croplands","med",29.357465440818,0.274589885394984,1.15235220169858,0.614410781782585,0.402110150129959,0.24516185073454,0.489748799074298
"P_Bray","Croplands","q75",32.6792445314002,0.313298989495705,1.18716036237803,0.653030830577929,1.50350248876314,0.288817886698031,0.508136940421972
"P_Bray","Croplands","q2.5",24.8682460837194,0.199051622290584,0.946007311910363,0.476658830879664,-4.66963538809307,-0.119977098102821,0.395062258625825
"P_Bray","Croplands","q97.5",37.7693062213402,0.345104171415737,1.2295721600149,0.813372239360113,3.111166359626,0.337032811430159,0.549939297785751
"P_Bray","Deciduous Forest","mean",16.2106075373653,0.380746764731841,1.227374282902,1.00860851189862,0.3429979350919,0.30315949176032,0.584026272846186
"P_Bray","Deciduous Forest","sd",1.79703915016231,0.0676328987939923,0.12994610589397,0.193577515580847,1.5011347868226,0.201844749288188,0.0562432163521004
"P_Bray","Deciduous Forest","q25",15.0122203823304,0.335000339875822,1.16843146058327,0.852634507104455,-0.647853169094186,0.262898284607149,0.551934717432203
"P_Bray","Deciduous Forest","med",15.901779074097,0.391282840880624,1.24297597161282,1.02773053329723,0.389768542213567,0.348654577583302,0.586120690744027
"P_Bray","Deciduous Forest","q75",17.1386695144562,0.426699851117562,1.30374804670821,1.11965843422152,0.901325366563171,0.407969224472634,0.615108864213366
"P_Bray","Deciduous Forest","q2.5",13.7001254543664,0.249812463922411,0.871180542314289,0.71489881501807,-2.03056805703822,-0.336593566948879,0.458305984963396
"P_Bray","Deciduous Forest","q97.5",20.3136108359446,0.5163701436927,1.44057166814569,1.34152465781651,3.94584985488993,0.513941148796207,0.690338624616307
"P_Bray","Developed","mean",33.2304707132578,0.158960909371268,1.0672709561189,0.339892400745621,-0.37819015917441,0.109297278218661,0.292120115906005
"P_Bray","Developed","sd",9.01060829012656,0.0704173476833302,0.0534833723721453,0.0955816883802719,4.28354087158714,0.084887828460859,0.105855754109787
"P_Bray","Developed","q25",24.9080065234836,0.107346762613255,1.03143256870684,0.267177402206326,-3.44752262785707,0.0529691104494268,0.199552455353219
"P_Bray","Developed","med",32.0261044716871,0.145456942798708,1.05767998810486,0.32774077267164,-0.0181316850340473,0.0994221779987152,0.268553960561301
"P_Bray","Developed","q75",38.5276154591014,0.210060423066059,1.09346423580576,0.387416783855305,2.75866773662193,0.157387084131334,0.36538481859231
"P_Bray","Developed","q2.5",21.0521248728842,0.0664411086830461,0.978766700961194,0.212165614748196,-7.04217961849958,-0.0516552739331693,0.157413941326957
"P_Bray","Developed","q97.5",47.0823066661652,0.322642052014703,1.19032002800854,0.559090497548772,5.80630978620382,0.288537279381262,0.500852232853996
"P_Bray","Evergreen Forest","mean",36.0583998600199,0.0705713177337751,0.998244250934567,0.506562366311136,0.687021294149426,-0.0655760412162663,0.175977321084955
"P_Bray","Evergreen Forest","sd",4.99858869879831,0.03545987897458,0.0960235043248534,0.0983925981448354,3.67009766238039,0.456338094393161,0.0739210253700739
"P_Bray","Evergreen Forest","q25",32.643908865951,0.047790895210259,1.00016354576355,0.443724299383179,-2.01554054167049,-0.00564407663175423,0.122087628552624
"P_Bray","Evergreen Forest","med",37.1403438546603,0.067012321604546,1.01810640184917,0.494450417986274,0.104560670052172,0.0295085349188263,0.161316671784483
"P_Bray","Evergreen Forest","q75",39.202616104693,0.0886837886207423,1.0345325648482,0.548942130464621,2.77541244879311,0.0600838927488447,0.235261386340234
"P_Bray","Evergreen Forest","q2.5",25.0781382300078,0.0232130377035913,0.706677523316652,0.348813406504556,-4.09927016546121,-1.06847674847341,0.0761770212550184
"P_Bray","Evergreen Forest","q97.5",43.8348686201545,0.153532611173035,1.0771446410158,0.740265780299774,8.77748483798758,0.132948166790019,0.323323911968687
"P_Bray","Grasslands","mean",37.0699978077788,0.152443139443509,1.03880884395966,0.299965886127147,-0.0348255045937753,0.0208624551985888,0.282228187580475
"P_Bray","Grasslands","sd",7.46069738736756,0.0580092834754564,0.0992780350481993,0.080984048070353,4.51982184608336,0.311989046991727,0.090705300106848
"P_Bray","Grasslands","q25",31.7726677205047,0.111300384865185,1.02556494352129,0.239943749057695,-4.20348071983403,0.0361826049091665,0.214699633160465
"P_Bray","Grasslands","med",35.8682536354734,0.146365378562031,1.06078459124495,0.293205671032027,-0.378639580641056,0.0991416821129592,0.28786605535158
"P_Bray","Grasslands","q75",43.1255157362786,0.18496988587082,1.09143066053912,0.342472953447004,2.89452426565771,0.149007900506638,0.348176283309885
"P_Bray","Grasslands","q2.5",23.933110891731,0.0619303362912663,0.705449301938344,0.17997401296994,-8.30339984399334,-1.13433229261152,0.149221038233021
"P_Bray","Grasslands","q97.5",49.8020357600012,0.254765908065192,1.13849422811759,0.461969103936093,8.41490408366464,0.217869644789229,0.456565802777862
"P_Bray","Mixed Forest","mean",27.5571111167101,0.186175712718642,0.930530355324349,0.386144723989618,-0.981993116439994,-0.520058853090278,0.245322791573669
"P_Bray","Mixed Forest","sd",16.9742275656444,0.11729883450865,0.197098627246626,0.246573030366294,6.36630037000191,1.54471132143163,0.164812626402145
"P_Bray","Mixed Forest","q25",12.6778880066461,0.100685772605826,0.787326947407378,0.160692815172804,-6.59995870871686,-0.666990434879751,0.0803578688904811
"P_Bray","Mixed Forest","med",17.6938853287917,0.164520330167938,1.03208709227245,0.343482895686153,0.621458672201789,0.0299186841657872,0.231655890254578
"P_Bray","Mixed Forest","q75",47.1636605503938,0.261482773705673,1.04800745166123,0.546303574916021,4.56657924311942,0.0591688079258699,0.398265345563175
