"filename","LULC","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC","Barren Land",1,19,0.832498134573144,1.2155077857248,4.95271884913725,1.04877328633469,0.933719956375134,1.11837738070282,3.7839886588188,0.711139530111202,0.0540660364119138,0.929338984698536,0.965758984274885,12.7151801586151
"TC","Barren Land",2,28,0.866594669487388,1.01062034340896,5.33277460769093,1.17244248814861,0.960719053098926,1.49265493816349,3.98286953116949,0.770646264645263,-0.272540067523576,0.936219581430752,0.962318774010232,12.4481265544891
"TC","Barren Land",3,24,0.830382270313471,1.26504683573866,4.73214021374377,0.936640602170383,0.932388033385426,1.14574624749714,3.79587158045157,0.925339133613565,0.104604567051549,0.929780698818116,0.965272783508347,11.3832705020905
"TC","Barren Land",4,23,0.77724810969112,1.40355532365884,3.48280866538939,0.881431856761428,0.976840873021128,1.18468735353667,5.81732199939357,0.755617684554185,0.149214218678373,0.970102607113227,0.983639953994012,14.5649530887604
"TC","Barren Land",5,29,0.71424654184497,1.22931057716075,4.12777294014021,0.949783870075109,0.968174017410059,1.19091110001952,5.49125949702669,0.939240177106142,0.0363433762772632,0.966446672891301,0.983640258527567,9.0676281452179
"TC","Barren Land",6,20,0.800150067389136,1.16844841987659,4.41547206970817,0.86788012440216,0.961413429573912,1.31217449927161,4.87311852911154,1.1015741186118,-0.190355246494465,0.957394508887263,0.97704814705783,11.9475784301758
"TC","Barren Land",7,25,0.726890859661634,1.13143163992959,3.59283409583272,0.998415377150223,0.97651195682191,1.46858901150787,5.41635047939285,0.838334023578115,0.238254535733107,0.965512158969894,0.984228474193471,9.76393818855286
"TC","Barren Land",8,21,0.814997009120019,1.2786805900409,4.54720840216745,0.909817888893413,0.823156796095704,2.16590063546749,2.26153132225143,0.519217061062116,0.263022939147976,0.80217812617429,0.905272372130411,11.1645126342773
"TC","Barren Land",9,22,0.790258641771882,1.2497753425948,4.76047221122379,0.936576653104528,0.94227083996079,1.08363777146258,4.15093390384651,0.955628088805282,-0.109977164128665,0.941279750883098,0.969181012266396,11.5400953292847
"TC","Barren Land",10,22,0.777039304289218,1.27057713343289,4.10463236685589,0.856358442450646,0.973815628894671,1.01346057930072,6.20731585235532,1.4134047853034,0.0417082719430056,0.973741383743553,0.986769460272735,12.2800898551941
