"filename","Depth","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"TC",15,1,30,0.981576273432408,2.41344360663631,7.36829214853194,11.2182410252107,0.981408473744074,2.43269863924604,7.33237317053408,11.2455852971902,-0.0525661812826784,0.981396983733434,0.990595523930353,104.934898853302
"TC",15,2,30,0.981295719802494,2.44018670945265,7.32098894637937,11.3351128841302,0.982257401843601,2.35009916760804,7.50727840792206,11.1980958464342,0.00582691202952627,0.982253715440764,0.991064353479068,96.6220052242279
"TC",15,3,30,0.982052117170266,2.38801813858451,7.46632745916524,11.5602833156717,0.980362807574385,2.48442289903477,7.135567547606,10.6750542129135,-0.0382828816428639,0.980356655115282,0.990068852533697,102.465007543564
"TC",15,4,30,0.981115213422753,2.43813553751416,7.28532914452497,10.9649151672089,0.982171357152353,2.39088040389401,7.48007343976129,11.7215680892512,0.0774195714375476,0.98212439450381,0.991029670403749,106.334928274155
"TC",15,5,30,0.981046472096329,2.4441718631109,7.26900888777403,11.1553697661411,0.98273247773311,2.34880548822604,7.61025510782044,11.4828464118032,-0.00801932306185908,0.982730727018989,0.991279317911456,102.408694982529
"TC",15,6,30,0.98194424621003,2.39317732978006,7.44295866816119,11.403785322506,0.980716070518054,2.46735696375022,7.20123070405493,10.8657010736101,-0.0270430830255412,0.980713250667648,0.990255842947924,92.0408720970154
"TC",15,7,30,0.981897637323458,2.39141866928409,7.43422015370025,11.4373781466246,0.980698487964203,2.48027465765092,7.19602322100794,10.8386809791706,0.0473134950427481,0.980685326421796,0.990272708238197,92.0736539363861
"TC",15,8,30,0.981470790033954,2.42765770430085,7.3520106420109,11.3124523584387,0.981774598538553,2.38736461011216,7.40706092619893,11.0343534952386,0.00280217643693523,0.981770252585263,0.990820401917261,101.764935731888
"TC",15,9,30,0.981416212661739,2.42665615406882,7.34107876789163,11.2646734485502,0.98168878314219,2.40463687316003,7.38699063158021,11.1409004022692,0.0319950189216255,0.981671058350732,0.990785990294316,103.693872213364
"TC",15,10,30,0.981529036412104,2.41809198165808,7.36455410349915,11.1948252104695,0.981677295187497,2.40704554525559,7.38609609790534,11.3633989784334,0.0203308494714347,0.981666618427891,0.990776832815721,104.934428691864
"TC",15,11,30,0.98155163106906,2.42078115626927,7.36701299086741,11.4548012397514,0.981734463479288,2.3951680027131,7.39650245899622,10.840761995855,-0.00487296137086638,0.981718169706349,0.990737610069377,103.371958732605
"TC",15,12,30,0.981562839908211,2.412511986023,7.37006561279287,11.2686282700362,0.981708970976822,2.4134599699023,7.39294474985563,11.2804413764949,-0.0303806343525843,0.981700569930645,0.990787480084895,91.3053371906281
"TC",15,13,30,0.981174160109966,2.43590579913395,7.29393391916645,11.1848225420649,0.982234478411775,2.38276438559968,7.50125420210878,11.3603688424222,-0.047874585482564,0.98222520015626,0.991019969238691,87.8323884010315
"TC",15,14,30,0.981549707674021,2.42776308584131,7.36901912028863,11.3999450724448,0.981733843484022,2.37555234200706,7.39933812128938,10.7909178664285,0.0198897266778567,0.981732179381913,0.990787612632213,92.2578620910645
"TC",15,15,30,0.981624649029141,2.41004989398342,7.38570366362973,11.2990750732928,0.981611945135703,2.41324186034001,7.37487209478299,11.254092251936,-0.00647141111236998,0.981610771895065,0.990729529685165,97.4737102985382
"TC",15,16,30,0.981339415136494,2.44099973672341,7.32484733935676,11.3358611489008,0.982081900992835,2.35671252978537,7.47016181774269,11.1252797132147,-0.0302268504510285,0.982076927316195,0.990970323754949,106.275714159012
"TC",15,17,30,0.981134862467999,2.45163244256001,7.28358993350001,11.1068308068099,0.982247001929334,2.35361593868051,7.50526728325413,11.5266154947562,0.0192709501133575,0.982244203515054,0.99105394803814,106.210721254349
"TC",15,18,30,0.981651461790379,2.38841207818792,7.38517043501119,11.0118201974821,0.981414947560673,2.47526897732926,7.33546724383677,11.7516776192484,-0.00514587933005802,0.98141267379242,0.990633048080903,99.4186086654663
"TC",15,19,30,0.981322972138935,2.44051349620332,7.32514306360059,11.3387367179282,0.98223221256688,2.34772780886534,7.50260146143025,11.0558475526789,0.0138300059328861,0.982231583306096,0.991037169500622,93.9690709114075
"TC",15,20,30,0.981333966883304,2.43083870559974,7.32458807018015,11.186958878578,0.98184628814378,2.39632807850376,7.42231159683323,11.3471843354513,0.00736550159939984,0.981845089177464,0.990830106152433,109.496293306351
"TC",15,21,30,0.980896673667803,2.44624169359522,7.24264826582455,10.9038278913063,0.982774136421195,2.36106023907388,7.61806707794137,12.0288580072994,-0.0378378287271414,0.982766126516719,0.99129175202834,93.3943829536438
