"filename","Depth","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"pH",15,"mean",0.476554126967323,0.828905180724129,2.41706727789128,3.19272380244491,-0.000425893679494019,0.828540812617524,0.907280265972808
"pH",15,"sd",0.0108027682911636,0.00739608017001543,0.051615110213718,0.0770682002420811,0.0105100246187381,0.00764325578222038,0.00387354708458448
"pH",15,"q25",0.470344311840563,0.825900950735819,2.3958950080137,3.16015210233382,-0.0101457869103626,0.825739593244498,0.905243895165891
"pH",15,"med",0.474008492398697,0.829239864875617,2.41717845375675,3.20108844599892,0.000703810870239739,0.828794853856996,0.907870643782406
"pH",15,"q75",0.482719627343814,0.83439648056856,2.45622966419399,3.23135117852262,0.00850022224268659,0.834195510853478,0.909682084004498
"pH",15,"q2.5",0.457450435591567,0.816399373802192,2.32606599685239,3.04471063557823,-0.0166958642031411,0.815119507422999,0.901387113635116
"pH",15,"q97.5",0.495717032075851,0.839278340331616,2.49294681705236,3.32490441041854,0.0197580679947917,0.839043517398563,0.913186203201625
"pH",30,"mean",0.528221666927536,0.819393229170471,2.35742307687262,3.60056035331628,0.00450405677210469,0.818052785875976,0.901951304522954
"pH",30,"sd",0.032884295745532,0.0211255957311391,0.131667565836034,0.221912449392562,0.0137257366334089,0.024069968885654,0.0110220174595265
"pH",30,"q25",0.510833586273841,0.817708739194498,2.34117002280724,3.54804470816386,-0.00612403866102401,0.817465456486853,0.901107393286504
"pH",30,"med",0.519332159831447,0.82356633052597,2.37958423787754,3.62415098900131,0.00666701015827977,0.823314300143559,0.904361616144633
"pH",30,"q75",0.528552405097553,0.830914966448107,2.43091198402998,3.73242369791481,0.0141000429204006,0.830696175472892,0.908259668789925
"pH",30,"q2.5",0.49633990360351,0.753913522310513,1.9706533048929,2.9681044771712,-0.0230313449563925,0.742210408019232,0.867984325255831
"pH",30,"q97.5",0.6226591346063,0.840829454635404,2.5027895874238,3.86738839557987,0.0263968140239901,0.840275345355991,0.91422648063675
"pH",60,"mean",0.543343585268526,0.818408991293731,2.34615489566128,3.99529009894511,0.00139995060351235,0.818145874652084,0.900976810779514
"pH",60,"sd",0.00807193590213756,0.00538007927632236,0.0350336850924279,0.0944635915252253,0.010315158033155,0.00547218977722185,0.00310630331441717
"pH",60,"q25",0.536970808944964,0.815094631011305,2.3253770226616,3.91574965477309,-0.00628085169615347,0.815003639278318,0.898998480743203
"pH",60,"med",0.543090621098298,0.819067671131288,2.35005380805975,3.99851938124001,0.00135415643899382,0.818868153114267,0.901688497683467
"pH",60,"q75",0.549360198877005,0.822161809417724,2.37143822048363,4.06977435531344,0.00743721847911645,0.822120327539189,0.903332064318269
"pH",60,"q2.5",0.530667452729148,0.806921827293127,2.27367755723273,3.83215768528016,-0.0182852504463607,0.806493754961547,0.894033408935739
"pH",60,"q97.5",0.55728985026605,0.82771634125235,2.40931538544773,4.14102952735518,0.0199615177733257,0.827665125852547,0.905286728350102
"pH",100,"mean",0.590128053520242,0.811345002692096,2.30252043266828,4.12484178891339,0.000255110052057571,0.811148755654005,0.8961895888534
"pH",100,"sd",0.0106227552251767,0.00644673930757791,0.0396126568735513,0.0823446419938449,0.013275410807626,0.00644852132164862,0.00386379911386587
"pH",100,"q25",0.584289134653925,0.807047497308264,2.27660426612988,4.06652430383368,-0.0106883071268503,0.806991366156628,0.894071587031124
