"filename","Depth","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"Clay",15,"mean",4.6992682182219,0.882789546091576,2.92276966863038,3.46058221492791,-0.0150828273769416,0.882510991769297,0.938210280622069
"Clay",15,"sd",0.168566068176445,0.00770040136139644,0.0985987613988135,0.146979242323339,0.0865550742098208,0.00781187149221101,0.00411112151664148
"Clay",15,"q25",4.56137008733823,0.876808313593932,2.84800694075769,3.36027078855385,-0.0752983127303315,0.876669521620575,0.934617482305638
"Clay",15,"med",4.7095901257047,0.881599725372253,2.89862993214709,3.43065438996217,-0.0132101764755551,0.880939636318206,0.937869086906287
"Clay",15,"q75",4.83882698887303,0.888209946590822,2.99098715038306,3.54839371297679,0.0438960367046142,0.888178992233812,0.941073856709662
"Clay",15,"q2.5",4.44457834248796,0.870080760616582,2.77054737878848,3.23488047320303,-0.184034995049057,0.869676758336505,0.931719752580103
"Clay",15,"q97.5",4.94377434340459,0.897918074801829,3.12618864561475,3.75058479218573,0.15139939661954,0.897641868154905,0.946133569207114
"Clay",30,"mean",5.65020297206637,0.862112895952457,2.693590046099,3.69871425918028,-0.00528745834854221,0.861675351253619,0.926623855995798
"Clay",30,"sd",0.1723322550708,0.00870607216206795,0.0865307413818632,0.129496877098594,0.141095756692096,0.00909012676265765,0.00446945952320573
"Clay",30,"q25",5.53655639707799,0.85762499221631,2.64600367046939,3.62488980328687,-0.0985240946044054,0.857096849199197,0.924035412685304
"Clay",30,"med",5.62883915287621,0.862645525084538,2.69460251190755,3.69386356906741,0.0207230353580985,0.86220585217814,0.927153609920748
"Clay",30,"q75",5.74913709160466,0.867918809069331,2.7479190829962,3.79094142075019,0.0721155030377,0.867501053538497,0.929129997362834
"Clay",30,"q2.5",5.36739807504987,0.84029877418725,2.49560317662526,3.41787280569515,-0.284408951385348,0.839352145480579,0.915960867087856
"Clay",30,"q97.5",6.02377563160642,0.876866296609188,2.8490116774885,3.91937653318133,0.26162671332525,0.876733704727421,0.934189967656436
"Clay",60,"mean",6.14057059857506,0.85983623889019,2.67185383558082,3.82078281275252,0.00778762546433895,0.859496822469294,0.925226551472845
"Clay",60,"sd",0.186362327966567,0.00819790458842101,0.0811664852213985,0.127180209306827,0.12588118765045,0.00833842833479921,0.00434806913805715
"Clay",60,"q25",6.02134835945141,0.854743817610141,2.61924626067794,3.73040066906777,-0.0834210089201383,0.854182907928801,0.922110232388723
"Clay",60,"med",6.16129112393276,0.859631983827197,2.66606144907667,3.79587473553223,0.0104423650134966,0.85925912243426,0.925410290316352
