"filename","Depth","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"BD",15,1,30,0.697081134733642,0.156589194135292,1.80975500335502,2.24425434935422,0.714926171104758,0.155533219293479,1.86637553440752,2.13676696534457,-0.00298371011955061,0.712413455838792,0.840265503915799,19.8589956760406
"BD",15,2,24,0.705670034857897,0.155984357617778,1.83765277516888,2.24417818457011,0.700906516299157,0.155600986607735,1.81682230286992,2.1348219072506,-0.00150852921393728,0.696511860935757,0.832875501481991,18.1825485229492
"BD",15,3,30,0.702158713467837,0.155264955274747,1.82185902947044,2.21899271725767,0.696941021408502,0.163265298440731,1.78516671371816,2.11743471087641,-0.00908713265328411,0.685653183137587,0.832598770846834,18.9956679344177
"BD",15,4,11,0.680823720473106,0.161251894607175,1.77272207789109,2.17722993801263,0.677264854849545,0.162182113486565,1.75450753076794,2.06083823187867,-0.0140759398924383,0.674571072886401,0.80920023386104,17.4155557155609
"BD",15,5,30,0.695943021616727,0.155808738098162,1.80214576232398,2.21547008026293,0.733091382060006,0.153890742442453,1.92404009561108,2.21997648836968,-0.0169149940726156,0.729393395848513,0.84731123001275,17.778190612793
"BD",15,6,30,0.678746165855649,0.158674510145847,1.75914053042867,2.17200673683013,0.758679552348155,0.14821211245635,2.01936652967201,2.41889511631909,0.00311408040423629,0.754338940643238,0.869075051249418,17.4447412490845
"BD",15,7,10,0.67720017898892,0.162302912064757,1.76381790313616,2.10050485640072,0.67199923030086,0.162408926626338,1.74483541378008,2.19676862849324,-0.00889579561515404,0.670953183644127,0.804792840616604,16.6660199165344
"BD",15,8,30,0.698620121354124,0.157209136366258,1.81324307385789,2.20786269502399,0.691586615835978,0.160465708981076,1.78460882027592,2.11000575855075,-0.00542156703301764,0.685456614077091,0.827559592758624,16.7415068149567
"BD",15,9,25,0.685398532916745,0.158262417176118,1.78402895120445,2.12817993058446,0.727257717661988,0.15304410328615,1.91136889392154,2.49790943781234,0.0108991229134034,0.725793591899577,0.840030596590855,16.4757044315338
"BD",15,10,30,0.709010155869462,0.154499561644082,1.84675075856594,2.19913445957026,0.680381402387073,0.161825290961995,1.76452405952156,2.19169999875542,-0.00538080937964146,0.678255257573837,0.816347764338369,16.6361348628998
"BD",15,11,24,0.701464634105886,0.157533545074424,1.82995941954865,2.19566148490209,0.706301129093531,0.151478857360725,1.83982448124973,2.28194083334579,0.00847314068062924,0.704053068843998,0.832767478523758,16.483348608017
"BD",15,12,30,0.698571432212241,0.156831224949488,1.82402508577003,2.24052809071137,0.726869450679958,0.152947665190268,1.85739790398015,2.04895471670097,-0.00287750432384231,0.709626669756706,0.852403750442096,16.479033946991
"BD",15,13,30,0.708037301228465,0.155641863248821,1.84935130150303,2.22295473902726,0.680940578023915,0.158411534299619,1.7656406897677,2.14788087562143,0.0132336474670714,0.678662085880286,0.807966750072338,16.6994478702545
"BD",15,14,23,0.694150404790326,0.158239861866352,1.80435465261657,2.19416486405458,0.683029207532793,0.162308543050534,1.75723045820601,2.12553426650246,0.00530984402045668,0.675578832346468,0.822700355870715,16.6269507408142
"BD",15,15,25,0.695715837004236,0.15906040985188,1.79879767586701,2.21008678606675,0.70300446338117,0.156530488143513,1.81379254429396,2.07130977386808,-0.00167205895918635,0.695497121121451,0.835889173263939,16.2194089889526
"BD",15,16,25,0.70681731001254,0.153458925077502,1.84922836568731,2.23523349864965,0.690868593799734,0.16262021355676,1.7794658609939,2.16383109641645,-0.00364901379218163,0.683635818800743,0.827867866376683,16.4952590465546
"BD",15,17,21,0.704038011151329,0.154461133755085,1.83622177940061,2.25552644882441,0.668440430266209,0.168581570982495,1.71784301145972,1.96755996558155,0.00217541840985593,0.660531342531727,0.813606723824596,16.4652132987976
"BD",15,18,25,0.698463031618371,0.156972900766025,1.81448447694418,2.1697556765398,0.703279830497344,0.156625557024111,1.83240618893665,2.27947007361666,-0.00168083283503708,0.701652002076042,0.831618782104026,16.5219709873199
"BD",15,19,26,0.707597845307126,0.154419341484024,1.85084426736725,2.24296141708281,0.689023198785594,0.158873632475985,1.79139329059753,2.16390306334795,0.00249604123985548,0.687834617001477,0.821166167317591,16.428435087204
"BD",15,20,30,0.703653484387476,0.154300294364105,1.83177767380906,2.19972697653491,0.695367094774504,0.162365177732117,1.79667211685773,2.17406099590144,0.0168952913477971,0.689666276764143,0.825829531450688,16.6154246330261
"BD",15,21,24,0.712333550907461,0.154861667354995,1.86070080687136,2.23475674071539,0.680452697246987,0.158466250463892,1.76134244144704,2.13460023197227,-0.000634325996830468,0.677091834242963,0.818528036209202,16.6153078079224
"BD",15,22,25,0.696832374673863,0.156193403827193,1.82001014341037,2.16664556061799,0.697657912739426,0.158449059404567,1.81925988879326,2.2273635219183,0.00326518420950067,0.697324590127339,0.824219919290948,14.9135038852692
"BD",15,23,30,0.715413598967092,0.150952616581158,1.87669046976965,2.28680043988776,0.674892176845652,0.166465115493112,1.74503812746342,2.08587576424903,0.00925130944889441,0.671029627151953,0.813764643168187,17.1477420330048
"BD",15,24,25,0.715869349851767,0.152248059387007,1.87519406851332,2.28406177326736,0.667634604613145,0.165761382549354,1.72200497320062,2.0696198941141,-0.0122942527005762,0.662170302002362,0.80926982224079,17.2679750919342
"BD",15,25,30,0.694614333668842,0.155275414375065,1.80372181745882,2.18440053027781,0.646466385605891,0.185252508694417,1.6041929126186,2.01930094030232,-0.0185087407911363,0.610727753749042,0.802322575268335,17.4388890266418
"BD",15,26,25,0.681311674196551,0.158268885499475,1.76295007620588,2.16266280905312,0.764096338558503,0.145732624757489,2.05793013460945,2.4504005578315,0.00520777654293007,0.763459574131199,0.863488620012721,17.6283459663391
"BD",15,27,25,0.699265632468815,0.157320480176524,1.81770023005635,2.2196050037998,0.707853196756878,0.15359851126461,1.85092345088781,2.21034544674148,-0.00238538817532239,0.707591689216885,0.831111545252762,17.6111979484558
"BD",15,28,30,0.710527516848276,0.15614354491487,1.84712164568005,2.24914875726352,0.682166284043487,0.158584615764518,1.7560490346933,2.08392127702176,0.00153295550193926,0.675142161481531,0.822223087713489,17.1477613449097
"BD",15,29,30,0.71076697040703,0.155242991035739,1.85326835213266,2.2144476713983,0.692111223044894,0.155764634726476,1.79833437480999,2.24350164986842,0.00545846619177969,0.690239714380673,0.823823260635187,17.93630194664
"BD",15,30,25,0.710180740196737,0.152890208030694,1.86277715561954,2.25632978359702,0.70825804675122,0.155447780956678,1.84660420953331,2.22957434880714,0.0124094226351591,0.706222192568929,0.826041148399622,17.3900437355042
