"filename","Depth","stat","RMSE.val","R2.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val"
"Carbon_hmin",15,"mean",0.465252212555521,0.896169044773349,3.10407158444289,2.47687319017106,-0.000721208889350132,0.893443075087383,0.944966493193106
"Carbon_hmin",15,"sd",0.0431464216873009,0.0181381813649637,0.285190535452617,0.264839176461887,0.0153179093167995,0.020207236501732,0.00960737662268472
"Carbon_hmin",15,"q25",0.435400192504769,0.884151909590283,2.91642805438831,2.33717118543104,-0.0138716551472829,0.882315689565676,0.939057264893183
"Carbon_hmin",15,"med",0.466929575552494,0.897114817695712,3.06895878730635,2.4413597079575,-0.00160547655679739,0.893728116802832,0.943854094225858
"Carbon_hmin",15,"q75",0.482877431054691,0.910757868993221,3.31758920435852,2.65578959852421,0.0117266852935952,0.909049245985587,0.953275619488852
"Carbon_hmin",15,"q2.5",0.379156350326795,0.860117123025935,2.59425491488463,2.04907212626679,-0.0267809091922033,0.851278918148493,0.92683661142135
"Carbon_hmin",15,"q97.5",0.556647851537767,0.922729177974774,3.58092637737723,3.12168443511558,0.0250864211944951,0.921940084353668,0.959373831379978
"Carbon_hmin",30,"mean",1.37971425196472,0.889958151822675,3.08360510158822,1.05346115113314,0.00924357350764616,0.880906127497782,0.938098963600513
"Carbon_hmin",30,"sd",0.359322556209128,0.0415042503158565,0.668664914815867,0.316361089537495,0.138024237985412,0.0432342660789593,0.0256486292554435
"Carbon_hmin",30,"q25",1.05777379869849,0.85799488016427,2.54020530189909,0.839511894274074,-0.0520615306795613,0.844132733875984,0.920475606331444
"Carbon_hmin",30,"med",1.38868583705915,0.891354578774334,2.89476029448248,0.993266317960187,-0.000712787371019257,0.879949543212666,0.941726045230922
"Carbon_hmin",30,"q75",1.6675083918765,0.924559733184391,3.49080514951443,1.16442091321423,0.0886276841707196,0.917470370590867,0.958949723562424
"Carbon_hmin",30,"q2.5",0.816334165638857,0.820683502944496,2.32163537834037,0.638745420021102,-0.295961670699724,0.813416510894765,0.889967752875905
"Carbon_hmin",30,"q97.5",1.99408536041379,0.956314456664895,4.42339956717764,1.75209159330767,0.268108838367421,0.948601365217091,0.9759969211873
"Carbon_hmin",60,"mean",0.849339237816018,0.936542304358091,3.89220921497878,1.35925510531174,0.00812520686371013,0.929456465436767,0.963964027758195
"Carbon_hmin",60,"sd",0.156834550715306,0.0202576052470499,0.571238880717907,0.280824063472041,0.0722954017263424,0.0201375862626772,0.011632612242082
"Carbon_hmin",60,"q25",0.759914138580129,0.925942290469135,3.46524329552968,1.13751916608667,-0.0392293337858677,0.916265082211327,0.956484774014666
"Carbon_hmin",60,"med",0.8712802408283,0.938466199741613,3.89166517118147,1.33616324465774,-0.00168306858751924,0.933615231603568,0.966121139461132
"Carbon_hmin",60,"q75",0.947917523865211,0.952087265619062,4.20444089319894,1.50996646509376,0.0573521628523384,0.943126165006917,0.973055849297481
"Carbon_hmin",60,"q2.5",0.573530213503993,0.898943025031297,3.03269346180685,0.967922289684642,-0.105132374868073,0.890680969720252,0.939290259929703
"Carbon_hmin",60,"q97.5",1.14167656658417,0.964814264532528,5.10301490884168,2.03727939892898,0.159522815553311,0.961384251689484,0.98080893641251
"Carbon_hmin",100,"mean",1.97561495389529,0.894607612844564,3.323624761877,1.08785704456433,-0.0450849216994025,0.882739580561737,0.934826167644291
"Carbon_hmin",100,"sd",0.719854295229203,0.0597162564391577,0.977379968353514,0.369611644364087,0.278458273586189,0.0639038530218985,0.0408400654413706
"Carbon_hmin",100,"q25",1.48670553854924,0.838734176601028,2.40137571664714,0.741412692286377,-0.212023850475235,0.824179246863087,0.897792466807519
"Carbon_hmin",100,"med",1.68141970451927,0.919859661566624,3.40025114078087,1.04524034553705,-0.0586803619286271,0.912306167762635,0.957098368813195
"Carbon_hmin",100,"q75",2.71866282606531,0.939980875060919,3.91941618106815,1.38553456731373,0.156660891792214,0.933999223380627,0.966684782496386
"Carbon_hmin",100,"q2.5",1.04200792121187,0.785088268378998,2.12511516754834,0.588949278499558,-0.679114110485143,0.775489045766024,0.863171721640632
"Carbon_hmin",100,"q97.5",3.11151168584277,0.964348636893636,5.12587067867351,1.74076212201231,0.412372474411018,0.961399783219477,0.980031266615383
"Carbon_hmin",200,"mean",1.10767797549427,0.951732809492133,4.42706783239467,1.67270208679046,-0.0175329093115581,0.944465748366662,0.971703194781538
"Carbon_hmin",200,"sd",0.220195458388226,0.014954146518842,0.678131692585309,0.375281709547029,0.188612298325722,0.0153879713854156,0.0083226330348466
"Carbon_hmin",200,"q25",0.965467714693709,0.939995164723157,3.94527058872056,1.36765858166661,-0.166133088673539,0.93432312952208,0.965717985130944
"Carbon_hmin",200,"med",1.10521746537144,0.95320440362208,4.25502128249435,1.67111242900027,0.00373756148744084,0.943535352675652,0.972080100217609
"Carbon_hmin",200,"q75",1.26144376179693,0.963657350416385,5.03469428923739,1.87920829401072,0.0826968917756459,0.959669057226302,0.978838283788714
"Carbon_hmin",200,"q2.5",0.725516888176859,0.923197374416818,3.52993276334375,1.13047634495367,-0.341475631793174,0.917962333587617,0.956788078057506
"Carbon_hmin",200,"q97.5",1.44061521490666,0.974197051237298,5.60969742122458,2.27575885814124,0.351214836403978,0.967514377851839,0.984378186840887
