"filename","Depth","run_id","ncomp","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"Clay",15,1,30,0.879553048118,4.77539061298486,2.88739434525883,3.39842199628068,0.892435950194303,4.44692633287309,3.04919453649059,3.68374294372812,-0.0186823294731333,0.892407450554737,0.94343810523575,50.6545786857605
"Clay",15,2,30,0.891668556007558,4.55202886536135,3.03885070380134,3.62471521776921,0.870402332959603,4.84929364877683,2.77395802660273,3.26043420859615,0.0234092972074102,0.869997203807908,0.931872340588188,48.1033132076263
"Clay",15,3,30,0.888436376736342,4.59091994940327,2.99464946867741,3.60171396631502,0.876942674842426,4.79466122546213,2.84772416664587,3.26441111561358,-0.00768579134761086,0.87664503833737,0.935400513882863,42.4238970279694
"Clay",15,4,30,0.892090351447789,4.51626669264218,3.04555516700414,3.59189921764996,0.871133692636483,4.91143184320033,2.77722584119976,3.32163852025882,-0.0395927065189588,0.870302958632877,0.932642180109275,40.4945976734161
"Clay",15,5,30,0.881523318227045,4.71059050274638,2.90918061330198,3.41859151004768,0.887377067463679,4.61857560403671,2.97778197086236,3.55291862834461,0.19054048343673,0.88718504564588,0.940239041759277,39.5069477558136
"Clay",15,6,30,0.88950844865229,4.54120391246338,3.00744823669254,3.59408729812936,0.876324001748862,4.87704898986435,2.84310228744991,3.32487496715734,-0.10126909530128,0.876243649228111,0.934386164157802,42.5518438816071
"Clay",15,7,30,0.88593521919877,4.6520361765629,2.96121905038004,3.47838436457636,0.881954453200173,4.68841193532408,2.89705299736743,3.51975108579262,0.101539685326877,0.880810064665823,0.938721926283522,40.7647264003754
"Clay",15,8,30,0.881687889549287,4.68305729540628,2.91235982416503,3.39799624395146,0.889076910734499,4.63283906538941,3.00158769880756,3.70039322714074,-0.134947635454488,0.888967430440416,0.941455708531079,39.8684978485107
"Clay",15,9,30,0.884040193860081,4.68447815890377,2.94104657986134,3.51737855126553,0.882856486066872,4.65028045270396,2.92136575700549,3.4204667141637,0.0723281466520379,0.882785700734841,0.938150979892038,39.6972591876984
"Clay",15,10,30,0.891107898340238,4.49900334832918,3.0296010595273,3.60764381427449,0.875841191433068,4.907359435216,2.83792434593379,3.3418981055905,0.0974954137284589,0.875791637364648,0.933738944646236,39.3430936336517
"Clay",15,11,30,0.879650477734964,4.75369658951455,2.88455325336364,3.42336920195866,0.895377115525937,4.44389666786002,3.09166289349291,3.65121700901599,-0.0077380234779768,0.895343020316129,0.9451025888837,39.2220208644867
"Clay",15,12,30,0.88614792394,4.63050383907295,2.96409866027442,3.51948657562559,0.880835144786555,4.73076831608532,2.89727270656812,3.42524267039328,0.0164680503178137,0.880828141067425,0.936787843258783,39.5365040302277
"Clay",15,13,30,0.879898857524582,4.66993874701345,2.88613207001132,3.47938807771116,0.890103841988041,4.73610941062747,3.0122817092943,3.45004660646875,-0.0483703556934286,0.889754392544954,0.94059292337185,43.9559051990509
"Clay",15,14,30,0.875996292520607,4.78460226019296,2.84188383103988,3.37265476260282,0.898100027287319,4.46911761463284,3.13312635009631,3.73472516036507,0.0279261254189391,0.89809472951138,0.946250474816186,40.7792906761169
"Clay",15,15,30,0.880206937684581,4.76596102576122,2.8951937416456,3.4392091146784,0.888223511717696,4.52529533726812,2.99125850486627,3.53857660253109,0.0100357643695081,0.888199287467495,0.941077479098777,44.6140239238739
"Clay",15,16,30,0.887217931124264,4.6248473559315,2.97780783635165,3.57590511150374,0.878401782892722,4.7574683332293,2.85840166143411,3.30464000993746,-0.0535083045835553,0.877564896409341,0.936659296929178,40.7699067592621
"Clay",15,17,30,0.879529995891345,4.7616290331572,2.88541204220362,3.4258178002548,0.892095720258553,4.49153151415843,3.04469910565489,3.58157515967338,0.00914856500788242,0.892089499968958,0.942830792902543,38.3139808177948
