"filename","run_id","mtry","R2.cal","RMSE.cal","RPD.cal","RPIQ.cal","R2.val","RMSE.val","RPD.val","RPIQ.val","ME.val","MEC.val","CCC.val","training_time_sec"
"AS",1,10,0.625822710243756,19.0505423541188,1.60754368656061,2.83456496913459,0.62329801284506,18.8042165176486,1.61302858214776,2.92487591537674,-0.46140243902439,0.615233174126597,0.742046851773391,1405.98771119118
"AS",2,10,0.63350193365851,18.7506890950886,1.62106707851132,2.87989415888423,0.632228196111433,18.9092208240352,1.63165839016885,2.90863386237948,-0.846316297117517,0.623969329074899,0.74976628730879,1358.89904141426
"AS",3,10,0.635726566438508,18.7684659868406,1.62564390948059,2.87716641508485,0.646011307243934,18.6401046773979,1.64131916090607,2.93721526501872,-0.225611862527714,0.628382919135768,0.743807634774368,1378.4334526062
"AS",4,10,0.627052211208606,19.0855832497502,1.60985057978627,2.88175631209593,0.639467694544761,18.3656080254135,1.63840043246763,2.8858287690046,0.286574575018477,0.627057705293175,0.747048856719032,1370.60555148125
"AS",5,10,0.624975947765153,18.6585053583344,1.60689871698699,2.84052762973996,0.653230792724476,19.2700393584165,1.64842938122816,3.11364179823505,-0.498146563192905,0.631581819663454,0.743869171816007,1361.77960896492
"AS",6,10,0.635751251495922,18.8547452505669,1.62706709417503,2.86400050928168,0.640370648076139,18.3786173958051,1.643703979066,2.88378602473639,-0.268172246858832,0.629460480863034,0.750430610340801,1359.76485753059
"AS",7,10,0.636434841398616,18.9057386525769,1.62918380020615,2.90916959187433,0.641396348741937,18.1810935537656,1.64315448968501,2.90136563260105,1.83060643015521,0.629212614242324,0.753887164793476,1354.9690926075
"AS",8,10,0.633122945125682,18.8902470992337,1.62383844239976,2.85861797976112,0.627333567830627,18.6669861013653,1.61852216312208,2.8392371276327,-0.161723022912047,0.617840689211091,0.742257935979074,1546.9595181942
"AS",9,10,0.620592126706549,19.1546951957783,1.59582037259874,2.81915214249411,0.653112399982542,18.3261358665487,1.66261358788797,3.05574510675863,0.974795011086474,0.63784115572402,0.75454617299041,1602.91821122169
"AS",10,10,0.627049540976102,18.9673390317615,1.60636412785018,2.84699925010963,0.65736685242102,18.413202209549,1.66655737376207,2.98698723742236,-0.660441759053953,0.639553172364258,0.753387348636826,1641.56749153137
"AS",11,10,0.625654515370558,19.1263532007134,1.60803228473105,2.87561352772406,0.629790491572513,18.4218994883001,1.62933999666983,2.8634397898817,1.48014238728751,0.622898457066482,0.753644614552037,1597.09688305855
"AS",12,10,0.614790029857579,19.3065484763114,1.58422467446741,2.79697844833614,0.657900029040442,18.2155425169639,1.66987659000822,3.01939950175951,-1.02392402069475,0.640984669672862,0.755943250008584,1607.25816726685
"AS",13,10,0.642970944612729,18.622853577598,1.64614730400222,2.89966302827823,0.59103197223645,19.4604884744518,1.55400336899167,2.77485326593382,-0.540968181818181,0.585449126504351,0.720855348147837,1569.87578248978
"AS",14,10,0.622397509261434,19.0327017279518,1.60210531596882,2.83722199674335,0.640566376098442,18.6736126393358,1.6409979804197,2.83822959293672,0.29860007390983,0.628237437134509,0.74810212059249,1620.99783110619
"AS",15,10,0.63574720749886,18.9153184670135,1.62673113007931,2.90769621964942,0.638719957212005,18.2776461120274,1.63840742936599,2.73558201606158,1.55981341463415,0.627060890622672,0.751246520420288,1632.75319838524
"AS",16,10,0.640759569597303,18.6933543256809,1.63848501152517,2.94222208822314,0.608125710940566,19.1401775572132,1.5843761232689,2.76904432268584,-0.268999371766445,0.601190799649146,0.731607742298054,1627.83903598785
"AS",17,10,0.617709703410555,19.2202885533353,1.58913426026038,2.86155953628781,0.662602571213757,18.1263221197536,1.68178603010649,2.97909303626202,-0.0310126016260158,0.646051345900161,0.759171840794269,1565.22576022148
"AS",18,10,0.6372669047779,18.690481067703,1.62884150408877,2.88917122060124,0.626137811508412,19.1296895657808,1.60577989851436,2.82283723498552,-0.577028085735404,0.611751566147407,0.732804775853001,1581.84447360039
"AS",19,10,0.616866180419766,19.3193683406235,1.59207846256367,2.79512244126803,0.63802338406594,18.2982311059591,1.63990590368219,2.95110492852034,0.612933776792313,0.627742130142604,0.750103271313218,1596.11189818382
"AS",20,10,0.614585897730013,19.3408218865139,1.58507440010389,2.84372610030346,0.651645953172509,18.3068831120776,1.65258319614004,2.89508594529859,-0.786050369549149,0.633431551231717,0.748244609085969,1586.92398500443
"AS",21,10,0.640246970096658,18.7216287527903,1.63465269546494,2.88436442753153,0.633575810286531,18.6940852619245,1.62411106018361,2.87524097846479,-0.906875166297118,0.620466339827604,0.741942719419555,1540.02078866959
"AS",22,10,0.633620929675793,18.8540130289607,1.6236570328491,2.86411173669252,0.605022921787897,19.3480285326029,1.56917469708077,2.77806081944871,-0.405780820399112,0.593426420315902,0.719680165459959,1504.8180205822
"AS",23,10,0.633589021916366,18.8313991750991,1.62175181224645,2.86755113084771,0.61946293217556,18.9608662634844,1.60770442598634,2.79523093847613,-0.714517147080561,0.612680527397114,0.742126984634104,1544.6187171936
"AS",24,10,0.633356516542145,18.8837804877689,1.62183124834152,2.91255239042965,0.625394146002517,18.8118396253399,1.61129756856625,2.87053265791512,0.534339985218035,0.614406021681066,0.738217082498578,1432.30863308907
"AS",25,10,0.627112361324303,18.8969847786069,1.61024650958052,2.85759874565453,0.619443888512124,19.2591117709099,1.59881481733452,2.80386762600157,-0.000859645232815418,0.608361464826203,0.732636444886331,1551.57000541687
"AS",26,10,0.619253006971356,19.064722372967,1.58957672707961,2.78000376628363,0.670921566061099,18.3587857238885,1.69194738610864,3.05031067099023,-0.94174918699187,0.650290009863075,0.760728013542276,1521.9953584671
"AS",27,10,0.641274954104557,18.7282619119688,1.63639504445048,2.88334284589911,0.624288245539366,18.7938628567944,1.61080470103474,2.87327838941199,0.57550509977827,0.614170020597871,0.739007830300378,1573.39461565018
"AS",28,10,0.642642184234314,18.859143924378,1.63460770435174,2.91635719100192,0.653100344823895,17.8323398870813,1.66739111704973,2.85997240535703,1.84825864745011,0.639913549705475,0.761575729144851,1591.50862669945
"AS",29,10,0.624923208737947,19.167625676575,1.60490821118679,2.86942164501972,0.644343123268342,18.16091542615,1.65107056251571,2.90458926558543,-0.0712507021433857,0.632759577822627,0.752397015499184,1541.99780011177
"AS",30,10,0.622470437504279,19.2307576375687,1.5958281035034,2.86000172414183,0.65816813029448,17.9970585142368,1.67636764630945,2.94492569205539,1.03819131559497,0.643759570492456,0.760269055467907,1635.27663707733
"AS",31,10,0.61974732545425,19.2166880503502,1.5948505487718,2.81005758424725,0.650845685910914,18.2257202191578,1.66122536209955,2.90797836039915,0.413506947524021,0.63723561679231,0.754477128640645,1621.64254784584
"AS",32,10,0.63399908180036,18.8059515600743,1.62035755560211,2.87143140975881,0.653511883145136,18.3931450730104,1.66683186739775,2.99024445148891,-1.15762849223947,0.639671879254111,0.757717888737785,1576.99038171768
"AS",33,10,0.614713091097987,19.2844237625207,1.5833104542605,2.8001873773874,0.663077089958175,18.2221255309798,1.67645166172403,2.96343035877969,-0.155114523281595,0.643795275592809,0.755415370651783,1583.85576796532
"AS",34,10,0.637696978408612,18.755357930407,1.62970272989851,2.82585915964174,0.641009081888036,18.5902919585596,1.63862002407142,2.94508553830384,-0.900625831485588,0.627157654650602,0.746789082350059,1628.92587304115
"AS",35,10,0.638785853323946,18.649123108444,1.63519310480148,2.89557850446865,0.650551261890698,18.5071059958533,1.65430233031371,2.86376487020041,-0.510750406504064,0.634193023783882,0.749850948677986,1526.06340479851
"AS",36,10,0.643193587074431,18.5850152832235,1.64378574836838,2.90556661789485,0.620900404033425,19.0682789269665,1.59980606675969,2.81881758735899,0.312831374722839,0.608846637637901,0.732213174328967,1556.04212856293
"AS",37,10,0.621593206358818,19.0964736203024,1.59997512979149,2.82774720996603,0.658020694726526,18.179475139885,1.67689226425665,3.02538987384362,0.170384478935699,0.643982436197559,0.759455690855711,1560.48309540749
"AS",38,10,0.638717678663948,18.7484234260839,1.63410675757286,2.88024218211714,0.616881323447342,18.967846558466,1.59754135625251,2.78102207530016,-0.551034478935699,0.607736835971728,0.734698640792829,1604.18461728096
"AS",39,10,0.642587151366983,18.6320953072595,1.64733680099651,2.95189559161233,0.563064744326646,20.0132373824366,1.50692814127161,2.64824720694675,0.370148410938653,0.559144097207257,0.701082418577235,1651.36043977737
"AS",40,10,0.628764120053301,18.8922392080149,1.61416798155084,2.85831655027377,0.644288155492688,18.624175666211,1.64504007681418,2.88603377477352,0.60734719142646,0.630062139113068,0.748291378901154,1649.5586771965
"AS",41,10,0.611973666447951,19.2180791171876,1.58292332308585,2.75781984644863,0.638860106775946,18.8508309644088,1.63294069489984,2.91764326484294,-0.471193385070215,0.624559670887029,0.74347652083505,1649.39365768433
"AS",42,10,0.63384094087241,18.6817886818099,1.62067001161522,2.83698744818825,0.63411393052195,19.1556182204649,1.62547040507158,2.92342431110746,-0.335317590539542,0.621100865579809,0.741588240516727,1605.37827920914
"AS",43,10,0.628293518691943,18.920147966914,1.61030894434489,2.85410030061238,0.626178987101224,18.9845069018599,1.61725594717391,2.8970992127592,0.083460162601625,0.617242038581923,0.742348270405993,1576.32689070702
"AS",44,10,0.639561444626409,18.6656071007325,1.63746093703736,2.83944688827829,0.604329791236348,19.4161941836588,1.56658845350516,2.78118355683978,1.97349194382853,0.592082906960017,0.723865753277387,1621.34219503403
"AS",45,10,0.619896515008444,19.005948738408,1.59360704931095,2.78860059708019,0.657644957595489,18.6275925304745,1.67012325438984,3.00629294464031,-0.418373577235771,0.641090709457256,0.755288721505468,1655.83302140236
"AS",46,10,0.631557938555705,18.8596511482433,1.61495478348839,2.86325550645352,0.654399515742024,18.453929802843,1.6645437738146,2.96684774381039,-0.85895687361419,0.638680579258027,0.754603799374337,1659.05692052841
"AS",47,10,0.624139383408052,19.0325906004959,1.60370391739967,2.83723856271006,0.65049685116807,18.4567808127436,1.65640160423237,2.92575398428719,0.0910867331855148,0.635119661885784,0.751088474713326,1629.52677583694
"AS",48,10,0.620645321995346,18.9181439118837,1.59626097432124,2.801543335692,0.672126440890001,18.4292374899111,1.69888858023572,3.14717307385895,0.129638580931264,0.653141810859978,0.763283961748218,1543.11375832558
"AS",49,10,0.630825330037789,18.754642567853,1.61885529940423,2.87928707809982,0.619247070171485,19.4330796505043,1.58945691483593,2.77876697729681,-1.31596193643755,0.603736358278407,0.726826354442835,1477.65420436859
"AS",50,10,0.624989546309005,19.013333796464,1.60569288755297,2.8401121327835,0.643083630590711,18.5550049157427,1.64688554999715,2.9102660034428,-0.254050221729489,0.63089076728889,0.750379364794883,1472.01672625542
